Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"6","Level 10","Reach level 10.","2101252","","-1","0","92","1","3268","0","2050","-1","10","0"
"7","Level 20","Reach level 20.","2101252","","-1","6","92","2","3269","0","2683","-1","10","0"
"8","Level 30","Reach level 30.","2101252","","-1","7","92","3","3270","0","1289","-1","10","0"
"9","Level 40","Reach level 40.","2101252","","-1","8","92","4","3271","0","942","-1","10","0"
"10","Level 50","Reach level 50.","2101252","","-1","9","92","5","3272","0","2053","-1","10","0"
"11","Level 60","Reach level 60.","2101252","","-1","10","92","6","3273","0","2056","-1","10","0"
"12","Level 70","Reach level 70.","2101252","","-1","11","92","7","3274","0","2059","-1","10","0"
"13","Level 80","Reach level 80.","2101252","","-1","12","92","8","3275","0","2262","-1","10","0"
"15","Plenty of Pets","Collect 15 unique pets.","131072","","-1","1017","15118","2","1522","0","22152","-1","10","0"
"16","Did Somebody Order a Knuckle Sandwich?","Raise your unarmed skill to 400.","2048","","-1","0","15234","10","1997","0","6318","-1","0","0"
"31","A Simple Re-Quest","Complete a daily quest every day for five consecutive days.","0","","-1","0","96","17","3481","0","2807","-1","10","0"
"32","2000 Quests Completed","Complete 2000 quests.","0","","-1","508","96","7","3415","0","2810","-1","10","0"
"33","Nothing Boring About Borean","Complete 130 quests in Borean Tundra.","136","","-1","0","14863","1","3336","0","1741","1","10","0"
"34","I've Toured the Fjord","Complete 130 quests in Howling Fjord.","0","","-1","0","14863","3","3337","0","5287","1","10","0"
"35","Might of Dragonblight","Complete 115 quests in Dragonblight.","0","","-1","0","14863","5","3338","0","1745","1","10","0"
"36","The Empire of Zul'Drak","Complete 100 quests in Zul'Drak.","0","","-1","0","14863","9","3340","0","1881","-1","10","0"
"37","Fo' Grizzle My Shizzle","Complete 85 quests in Grizzly Hills.","0","","-1","0","14863","7","3339","0","5284","1","10","0"
"38","The Summit of Storm Peaks","Complete 100 quests in Storm Peaks.","0","","-1","0","14863","11","3405","0","1884","-1","10","0"
"39","Into the Basin","Complete 75 quests in Sholazar Basin.","0","","-1","0","14863","10","3341","0","1887","-1","10","0"
"40","Icecrown: The Final Goal","Complete 140 quests in Icecrown.","0","","-1","0","14863","12","3474","0","3375","-1","10","0"
"41","Loremaster of Northrend","Complete the Northrend quest achievements listed below.","131072","","-1","0","14863","21","3493","0","5756","-1","10","0"
"42","Eastern Kingdoms Explorer","Explore the regions of Eastern Kingdoms.","131072","","-1","0","97","1","3490","0","2402","-1","25","0"
"43","Kalimdor Explorer","Explore the regions of Kalimdor.","131072","","-1","0","97","2","3491","0","3317","-1","25","0"
"44","Outland Explorer","Explore the regions of Outland.","131072","","-1","0","97","3","3492","0","3340","-1","25","0"
"45","Northrend Explorer","Explore the regions of Northrend.","131072","Reward: Tabard of the Explorer","-1","0","97","4","3493","0","12064","-1","25","0"
"46","Universal Explorer","Explore Eastern Kingdoms, Kalimdor, Outland, Northrend, the areas revealed by the Cataclysm, Pandaria, Draenor, and the Broken Isles.","131072","Title Reward: The Explorer","-1","0","97","9","2759","0","3257","-1","50","0"
"49","Alterac Valley victories","Alterac Valley victories","1","","30","0","153","6","1","0","15889","-1","0","0"
"50","Eye of the Storm victories","Eye of the Storm victories","1","","566","0","153","13","1","0","9109","-1","0","0"
"51","Arathi Basin victories","Arathi Basin victories","1","","529","0","153","8","1","0","5504","-1","0","0"
"52","Warsong Gulch battles","Warsong Gulch battles","1","","489","0","153","18","1","0","5507","-1","0","0"
"53","Alterac Valley battles","Alterac Valley battles","1","","30","0","153","5","1","0","5510","-1","0","0"
"54","Eye of the Storm battles","Eye of the Storm battles","1","","566","0","153","11","1","0","1272","-1","0","0"
"55","Arathi Basin battles","Arathi Basin battles","1","","529","0","153","7","1","0","3391","-1","0","0"
"56","Deaths in Warsong Gulch","Deaths in Warsong Gulch","1","","489","0","124","3","1","0","140","-1","0","0"
"57","Deaths in Alterac Valley","Deaths in Alterac Valley","1","","30","0","124","1","1","0","2062","-1","0","0"
"58","Deaths from Drek'Thar","Deaths from Drek'Thar","1","","30","0","124","11","1","0","143","1","0","0"
"59","Deaths in Arathi Basin","Deaths in Arathi Basin","1","","529","0","124","2","1","0","1064","-1","0","0"
"60","Total deaths","Total deaths","1","","-1","0","122","1","1","0","1189","-1","0","0"
"73","Disgracin' The Basin","Assault 3 bases in a single Arathi Basin battle.","0","","529","0","14802","5","456","0","7709","-1","10","0"
"94","Quests abandoned","Quests abandoned","1","","-1","0","133","5","1","0","805","-1","0","0"
"95","Average quests completed per day","Average quests completed per day","65","","-1","0","133","2","1","98","5199","-1","0","0"
"97","Daily quests completed","Daily quests completed","1","","-1","0","133","3","1","0","5766","-1","0","0"
"98","Quests completed","Quests completed","1","","-1","0","133","1","1","0","758","-1","0","0"
"99","Ruins of Lordaeron matches","Ruins of Lordaeron matches","1","","-1","0","152","17","1","0","15898","-1","0","0"
"100","Ring of Trials victories","Ring of Trials victories","1","","-1","0","152","14","1","0","836","-1","0","0"
"101","Ring of Trials matches","Ring of Trials matches","1","","-1","0","152","13","1","0","945","-1","0","0"
"102","Ruins of Lordaeron victories","Ruins of Lordaeron victories","1","","-1","0","152","18","1","0","8210","-1","0","0"
"103","Circle of Blood matches","Circle of Blood matches","1","","-1","0","152","9","1","0","808","-1","0","0"
"104","Circle of Blood victories","Circle of Blood victories","1","","-1","0","152","10","1","0","15892","-1","0","0"
"105","Warsong Gulch victories","Warsong Gulch victories","1","","-1","0","153","19","1","0","3068","-1","0","0"
"107","Creatures killed","Creatures killed","9","","-1","0","135","1","1","0","762","-1","0","0"
"108","Critters killed","Critters killed","1","","-1","0","135","4","1","0","774","-1","0","0"
"110","Lich King 5-player boss defeated the most","Lich King 5-player boss killed the most","1","","-1","0","14807","8","1","1467","2277","-1","0","0"
"112","Deaths from drowning","Deaths from drowning","1","","-1","0","126","1","1","0","9921","-1","0","0"
"113","Deaths from fatigue","Deaths from fatigue","1","","-1","0","126","3","1","0","777","-1","0","0"
"114","Deaths from falling","Deaths from falling","1","","-1","0","126","4","1","0","2429","-1","0","0"
"115","Deaths from fire and lava","Deaths from fire and lava","9","","-1","0","126","5","1","0","1592","-1","0","0"
"116","Professional Journeyman","Obtain 150 skill points in a profession.","0","","-1","0","169","1","2846","0","1596","-1","10","1"
"121","Journeyman Cook","Obtain 150 skill points in cooking.","0","","-1","0","170","1","1467","0","5281","-1","10","0"
"122","Expert Cook","Obtain 225 skill points in cooking.","0","","-1","121","170","2","1467","0","2377","-1","10","0"
"123","Artisan Cook","Obtain 300 skill points in cooking.","0","","-1","122","170","3","1467","0","4033","-1","10","0"
"124","Master Cook","Obtain 375 skill points in cooking.","0","","-1","123","170","4","1467","0","2432","-1","10","0"
"125","Grand Master Cook","Obtain 450 skill points in cooking.","0","","-1","124","170","5","1467","0","1578","-1","10","0"
