Id,Unknown0,Unknown1,Unknown2
"1","Statistics","-1","17"
"21","Player vs. Player","1","10"
"81","Feats of Strength","-1","15"
"92","General","-1","1"
"95","Player vs. Player","-1","4"
"96","Quests","-1","2"
"97","Exploration","-1","3"
"122","Deaths","1","4"
"123","Arenas","122","1"
"124","Battlegrounds","122","2"
"125","Dungeons","122","3"
"126","World","122","4"
"127","Resurrection","122","5"
"128","Kills","1","3"
"130","Character","1","1"
"131","Social","1","9"
"132","Skills","1","7"
"133","Quests","1","5"
"134","Travel","1","8"
"135","Creatures","128","1"
"136","Honorable Kills","128","2"
"137","Killing Blows","128","3"
"140","Wealth","130","1"
"141","Combat","1","2"
"145","Consumables","130","2"
"147","Reputation","130","3"
"152","Rated Arenas","21","1"
"153","Battlegrounds","21","2"
"154","World","21","3"
"155","World Events","-1","8"
"156","Winter Veil","155","9"
"158","Hallow's End","155","7"
"159","Noblegarden","155","3"
"160","Lunar Festival","155","1"
"161","Midsummer","155","5"
"162","Brewfest","155","6"
"163","Children's Week","155","4"
"165","Arena","95","18"
"168","Dungeons & Raids","-1","5"
"169","Professions","-1","6"
"170","Cooking","169","1"
"171","Fishing","169","2"
"172","First Aid","169","3"
"173","Professions","132","2"
"178","Secondary Skills","132","1"
"187","Love is in the Air","155","2"
"191","Gear","130","4"
"201","Reputation","-1","7"
"14777","Eastern Kingdoms","97","1"
"14778","Kalimdor","97","2"
"14779","Outland","97","3"
"14780","Northrend","97","4"
"14801","Alterac Valley","95","5"
"14802","Arathi Basin","95","3"
"14803","Eye of the Storm","95","4"
"14804","Warsong Gulch","95","2"
"14805","The Burning Crusade","168","2"
"14806","Lich King Dungeon","168","3"
"14807","Dungeons & Raids","1","6"
"14808","Classic","168","1"
"14821","Classic","14807","1"
"14822","The Burning Crusade","14807","2"
"14823","Wrath of the Lich King","14807","3"
"14861","Eastern Kingdoms","96","1"
"14862","Outland","96","3"
"14863","Northrend","96","4"
"14864","Classic","201","1"
"14865","The Burning Crusade","201","2"
"14866","Wrath of the Lich King","201","3"
"14881","Strand of the Ancients","95","7"
"14901","Wintergrasp","95","13"
"14922","Lich King Raid","168","4"
"14941","Argent Tournament","155","10"
"14981","Pilgrim's Bounty","155","8"
"15003","Isle of Conquest","95","6"
"15067","Cataclysm Dungeon","168","5"
"15068","Cataclysm Raid","168","6"
"15069","Cataclysm","97","5"
"15070","Cataclysm","96","5"
"15071","Archaeology","169","4"
"15072","Cataclysm","201","4"
"15073","Battle for Gilneas","95","8"
"15074","Twin Peaks","95","9"
"15075","Tol Barad","95","14"
"15076","Guild","-1","16"
"15077","Quests","15076","2"
"15078","Player vs. Player","15076","3"
"15079","Dungeons & Raids","15076","4"
"15080","Professions","15076","5"
"15081","Kalimdor","96","2"
"15082","Classic","15079","1"
"15083","Cataclysm Dungeon","15079","5"
"15084","The Burning Crusade","15079","2"
"15085","Lich King Dungeon","15079","3"
"15086","Lich King Raid","15079","4"
"15087","Cataclysm Raid","15079","6"
"15088","General","15076","1"
"15089","Reputation","15076","6"
"15090","Battlegrounds","15078","1"
"15091","Arena","15078","2"
"15092","Rated Battleground","95","17"
"15093","Guild Feats of Strength","15076","7"
"15096","Cataclysm","14807","4"
"15101","Darkmoon Faire","155","11"
"15106","Pandaria Dungeon","168","7"
"15107","Pandaria Raid","168","8"
"15110","Pandaria","96","6"
"15113","Pandaria","97","6"
"15114","Pandaria","201","5"
"15117","Pet Battles","-1","9"
"15118","Collect","15117","1"
"15119","Battle","15117","2"
"15120","Level","15117","3"
"15153","Pandaria Dungeon","15079","7"
"15154","Pandaria Raid","15079","8"
"15162","Silvershard Mines","95","10"
"15163","Temple of Kotmogu","95","11"
"15164","Mists of Pandaria","14807","5"
"15165","Scenarios","-1","13"
"15176","Legacy","1","15"
"15218","Deepwind Gorge","95","12"
"15219","Pet Battles","1","11"
"15220","Draenor","96","7"
"15222","Proving Grounds","15165","2"
"15227","Proving Grounds","1","12"
"15228","Draenor Dungeon","168","9"
"15229","Mists of Pandaria","15165","1"
"15231","Draenor Raid","168","10"
"15232","Draenor","201","6"
"15233","Warlords of Draenor","14807","6"
"15234","Legacy","-1","14"
"15235","Draenor","97","7"
"15237","Draenor Garrison","-1","12"
"15238","Buildings","15237","1"
"15239","Followers","15237","2"
"15240","Missions","15237","4"
"15241","Ashran","95","15"
"15242","Monuments","15237","5"
"15243","Draenor Dungeon","15079","9"
"15244","Draenor Raid","15079","10"
"15246","Collections","-1","10"
"15247","Toy Box","15246","1"
"15248","Mounts","15246","2"
"15249","Invasions","15237","3"
"15250","Shipyard","15237","6"
"15252","Legion","96","8"
"15253","Garrison","1","14"
"15254","Legion Dungeon","168","11"
"15255","Legion Raid","168","12"
"15256","Artifacts","15275","1"
"15257","Legion","97","8"
"15258","Legion","201","7"
"15259","Appearances","15246","3"
"15262","Legion Dungeon","15079","11"
"15263","Legion Raid","15079","12"
"15264","Legion","14807","7"
"15265","The Timeless Isle","95","16"
"15266","Honor","95","1"
"15268","Promotions","81","7"
"15269","Mounts","81","1"
"15270","Player vs. Player","81","4"
"15271","Raids","81","3"
"15272","Dungeons","81","2"
"15273","Reputation","81","5"
"15274","Events","81","6"
"15275","Class Hall","-1","11"
"15276","Missions","15275","2"
"15277","Dungeons","15234","1"
"15278","Raids","15234","2"
"15279","Player vs. Player","15234","3"
"15280","Currencies","15234","4"
"15281","Class Hall","1","13"
"15282","Brawler's Guild","155","12"
"15283","Legion","95","19"
