Id,Unknown0
"1","256"
"2","0"
"61","4128"
"63","1040"
"64","32"
"65","73760"
"81","1072"
"102","8195"
"103","4096"
"121","65536"
"164","1280"
"165","1288"
"181","4368"
"184","8192"
"221","20480"
"223","24576"
"261","4352"
"596","133376"
"597","139520"
"664","33024"
"685","8448"
"687","273"
"688","524544"
"689","272"
"692","2304"
"694","532736"
"719","526592"
"749","2097184"
"755","2097408"
"756","2097152"
"804","259"
"894","65824"
"901","1048608"
"21","256"
"41","256"
"163","256"
"182","256"
"201","256"
"281","256"
"301","256"
"341","256"
"342","256"
"343","256"
"344","256"
"365","256"
"366","256"
"367","256"
"368","256"
"369","256"
"405","256"
"691","256"
"707","256"
"925","256"
"3","0"
"4","0"
"5","0"
"22","0"
"23","0"
"101","0"
"162","0"
"202","0"
"203","0"
"241","0"
"321","0"
"345","0"
"346","0"
"347","0"
"361","0"
"370","0"
"372","0"
"382","0"
"383","0"
"384","0"
"385","0"
"386","0"
"401","0"
"402","0"
"403","0"
"404","0"
"406","0"
"407","0"
"408","0"
"409","0"
"410","0"
"411","0"
"412","0"
"413","0"
"414","0"
"506","0"
"508","0"
"513","0"
"682","0"
"683","0"
"693","0"
"697","0"
"709","0"
"710","0"
"711","0"
"712","0"
"713","0"
"715","0"
"716","0"
"732","0"
"733","0"
"734","0"
"737","0"
"751","0"
"774","0"
"812","0"
"822","0"
"828","0"
"829","0"
"831","0"
"840","0"
"843","0"
"844","0"
"848","0"
"911","0"
"920","0"
"977","0"
"978","0"
"979","0"
"980","0"
"981","0"
"982","0"
"983","0"
"1033","0"
"62","4128"
"594","4128"
"884","4128"
"992","4128"
"348","32"
"349","32"
"350","32"
"351","32"
"362","32"
"363","32"
"364","32"
"371","32"
"695","32"
"700","32"
"714","32"
"731","32"
"801","32"
"827","32"
"837","32"
"849","32"
"852","32"
"893","32"
"895","32"
"900","32"
"972","32"
"1022","32"
"1017","73760"
"141","4096"
"142","4096"
"161","4096"
"183","4096"
"663","4096"
"595","8192"
"662","8192"
"222","20480"
"224","24576"
"262","4352"
"661","4352"
"815","8448"
"816","8448"
"759","524544"
"690","272"
"758","2097408"
"757","2097152"
"805","259"
"806","259"
"807","259"
"808","259"
"809","259"
"810","259"
"811","259"
