Id,Unknown0,Unknown1,Unknown2
"1","1","1","0"
"2","361","243","1"
"3","401","243","1"
"4","401","247","0"
"5","402","245","1"
"6","402","247","0"
"7","403","247","5"
"8","404","247","6"
"9","182","261","1"
"10","405","162","0"
"11","406","249","1"
"12","407","247","7"
"13","408","247","8"
"14","409","247","4"
"15","410","249","0"
"16","411","249","4"
"17","412","249","6"
"18","413","249","5"
"19","414","247","5"
"20","414","247","4"
"21","2","1","4"
"22","3","1","1"
"23","4","1","0"
"24","5","21","1"
"41","21","22","0"
"42","22","23","0"
"43","23","2","0"
"61","41","41","0"
"81","61","61","0"
"82","61","62","1"
"83","62","64","0"
"84","62","65","1"
"85","63","63","0"
"86","63","270","1"
"87","64","83","0"
"88","64","66","1"
"89","65","67","0"
"90","65","68","1"
"101","81","242","1"
"121","101","81","0"
"122","101","81","1"
"123","102","82","0"
"124","103","84","0"
"125","103","84","1"
"141","121","101","0"
"142","121","268","1"
"143","506","247","6"
"144","506","247","4"
"149","508","247","6"
"150","508","247","5"
"157","513","249","7"
"161","141","121","3"
"162","142","121","2"
"181","161","144","0"
"182","162","144","0"
"183","163","141","0"
"184","164","142","0"
"185","165","143","0"
"201","181","161","0"
"202","182","162","0"
"203","183","262","0"
"204","183","263","1"
"205","184","164","0"
"206","184","163","1"
"221","201","183","0"
"222","202","183","0"
"223","203","184","0"
"226","221","182","0"
"227","221","181","1"
"228","222","181","0"
"229","223","182","0"
"230","223","181","1"
"231","224","181","0"
"241","241","184","1"
"261","261","202","0"
"262","262","201","0"
"281","301","222","1"
"282","281","222","0"
"283","594","264","0"
"284","594","62","1"
"285","595","164","0"
"286","595","163","1"
"287","596","265","0"
"289","597","266","0"
"301","301","221","0"
"321","321","267","0"
"341","341","247","0"
"342","342","241","0"
"343","343","243","0"
"344","344","244","0"
"345","345","247","0"
"346","346","241","0"
"347","347","243","0"
"348","348","247","1"
"349","349","241","1"
"350","350","243","1"
"351","351","244","1"
"361","361","247","0"
"363","362","241","0"
"364","362","243","1"
"365","363","243","0"
"366","363","247","1"
"367","364","243","0"
"368","364","241","1"
"369","365","246","0"
"370","366","248","0"
"371","367","249","0"
"372","368","242","0"
"373","369","245","0"
"374","370","247","0"
"375","370","241","1"
"376","371","241","0"
"377","371","247","1"
"378","372","244","0"
"391","382","241","4"
"392","383","241","3"
"393","384","241","2"
"394","385","241","8"
"395","386","241","7"
"467","661","269","0"
"468","662","164","0"
"469","662","266","1"
"470","663","262","0"
"471","663","265","1"
"472","664","248","0"
"490","682","164","0"
"491","682","163","1"
"492","683","248","6"
"493","683","248","5"
"495","685","243","0"
"497","687","242","0"
"498","688","242","0"
"499","689","242","0"
"500","690","249","0"
"501","691","241","0"
"502","692","241","0"
"503","693","245","4"
"504","694","248","0"
"505","695","248","1"
"507","697","241","6"
"508","697","241","5"
"511","700","246","1"
"538","707","267","0"
"540","709","249","2"
"541","709","249","3"
"542","710","247","2"
"543","711","249","2"
"544","712","249","3"
"545","713","249","2"
"546","713","249","3"
"547","713","249","4"
"548","714","243","0"
"549","714","248","1"
"550","715","247","2"
"551","715","247","3"
"552","716","247","3"
"559","719","144","0"
"587","731","243","0"
"588","731","249","1"
"589","732","249","8"
"590","733","244","5"
"591","734","247","3"
"592","734","247","2"
"597","737","241","3"
"598","737","241","2"
"636","749","247","1"
"638","751","244","3"
"639","751","243","2"
"646","755","247","0"
"647","756","249","0"
"648","757","249","4"
"649","758","241","0"
"650","759","248","0"
"680","774","249","3"
"681","774","249","2"
"726","801","242","1"
"733","804","248","10"
"734","805","248","11"
"735","806","248","12"
"736","807","248","13"
"737","808","248","14"
"738","809","248","15"
"739","810","248","16"
"740","811","248","17"
"741","812","241","6"
"746","815","244","0"
"747","816","244","0"
"757","822","248","0"
"764","827","242","0"
"765","827","243","1"
"766","828","246","2"
"767","829","242","2"
"769","831","241","2"
"770","831","241","4"
"785","837","243","0"
"786","837","246","1"
"791","183","263","4"
"792","184","163","4"
"793","840","245","9"
"798","843","244","3"
"799","844","244","4"
"809","848","249","2"
"810","848","249","4"
"811","849","243","0"
"812","849","249","1"
"813","849","243","3"
"822","852","244","0"
"823","852","243","1"
"873","884","271","0"
"874","884","272","1"
"889","893","274","0"
"890","893","273","1"
"891","894","273","0"
"892","895","275","0"
"893","895","276","1"
"901","900","273","1"
"902","901","277","0"
"903","901","278","1"
"919","911","249","7"
"920","911","249","8"
"935","920","241","5"
"943","925","65","1"
"945","925","243","0"
"1025","972","246","0"
"1026","972","248","1"
"1034","977","247","2"
"1035","978","247","3"
"1036","979","243","2"
"1037","980","243","3"
"1039","981","241","0"
"1040","982","242","8"
"1041","983","245","2"
"1056","992","279","0"
"1057","992","280","1"
"1100","1017","245","0"
"1109","1022","243","0"
"1110","1022","246","1"
"1128","1033","247","8"
