Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","0","126","1","0"
"2","5","126","1","0"
"3","17","126","1","0"
"4","85","126","1","0"
"5","18","126","1","0"
"21","19","126","1","0"
"22","86","126","1","0"
"101","0","474","41","0"
"102","126","69","41","0"
"121","0","120","61","0"
"122","5","223","61","0"
"123","4","119","61","0"
"124","107","56","62","0"
"125","45","193","63","0"
"126","41","193","63","0"
"127","524","193","63","0"
"128","526","193","63","0"
"132","42","193","63","0"
"133","109","580","64","0"
"134","105","578","64","0"
"135","46","582","64","0"
"136","29","576","64","0"
"137","0","69","64","0"
"138","4","119","65","0"
"139","0","120","65","0"
"140","5","223","65","0"
"141","143","524","66","0"
"142","5","524","66","0"
"143","4","526","66","0"
"144","0","25","67","0"
"145","5","4","68","0"
"146","143","4","68","0"
"147","187","4","68","0"
"148","13","12","68","0"
"149","135","470","69","0"
"150","0","120","70","0"
"151","5","213","70","0"
"152","143","213","70","0"
"153","150","6","71","0"
"154","0","154","71","0"
"155","4","213","72","0"
"156","5","214","72","0"
"157","458","131","73","0"
"158","233","132","73","0"
"159","234","132","73","0"
"160","42","132","73","0"
"161","193","132","73","0"
"162","464","132","73","0"
"163","6","0","74","0"
"170","1","0","74","0"
"171","466","0","74","0"
"172","467","0","74","0"
"173","468","0","74","0"
"174","472","0","74","0"
"175","0","484","75","0"
"176","4","119","76","0"
"177","0","120","76","0"
"178","5","223","76","0"
"179","143","223","61","0"
"180","145","148","77","0"
"181","135","193","78","0"
"182","42","193","78","0"
"183","41","193","78","0"
"184","93","11","79","0"
"185","92","12","79","0"
"186","0","42","80","0"
"187","13","45","80","0"
"188","93","43","80","0"
"189","92","44","80","0"
"190","5","524","80","0"
"191","143","530","80","0"
"192","4","526","80","0"
"193","193","132","81","0"
"194","1","132","81","0"
"195","467","132","81","0"
"196","193","135","82","0"
"208","0","144","91","0"
"209","45","193","92","0"
"210","41","193","92","0"
"211","524","193","92","0"
"212","526","193","92","0"
"213","42","193","92","0"
"214","5","193","92","0"
"215","4","193","92","0"
"216","143","193","92","0"
"217","200","193","92","0"
"218","39","193","92","0"
"219","187","193","92","0"
"220","40","193","92","0"
"897","135","193","92","0"
"898","42","193","99","0"
"899","135","193","99","0"
"900","458","213","100","0"
"901","464","214","100","0"
