Id,Unknown0,Unknown1
"4492","4208","6762"
"4493","4208","7032"
"4494","4208","7417"
"4495","4208","7418"
"4496","4208","7419"
"4497","4208","7420"
"4498","4154","6662"
"4499","4154","6719"
"4500","4154","6720"
"4501","4154","6721"
"4502","4154","6722"
"4503","4154","6723"
"4504","4154","6755"
"4505","4154","6932"
"4506","4154","7053"
"4507","4154","7086"
"4508","4154","7087"
"4509","4154","7103"
"4510","4151","6662"
"4511","4151","6719"
"4512","4151","6720"
"4513","4151","6721"
"4514","4151","6722"
"4515","4151","6723"
"4516","4149","6662"
"4517","4149","6719"
"4518","4149","6720"
"4519","4149","6721"
"4520","4149","6722"
"4521","4149","6723"
"4522","4149","6755"
"4523","4149","7085"
"4524","4149","7086"
"4525","4149","7096"
"4526","4149","7103"
"4527","4149","7210"
"4528","4146","6662"
"4529","4146","6719"
"4530","4146","6720"
"4531","4146","6721"
"4532","4146","6722"
"4533","4146","6723"
"4534","4146","6755"
"4535","4146","6874"
"4536","4146","6912"
"4537","4146","6932"
"4538","4146","6941"
"4539","4146","6951"
"4540","4146","6975"
"4541","4146","6984"
"4542","4146","6988"
"4543","4146","7085"
"4544","4146","7086"
"4545","4146","7096"
"4546","4146","7103"
"4547","4146","7109"
"4548","4146","7210"
"4549","4146","7211"
"4550","4146","7307"
"4551","4146","7332"
"4552","4141","6662"
"4553","4141","6719"
"4554","4141","6720"
"4555","4141","6721"
"4556","4141","6722"
"4557","4141","6723"
"4558","4141","6755"
"4559","4141","6941"
"4560","4141","6975"
"4561","4141","7085"
"4562","4141","7086"
"4563","4141","7096"
"4564","4127","6662"
"4565","4127","6719"
"4566","4127","6720"
"4567","4127","6721"
"4568","4127","6722"
"4569","4127","6723"
"4570","4127","6755"
"4571","4127","7085"
"4572","4127","7086"
"4573","4127","7096"
"4574","4127","7103"
"4575","4127","7210"
"4576","4112","6755"
"4577","4112","6932"
"4578","4112","7053"
"4579","4112","7086"
"4580","4112","7087"
"4581","4112","7103"
"4582","4094","6762"
"4583","4094","7032"
"4584","4094","7269"
"4585","4094","7422"
"4586","4094","7453"
"4587","4094","7454"
"4588","4112","6662"
"4589","4112","6719"
"4590","4112","6720"
"4591","4112","6721"
"4592","4112","6722"
"4593","4112","6723"
"4594","4103","6662"
"4595","4103","6719"
"4596","4103","6720"
"4597","4103","6721"
"4598","4103","6722"
"4599","4103","6723"
"4600","4103","6755"
"4601","4103","6874"
"4602","4103","6912"
"4603","4103","6932"
"4604","4103","6941"
"4605","4103","6951"
"4606","4103","6975"
"4607","4103","6984"
"4608","4103","6988"
"4609","4103","7085"
"4610","4103","7086"
"4611","4103","7096"
"4612","4103","7103"
"4613","4103","7109"
"4614","4103","7210"
"4615","4103","7211"
"4616","4103","7307"
"4617","4103","7332"
"4630","4049","6662"
"4631","4049","6719"
"4632","4049","6720"
"4633","4049","6721"
"4634","4049","6722"
"4635","4049","6723"
"4636","4049","6755"
"4637","4049","6941"
"4638","4049","6975"
"4639","4049","7085"
"4640","4049","7086"
"4641","4049","7096"
"4642","3988","7032"
"4643","3988","7269"
"4644","3988","7417"
"4645","3988","7418"
"4646","3988","7419"
"4647","3988","7420"
"4648","4037","6790"
"4649","4037","7004"
"4650","4037","7078"
"4651","4037","7085"
"4652","4037","7086"
"4653","4037","7087"
"4654","4037","7096"
"4655","4037","7103"
"4656","4037","7104"
"4657","4037","7211"
"4658","4037","7324"
"4659","4037","7325"
"4660","4031","6662"
"4661","4031","6719"
"4662","4031","6720"
"4663","4031","6721"
"4664","4031","6722"
"4665","4031","6723"
"4666","4026","7087"
"4667","4026","7096"
"4668","4026","7103"
"4669","4026","7104"
"4670","4026","7210"
"4671","4026","7211"
"4672","4026","6790"
"4673","4026","6906"
"4674","4026","7004"
"4675","4026","7078"
"4676","4026","7085"
"4677","4026","7086"
"4678","3960","6891"
"4679","3960","7190"
"4680","3960","7205"
"4681","3960","7304"
"4682","3960","7322"
"4683","3960","7393"
"4684","3884","6790"
"4685","3884","7078"
"4686","3884","7085"
"4687","3884","7086"
"4688","3884","7087"
"4689","3884","7211"
"4690","3935","7085"
"4691","3935","7086"
"4692","3935","7087"
"4693","3935","7211"
"4694","3935","7324"
"4695","3935","7325"
"4696","3873","6720"
"4697","3873","7004"
"4698","3873","7096"
"4699","3873","7103"
"4700","3873","7104"
"4701","3873","7327"
"4702","3844","7004"
"4703","3844","7096"
"4704","3844","7103"
"4705","3844","7104"
"4706","3844","7327"
"4707","3844","7328"
"4708","3955","6891"
"4709","3955","7154"
"4710","3955","7155"
"4711","3955","7160"
"4712","3955","7177"
"4713","3955","7178"
"4714","3947","6891"
"4715","3947","7154"
"4716","3947","7155"
"4717","3947","7160"
"4718","3947","7177"
"4719","3947","7178"
"4720","3882","6921"
"4721","3882","6922"
"4722","3882","6923"
"4723","3882","7078"
"4724","3882","7085"
"4725","3882","7086"
"4726","3652","6785"
"4728","3652","6930"
"4729","3652","6931"
"4730","3652","6943"
"4731","3652","6944"
"4732","3678","6848"
"4733","3678","6849"
"4734","3678","6850"
"4735","3678","6864"
"4736","3678","6867"
"4737","3678","6875"
"4738","3598","6134"
"4739","3598","6138"
"4740","3598","6141"
"4741","3598","6142"
"4742","3598","6507"
"4743","3598","6553"
"4744","3598","5785"
"4745","3598","5805"
"4746","3598","5840"
"4747","3598","5841"
"4748","3598","5842"
"4749","3598","6006"
"4750","3594","6581"
"4751","3594","6584"
"4752","3594","6676"
"4753","3594","6708"
"4754","3594","6709"
"4755","3594","6710"
"4756","3593","6582"
"4757","3593","6583"
"4758","3593","6703"
"4759","3593","6711"
"4760","3593","6712"
"4761","3593","6713"
"4762","3557","6033"
"4763","3557","6034"
"4764","3557","6036"
"4765","3557","6141"
"4766","3557","6142"
"4767","3557","6143"
"4768","3521","6611"
"4769","3521","6623"
"4770","3521","6624"
"4771","3521","6625"
"4772","3521","6626"
"4773","3521","6627"
"4774","3521","6628"
"4775","3521","6629"
"4776","3521","6630"
"4777","3521","6631"
"4778","3521","6632"
"4779","3521","6633"
"4780","3521","6634"
"4781","3521","6635"
"4782","3521","6636"
"4783","3521","6637"
"4784","3521","6638"
"4785","3521","6639"
"4786","3532","6611"
"4787","3532","6623"
"4788","3532","6624"
"4789","3532","6625"
"4790","3532","6626"
"4791","3532","6627"
"4792","3532","6628"
