Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"1","-6134.28","383.763","Anvilmar","","517","0","132","0","0","0","0","0","3","7","0"
"2","2249.85","278.414","Brill","","517","0","159","0","0","0","0","0","2","7","0"
"3","-10564.7","-1170.65","Darkshire","","517","0","10","0","0","0","0","0","3","0","0"
"4","1879.83","1588.2","Deathknell","","517","0","154","0","0","0","0","0","3","7","0"
"5","-4191.02","-2373.14","Dun Algaz","","517","0","836","0","0","0","0","0","3","7","0"
"6","-2610.26","-2350.56","Dun Modr","","517","0","205","0","0","0","0","0","3","7","0"
"7","-9480.09","63.5218","Goldshire","","517","0","87","0","0","0","0","0","3","7","0"
"8","-4798.776","-1107.497","Ironforge","","541","0","1","0","0","0","0","0","3","46","0"
"9","-5585.95","-482.127","Kharanos","","517","0","131","0","0","0","0","0","2","7","0"
"10","-9227.69","-2201.47","Lakeshire","","517","0","44","0","0","0","0","0","3","0","0"
"11","-3672.7","-828.455","Menethil Harbor","","525","0","11","0","0","0","0","0","3","5","0"
"12","-11017.1","1510.17","Moonbrook","","517","0","20","0","0","0","0","0","3","7","0"
"13","-8896.16","-179.328","Northshire Abbey","","517","0","24","0","0","0","0","0","3","7","0"
"14","-10752.5","310.433","Raven Hill","","517","0","94","0","0","0","0","0","3","7","0"
"15","-10503.7","1027.76","Sentinel Hill","","517","0","40","0","0","0","0","0","3","0","0"
"16","-8678.426","729.6007","Stormwind City","","541","0","12","0","0","0","0","0","3","46","0"
"17","508.073","1619.02","The Sepulcher","","517","0","130","0","0","0","0","0","2","0","0"
"18","1594.339","240.2882","Undercity","","541","0","85","0","0","0","0","0","4","48","0"
"19","-5349.27","-2959.91","Thelsamar","","517","0","38","0","0","0","0","0","3","0","0"
"20","-448.982","-1028.22","Alliance","","1","37","0","0","0","0","0","0","0","0","0"
"21","-669.134","-483.289","Horde","","1","37","0","0","0","0","0","0","0","0","0"
"22","-803.031","-531.727","Southshore","","0","0","267","0","0","0","0","0","3","5","0"
"23","-27.0354","-900.562","Tarren Mill","","517","0","267","0","0","0","0","0","2","0","0"
"24","-1251.05","-2526.81","Refuge Pointe","","517","0","320","0","0","0","0","0","2","0","0"
"25","-991.57","-3528.34","Hammerfall","","517","0","45","0","0","0","0","0","2","0","0"
"26","-6676.42","-2186.68","Kargath","","0","0","3","0","0","0","0","0","3","5","0"
"27","-6392.65","-3158","Angor Fortress","","517","0","338","0","0","0","0","0","3","7","0"
"28","-2323.92","-394.981","Bloodhoof Village","","517","1","222","0","0","0","0","0","3","7","0"
"29","-1205.41","29.4214","Thunder Bluff","","541","1","215","0","0","0","0","0","3","48","0"
"30","-2906.49","-253.607","Camp Narache","","517","1","221","0","0","0","0","0","3","7","0"
"31","312.659","-4745.52","Razor Hill","","517","1","362","0","0","0","0","0","3","7","0"
"32","-604.098","-4202.92","The Den","","517","1","364","0","0","0","0","0","3","7","0"
"33","1381.77","-4371.16","Orgrimmar","","541","1","14","0","0","0","0","0","3","48","0"
"34","-819.492","-4918.24","Sen'jin Village","","516","1","367","0","0","0","0","0","3","7","0"
"35","-455.9","-2652.15","The Crossroads","","517","1","17","0","0","0","0","0","3","0","0"
"36","10462.7","805.993","Aldrassil","","517","1","188","0","0","0","0","0","3","5","0"
"37","9787.99","949.897","Dolanaar","","517","1","5481","0","0","0","0","0","3","7","0"
"38","9951.75","2254.5","Darnassus","","541","1","141","0","0","0","0","0","3","46","0"
"39","-951.364","-3680.07","Ratchet","","525","1","392","0","0","0","0","0","3","5","0"
"40","-14383.3","487.139","Booty Bay","","525","0","35","0","0","0","0","0","3","5","0"
"41","-12378.4","185.734","Grom'gol Base Camp","","525","0","33","0","0","0","0","0","3","5","0"
"42","2720.43","-382.391","Astranaar","","517","1","331","0","0","0","0","0","3","0","0"
"44","2658.78","1449.71","Stonetalon Peak","","0","1","467","0","0","0","0","0","3","5","0"
"45","-4510.03","-779.474","Thalanaar","","0","1","489","0","0","0","0","0","3","5","0"
"46","-5454.07","-2445.5","Freewind Post","","0","1","484","0","0","0","0","0","3","5","0"
"227","-9389.26","458.427","Mirror Lake","","516","0","92","0","0","0","0","0","0","3","0"
"247","861.216","-558.217","Slaughter Hollow","","516","0","282","0","0","0","0","0","0","3","0"
"327","-1014.22","-3827.39","Drywhisker Gorge","","516","0","321","0","0","0","0","0","0","7","0"
"701","936.308","910.974","Sun Rock Retreat","","517","1","406","0","0","0","0","0","1","7","0"
"707","3549.15","-5359.12","Temple of Zin-Malor","","516","1","1221","0","0","0","0","0","0","7","0"
"708","3556.64","-6232.79","Hetaera's Clutch","","516","1","1227","0","0","0","0","0","0","7","0"
"709","969.176","-1825.52","Uther's Tomb","","516","0","197","0","0","0","0","0","0","7","0"
"710","1262.19","-2579.41","Scholomance","","516","0","2298","0","0","0","0","0","0","7","0"
"767","-4917.35","-1375.5","Whitereach Post","","516","1","480","0","0","0","0","0","0","7","0"
"788","-10443.7","-3277.49","Stonard","","517","0","8","0","0","0","0","0","1","7","0"
"789","-7139.15","-3752.11","Gadgetzan","","517","1","440","0","0","0","0","0","3","0","0"
"790","-4394.98","215.611","Camp Mojache","","517","1","215","0","0","0","0","0","3","0","0"
"791","-3680.17","-4388.51","Theramore Isle","","525","1","15","0","0","0","0","0","3","5","0"
"792","234.85","-2127.76","Aerie Peak","","517","0","47","0","0","0","0","0","2","0","0"
"794","6723.46","-4662.5","Everlook","","517","1","618","0","0","0","0","0","3","0","0"
"795","-1657.85","3097.92","Shadowprey Village","","517","1","405","0","0","0","0","0","3","0","0"
"796","-4517.382","2240.932","Feathermoon Stronghold","","517","1","357","0","0","0","0","0","3","0","0"
"798","6439.33","411.951","Auberdine","","0","1","148","0","0","0","0","0","3","5","0"
"799","202.521","1308.24","Nijel's Point","","517","1","405","0","0","0","0","0","3","0","0"
"907","10479.6","812.281","Aldrassil","","516","1","188","0","0","0","0","0","0","7","0"
"908","10756.2","921.301","Shadowthread Cave","","516","1","188","0","0","0","0","0","0","7","0"
"909","10050.6","1031.2","Fel Rock","","516","1","186","0","0","0","0","0","0","7","0"
"911","9864.17","1557.41","Ban'ethil Barrow Den","","516","1","736","0","0","0","0","0","0","7","0"
"912","10316.4","1200.62","The Cleft","","516","1","266","0","0","0","0","0","0","7","0"
"913","636.963","-4534.04","Razorwind Canyon","","516","1","410","0","0","0","0","0","0","7","0"
"929","726.297","-4242.41","Tor'kren Farm","","516","1","369","0","0","0","0","0","0","7","0"
"947","-5488.04","-658.67","Steelgrill's Depot","","516","0","131","0","0","0","0","0","0","7","0"
"948","-5858.7","-2004.1","Ironband's Compound","","516","0","212","0","0","0","0","0","0","7","0"
"949","-8676.57","-119.634","Echo Ridge Mine","","516","0","24","0","0","0","0","0","0","7","0"
"950","-9948.39","69.1568","Maclure Vineyards","","516","0","57","0","0","0","0","0","0","7","0"
"951","-9901.14","378.19","Stonefield Farm","","516","0","57","0","0","0","0","0","0","7","0"
"954","-9067.35","-333.965","Northshire Vineyards","","516","0","24","0","0","0","0","0","0","7","0"
"955","-9281.33","-3318.81","Tower of Ilgalar","","516","0","1000","0","0","0","0","0","0","7","0"
"956","-8674.12","-2290.05","Render's Rock","","516","0","996","0","0","0","0","0","0","7","0"
"1007","-13751.4","-18.3165","Spirit Den","","516","0","1737","0","0","0","0","0","0","7","0"
"1008","-8970.76","-2002.7","Rethban Caverns","","516","0","98","0","0","0","0","0","0","7","0"
"1010","-1194.05","-2119.16","Boulderfist Outpost","","516","0","1858","0","0","0","0","0","0","7","0"
"1011","-11112.2","-2335.63","Grosh'gok Compound","","516","0","2561","0","0","0","0","0","0","7","0"
"1012","-10803.2","-3739.01","Stagalbog Cave","","516","0","1797","0","0","0","0","0","0","7","0"
"1013","-10429.9","-3828.52","Temple of Atal'Hakkar","","516","0","74","0","0","0","0","0","0","7","0"
"1014","-1778.21","-1513.16","The Tower of Arathor","","516","0","324","0","0","0","0","0","0","7","0"
"1015","316.946","-2119.3","Wildhammer Keep","","516","0","348","0","0","0","0","0","0","7","0"
"1016","2046.11","1829.45","Night Web's Hollow","","516","0","154","0","0","0","0","0","0","7","0"
"1017","3035.33","-2773.9","Terrorweb Tunnel","","516","0","2627","0","0","0","0","0","0","7","0"
"1018","2483.98","-5183.79","Browman Mill","","516","0","2271","0","0","0","0","0","0","7","0"
"1027","-6092.01","-3179.35","Uldaman","","516","0","1897","0","0","0","0","0","0","7","0"
"1028","-7320.59","-2265.09","Dustbelch Grotto","","516","0","344","0","0","0","0","0","0","7","0"
"1029","-9615.71","667.327","Westbrook Garrison","","516","0","60","0","0","0","0","0","0","7","0"
"1030","-9184.5","-605.891","Jasperlode Mine","","516","0","91","0","0","0","0","0","0","7","0"
"1031","-14179.6","718","Janeiro's Point","","516","0","35","0","0","0","0","0","0","7","0"
"1032","-4817.79","-2666.7","Algaz Station","","516","0","838","0","0","0","0","0","0","7","0"
"1033","-4055","-3448.54","Grim Batol","","516","0","1038","0","0","0","0","0","0","7","0"
"1047","-1501.49","-1036.19","Venture Co. Mine","","516","1","820","0","0","0","0","0","0","7","0"
"1048","4619.42","25.6126","Blackwood Den","","516","1","449","0","0","0","0","0","0","7","0"
"1049","5056.04","220.755","Wildbend River","","516","1","448","0","0","0","0","0","0","7","0"
"1050","6870.57","-662.396","Cliffspring Falls","","516","1","456","0","0","0","0","0","0","7","0"
"1067","-1668.51","-4329.2","Fray Island","","516","1","720","0","0","0","0","0","0","7","0"
"1068","-837.968","-2037","Wailing Caverns","","516","1","387","0","0","0","0","0","0","7","0"
"1087","-3723.63","-2535.18","Shady Rest Inn","","516","1","2302","0","0","0","0","0","0","7","0"
"1088","-2829.79","-2722.81","Darkmist Cavern","","516","1","496","0","0","0","0","0","0","7","0"
"1089","-2884.79","-3429.99","North Point Tower","","516","1","496","0","0","0","0","0","0","7","0"
"1090","-2685.32","-3087.58","Bluefen","","516","1","496","0","0","0","0","0","0","7","0"
"1091","-3925.5","-2862.15","Lost Point","","516","1","2302","0","0","0","0","0","0","7","0"
"1092","-4300.98","-4062.71","Tidefury Cove","","516","1","511","0","0","0","0","0","0","7","0"
"1093","-4346.02","-3321.15","Stonemaul Ruins","","516","1","510","0","0","0","0","0","0","7","0"
"1094","-4698.06","-3720.58","Onyxia's Lair","","516","1","511","0","0","0","0","0","0","7","0"
"1095","-4987.73","-3832.99","Emberstrife's Den","","516","1","511","0","0","0","0","0","0","7","0"
"1096","-4335.04","-2639.53","Bloodfen Burrow","","516","1","509","0","0","0","0","0","0","7","0"
"1097","-3476.59","-4109.08","Sentry Point","","516","1","502","0","0","0","0","0","0","7","0"
"1098","-2949.47","-3893.5","Swamplight Manor","","516","1","502","0","0","0","0","0","0","7","0"
"1099","793.751","-330.197","Irondeep Mine","Alliance Controlled","644","30","0","1358","14882","0","0","0","0","3","0"
