Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10_0,Unknown10_1,Unknown10_2,Unknown10_3,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22
"1","16449","0","DunMorogh","0.3","Dun Morogh","0","0","119","598","759","0","0","0","0","0","0","675","-1","0","11","0","2","15","1","2","0","0"
"2","1073758272","0","Longshore","0","Longshore","0","40","120","567","9","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"3","16448","0","Badlands","0.1","Badlands","0","0","121","606","738","0","0","0","0","0","0","675","-1","0","11","0","0","15","13","14","0","0"
"4","16448","0","BlastedLands","0","Blasted Lands","0","0","122","210","7","0","0","0","0","0","0","675","-1","0","11","0","0","15","16","17","0","0"
"5","64","0","GLOBAL","0","- QA and DVD GLOBAL -","606","0","6800","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","15","0","0","0","0"
"7","1073758272","0","DarkwaterCove","0","Blackwater Cove","0","5287","123","0","3","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"8","16448","0","SwampofSorrows","0.3","Swamp of Sorrows","0","0","124","33","223","0","0","0","0","0","0","675","-1","0","11","0","0","15","14","15","0","0"
"9","1076903936","0","NorthshireValley","0","Northshire Valley","0","6170","125","35","1","674","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"10","16448","0","Duskwood","0.3","Duskwood","0","0","617","572","2","0","0","0","0","0","0","675","-1","0","11","0","0","15","5","7","0","0"
"11","16448","0","Wetlands","0.3","Wetlands","0","0","618","603","637","0","0","0","0","0","0","675","-1","0","11","0","0","15","6","7","0","0"
"12","16448","0","ElwynnForest","0","Elwynn Forest","0","0","126","604","1","670","0","0","0","0","0","675","-1","0","11","0","2","15","1","2","0","0"
"13","1073758272","0","TheWorldTree","0","The World Tree","0","10","555","48","11","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"14","16448","0","Durotar","0.4","Durotar","1","0","127","569","890","0","0","0","0","0","0","675","-1","0","11","0","4","15","1","2","0","0"
"15","16448","0","Dustwallow","0.4","Dustwallow Marsh","1","0","128","586","590","0","0","0","0","0","0","675","-1","0","11","0","0","15","12","13","0","0"
"16","16448","0","Azshara","0.3","Azshara","1","0","129","570","858","756","0","0","0","0","0","675","-1","82","11","0","4","15","3","6","0","0"
"17","16448","0","TheBarrens","0.3","Northern Barrens","1","0","130","629","800","0","0","0","0","0","0","675","-1","0","11","0","4","15","3","4","0","0"
"18","1073758272","0","CrystalLake","0","Crystal Lake","0","12","131","35","1","0","0","0","0","0","0","675","-1","0","11","7","0","15","0","0","0","0"
"19","1073762368","0","ZulGurub","0","Zul'Gurub","0","33","574","32","713","0","0","0","0","0","0","675","-1","0","11","40","0","15","0","0","0","0"
"20","1073758272","0","Moonbrook","0","Moonbrook","0","40","132","0","9","0","0","0","0","0","0","675","-1","0","11","14","0","15","0","0","0","0"
"21","16448","0","KulTiras","0","Kul Tiras","0","0","133","0","8","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"22","16448","0","ProgrammerIsle","0","Programmer Isle","451","0","547","38","2","0","1","0","0","0","0","675","3499","0","11","0","0","14","0","0","0","0"
"23","1074806848","0","NorthshireRiver","0","Northshire River","0","12","134","35","0","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"24","1076904000","0","Northshireabbey","0","Northshire Abbey","0","6170","135","35","1","0","0","0","0","0","0","675","-1","73","11","0","0","15","0","0","0","0"
"25","16448","0","BlackrockMountain","0","Blackrock Mountain","0","0","136","46","10","0","0","0","0","0","0","675","-1","0","11","0","0","15","15","17","0","0"
"26","1073758272","0","Lighthouse","0","Lighthouse","0","40","602","0","7","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"28","16448","0","WesternPlaguelands","0.3","Western Plaguelands","0","0","137","634","635","0","0","0","0","0","0","675","-1","0","11","0","0","15","10","11","0","0"
"30","16448","0","Nine","0","Nine","0","0","138","0","0","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"32","1073758272","0","TheCemetary","0","The Cemetary","0","10","139","0","2","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"33","16448","0","StranglethornJungle","0.3","Northern Stranglethorn","0","5339","140","600","3","0","0","0","0","0","0","675","-1","0","11","0","0","15","7","9","0","0"
"34","1073758208","0","EchoRidgeMine","0","Echo Ridge Mine","0","6170","141","35","1","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"35","1075855424","0","BootyBay","0","Booty Bay","0","5287","142","567","3","638","0","0","0","0","0","675","-1","0","11","42","0","15","0","0","0","0"
"36","1073758272","0","AlteracMountains","0.5","Alterac Mountains","0","267","143","594","743","0","0","0","0","0","0","675","-1","0","11","0","0","15","0","0","0","0"
"37","1073758272","0","LakeNazferiti","0","Lake Nazferiti","0","33","144","32","3","0","0","0","0","0","0","675","-1","0","11","36","0","15","0","0","0","0"
"38","16448","0","LochModan","0.1","Loch Modan","0","0","145","616","792","0","0","0","0","0","0","675","-1","0","11","0","2","15","3","6","0","0"
"40","16448","0","Westfall","0.1","Westfall","0","0","146","602","9","0","0","0","0","0","0","675","-1","0","11","0","2","15","3","4","0","0"
"41","16448","0","DeadwindPass","0.3","Deadwind Pass","0","0","556","597","2","0","0","0","0","0","0","675","-1","0","11","0","0","15","17","18","0","0"
"42","1075855424","0","Darkshire","0","Darkshire","0","10","147","0","770","0","0","0","0","0","0","675","-1","0","11","25","0","15","0","0","0","0"
"43","1073758272","0","WildShore","0","Wild Shore","0","5287","148","567","3","0","0","0","0","0","0","675","-1","0","11","42","0","15","0","0","0","0"
"44","16448","0","RedridgeMountains","0.2","Redridge Mountains","0","0","149","31","747","0","0","0","0","0","0","675","-1","0","11","0","0","15","4","6","0","0"
"45","16448","0","ArathiHighlands","0.2","Arathi Highlands","0","0","150","615","609","0","0","0","0","0","0","675","-1","0","11","0","0","15","7","8","0","0"
"46","16448","0","BurningSteppes","0.1","Burning Steppes","0","0","151","596","725","0","0","0","0","0","0","675","-1","0","11","0","0","15","15","16","0","0"
"47","16448","0","TheHinterlands","0.4","The Hinterlands","0","0","152","605","1","0","0","0","0","0","0","675","-1","0","11","0","0","15","11","12","0","0"
"49","1073741888","0","DeadMansHole","0","Dead Man's Hole","451","22","153","0","0","0","0","0","0","0","0","675","-1","0","11","0","0","13","0","0","0","0"
"51","16448","0","SearingGorge","0.1","Searing Gorge","0","0","154","46","10","0","0","0","0","0","0","675","-1","0","11","0","0","15","13","14","0","0"
