Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"45","2924.38","-798.429","161.611","8","0","0","0","0","0","0","0","0","167","0","0","0"
"71","-10645.9","1179.06","48.1781","27","0","0","0","0","0","0","0","0","168","0","0","0"
"78","-11207.3","1684.24","26.9075","0","14","9.9","9","6.256","0","0","0","0","169","0","1","0"
"84","16449.9","16393.2","69.4444","15","0","0","0","0","0","0","0","0","170","0","0","0"
"87","-9077.34","-552.925","60.3476","30","0","0","0","0","0","0","0","0","171","0","0","0"
"88","-9843.54","127.525","5.3698","10","0","0","0","0","0","0","0","0","172","0","0","0"
"95","-409.8281","-802.7708","-13.24696","9","0","0","0","0","30","0","0","0","173","0","0","0"
"97","-5660.33","755.299","389.605","15","0","0","0","0","0","0","0","0","174","0","0","0"
"98","-11634.8","-54.0697","13.4439","30","0","0","0","0","0","0","0","0","175","0","0","0"
"100","2019.349","1904.359","105.1444","7","0","0","0","0","0","0","0","0","176","0","0","0"
"101","-8761.85","848.557","87.8052","0","4.972","9.694","7.444","0.6632","0","0","0","0","177","0","1","0"
"107","-8667.56","623.563","85.4054","7","0","0","0","0","0","0","0","0","178","0","0","0"
"109","-0.90042","16.443","-14.236","7","0","0","0","0","35","0","0","0","179","0","0","0"
"119","-14.3628","-393.38","64.5605","6","0","0","0","0","36","0","0","0","180","0","0","0"
"121","-110.76","-1009.19","34.8044","7","0","0","0","0","36","0","0","0","181","0","0","0"
"145","-227.998","1576.7","80.883","0","14","13.5","10","5.9","0","0","0","0","182","0","1","0"
"168","-5584.207","759.8322","384.2902","15","0","0","0","0","0","0","0","0","183","0","0","0"
"169","-5586.46","679.298","384.955","8","0","0","0","0","0","0","0","0","184","0","0","0"
"171","-5705.81","-3548.37","305.336","50","0","0","0","0","0","0","0","0","185","0","0","0"
"173","1068.7","1537.42","28.3784","0","94.4","50.61","15","0","0","0","0","0","186","0","1","0"
"175","-4086.36","-2610.95","46.0143","20","0","0","0","0","0","0","0","0","187","0","0","0"
"178","683.771","-912.144","174.5","5","0","0","0","0","0","0","0","0","188","0","0","0"
"194","-232","2102.866","79.67029","0","7.5","5.5","8","5.882","33","0","0","0","189","0","1","0"
"196","-12153.62","894.0137","9.538913","80","0","0","0","0","0","0","0","0","190","0","0","0"
"197","-9796.18","157.773","25.3878","9","0","0","0","0","0","0","0","0","191","0","0","0"
"205","-1895.78","-1109.04","86.183","15","0","0","0","0","1","0","0","0","192","0","0","0"
"216","90.1003","-1943.44","79.4727","9","0","0","0","0","1","0","0","0","193","0","0","0"
"217","10673.8","809.422","1322.28","14","0","0","0","0","1","0","0","0","194","0","0","0"
"218","9814.1","587.122","1297.36","14","0","0","0","0","1","0","0","0","195","0","0","0"
"219","9510.35","1657.18","1291.36","8.85398","0","0","0","0","1","0","0","0","196","0","0","0"
"220","10701.4","1862.9","1329.87","10","0","0","0","0","1","0","0","0","197","0","0","0"
"226","-172.181","138.98","-66.6471","12","0","0","0","0","43","0","0","0","199","0","0","0"
"228","-753.596","-2212.78","21.5403","13","0","0","0","0","1","0","0","0","200","0","0","0"
"230","6744.98","41.1164","47.6041","13","0","0","0","0","1","0","0","0","201","0","0","0"
"231","5996.56","365.21","21.8661","40","0","0","0","0","1","0","0","0","202","0","0","0"
"232","5980.17","330.669","21.7655","40","0","0","0","0","1","0","0","0","203","0","0","0"
"233","4916.99","328.43","36.7678","50","0","0","0","0","1","0","0","0","204","0","0","0"
"234","4641.19","55.3801","66.6307","60","0","0","0","0","1","0","0","0","205","0","0","0"
"235","4554.65","146.354","59.5027","70","0","0","0","0","1","0","0","0","206","0","0","0"
"236","4643.38","145.349","57.9047","50","0","0","0","0","1","0","0","0","207","0","0","0"
"237","4504.31","32.3296","86.4913","80","0","0","0","0","1","0","0","0","208","0","0","0"
"238","6876.28","-486.029","40.1436","65","0","0","0","0","1","0","0","0","209","0","0","0"
"242","1936.39","1534.47","86.8769","8","0","0","0","0","47","0","0","0","210","0","0","0"
"244","-4455.11","-1655.01","85","0","13","15","10","5.596","1","0","0","0","211","0","1","0"
"246","-4932.53","-1596.05","84.8157","20","0","0","0","0","1","0","0","0","212","0","0","0"
"254","-236.47","2202.42","97.3452","5","0","0","0","0","33","0","0","0","214","0","0","0"
"255","-223.399","2101.97","97.3899","5","0","0","0","0","33","0","0","0","215","0","0","0"
"256","-189.006","2145.69","97.3899","7","0","0","0","0","33","0","0","0","216","0","0","0"
"257","4253.11","756.967","-19.5","0","16.97","16.97","8","5.996","1","0","0","0","217","0","1","0"
"259","-148.633","131.08","-33.4141","0","36.97","36.97","20","0","48","0","0","0","218","0","1","0"
"262","2019.73","2004.6","61.6874","15","0","0","0","0","47","0","0","0","220","0","0","0"
"283","-527.658","321.109","-50.2584","20","0","0","0","0","48","0","0","0","223","0","0","0"
"284","-8681.37","434.406","99.2579","7","0","0","0","0","0","0","0","0","224","0","0","0"
"286","-6055.5","-2955","220","0","14.14","24","22","0.04494","0","0","0","0","225","0","1","0"
"288","-228.193","34.1602","-39.2339","10","0","0","0","0","70","0","0","0","226","0","0","0"
"302","-3463.26","-4123.13","17.1043","8","0","0","0","0","1","0","0","0","227","0","0","0"
"303","-4058.75","-2732.54","35.3301","10","0","0","0","0","1","0","0","0","228","0","0","0"
"322","-312.205","-4.63256","-148.657","14","0","0","0","0","90","0","0","0","229","0","0","0"
"324","-5154.98","916.549","287.395","0","24","36","12","0.6876","0","0","370","0","230","0","1","0"
"342","-9029.174","-608.3289","56.4679","30","0","0","0","0","0","0","0","0","231","0","0","0"
"382","-8681.4","434.439","99.259","7","0","0","0","0","0","0","0","0","232","0","0","0"
"422","-93.1614","1691.15","89.0649","20","0","0","0","0","1","0","0","0","234","0","0","0"
"442","-4664.6","-2536.93","82.6679","0","14.14","14.14","22","5.743","1","0","0","0","235","0","1","0"
"444","2593.94","1124.64","56.179","11","0","0","0","0","129","0","0","0","236","0","0","0"
"446","-10292.3","-3990.02","-68","0","3","6","8","1.307","0","0","0","0","237","0","1","0"
"448","-303.879","95.7567","-87","0","30","16","10","6.269","109","0","0","0","238","0","1","0"
"462","2107.72","1823.77","79.9696","10","0","0","0","0","47","0","0","0","248","0","0","0"
"463","2165.75","1944.75","61.4635","15","0","0","0","0","47","0","0","0","249","0","0","0"
"482","-8932.78","-1986.4","139.905","12","0","0","0","0","0","0","0","0","250","0","0","0"
"503","39.3741","0.803469","-12.7883","8","0","0","0","0","34","0","0","0","251","0","0","0"
"522","-1679.3","-4328.96","2.58591","4","0","0","0","0","1","0","0","0","252","0","0","0"
"523","-4914.93","827.915","271.146","0","18","20","16","6.191","0","0","370","0","253","0","1","0"
"525","-717.868","1.37207","-241.293","12","0","0","0","0","90","0","0","0","254","0","0","0"
"527","9947.48","2630.04","1318.6","10","0","0","0","0","1","0","0","0","255","0","0","0"
"542","8393.8","1003.9","30.1912","10","0","0","0","0","1","0","0","0","256","0","0","0"
"562","-9465.58","16.8472","-65.921","30","0","0","0","0","0","0","0","0","257","0","0","0"
"602","1687.57","1040.09","20.9829","8","0","0","0","0","189","0","0","0","258","0","0","0"
"604","853.679","1308.1","19.6714","8","0","0","0","0","189","0","0","0","259","0","0","0"
"606","1608.65","-308.97","20.7824","8","0","0","0","0","189","0","0","0","260","0","0","0"
"608","253.601","-186.804","21.0385","0","30","32","10","0","189","0","0","0","261","0","1","0"
"610","2925.18","-820.545","161.634","8","0","0","0","0","0","0","0","0","262","0","0","0"
"612","2877.98","-839.267","163.049","6","0","0","0","0","0","0","0","0","263","0","0","0"
"614","2864.82","-823.42","160.332","0","4","10.22","15","0.4299","0","0","0","0","264","0","1","0"
"682","-9219.37","-2149.94","70.606","30","0","0","0","0","0","0","0","0","266","0","0","0"
"702","-9021.69","891.269","32","0","6","9","13","5.385","0","0","0","0","267","1","1","0"
"704","-9017.97","878.052","151.618","0","4","8","10","5.433","0","0","0","0","268","1","1","0"
"707","-10517","-1158.39","39.0542","30","0","0","0","0","0","0","0","0","269","0","0","0"
"708","945.234","-1448.1","62.9038","0","12.18","11.86","11.53","4.712","0","0","0","0","270","0","1","0"
"709","-3615.49","-4467.34","24.3141","30","0","0","0","0","1","0","0","0","271","0","0","0"
"710","-5601.46","-530.747","395.483","35","0","0","0","0","0","0","0","0","272","0","0","0"
"712","-5390.18","-2953.93","322.03","36","0","0","0","0","0","0","0","0","273","0","0","0"
"715","9809.05","959.188","1315.35","32","0","0","0","0","1","0","0","0","274","0","0","0"
"717","2756.64","-423.057","119.387","32","0","0","0","0","1","0","0","0","275","0","0","0"
"719","2303.72","279.352","30","25","0","0","0","0","0","0","0","0","276","0","0","0"
"721","-58.2847","-979.064","53.4992","0","40.22","54.47","40.58","5.829","0","0","0","0","277","0","1","0"
"722","-2366.7","-345.983","-1.29313","30","0","0","0","0","1","0","0","0","278","0","0","0"
"742","-405.311","-2645.29","111.972","30","0","0","0","0","1","0","0","0","279","0","0","0"
"743","-1051.44","-3653.81","31.1352","30","0","0","0","0","1","0","0","0","280","0","0","0"
"762","-842.076","-472.462","-34.0656","10","0","0","0","0","48","0","0","0","281","0","0","0"
"802","-3752.81","-851.558","10.1153","20","0","0","0","0","0","0","0","0","282","0","0","0"
"803","-3668.34","-823.839","9.89915","12","0","0","0","0","0","0","0","0","283","0","0","0"
"822","-234.444","319.127","-47.5885","20","0","0","0","0","70","0","0","0","284","0","0","0"
"843","341.42","-4684.7","30.9493","30","0","0","0","0","1","0","0","0","285","0","0","0"
"844","-10487.3","-3256.87","39.8964","30","0","0","0","0","0","0","0","0","286","0","0","0"
"862","-14457","496.45","39.1392","28","0","0","0","0","0","0","0","0","287","0","0","0"
"882","-213.72","370.607","-35.3887","10","0","0","0","0","70","0","0","0","288","0","0","0"
"902","-6606.48","-3762.19","266.91","12","0","0","0","0","0","0","0","0","289","0","0","0"
"922","1182.88","840.538","8.88165","0","50","50","25","0","209","0","0","0","290","0","1","0"
"924","-6790.88","-2891.95","8.88639","0","4.636","10.59","25","0","1","0","0","0","291","0","1","0"
"942","-4950.65","-1625.14","-3.0157","25","0","0","0","0","1","0","0","0","292","0","0","0"
"943","-4950.74","-1595.14","-3.0157","25","0","0","0","0","1","0","0","0","293","0","0","0"
"944","-4950.65","-1567.1","-3.0157","25","0","0","0","0","1","0","0","0","294","0","0","0"
"962","1909.27","1015.11","11.5155","10","0","0","0","0","209","0","0","0","295","0","0","0"
"1022","898.482","922.688","126.788","35","0","0","0","0","1","0","0","0","296","0","0","0"
"1023","-7065.11","-3857.41","8.9294","20","0","0","0","0","1","0","0","0","297","0","0","0"
