Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"1","Dandor's Fury","4294584360","4294964480","4294955520","207","0","1","0"
"2","Ashbringer","16765504","4006400","4294955520","207","70","1","0"
"3","Twinblades of the Deceiver","16122111","8650889","4294955520","206","577","1","0"
"4","Aluneth, Greatstaff of the Magna","6343151","8615067","4294955520","208","62","1","0"
"11","Scale of the Earth-Warder","11010048","3276800","4294955520","215","73","1","0"
"12","Blades of the Fallen Prince","9152481","1447762","4294955520","214","251","1","0"
"13","G'Hanir, the Mother Tree","4289388135","4278676243","4294955520","217","105","1","0"
"15","Maw of the Damned","4293472563","4282188544","4292935678","214","250","1","0"
"16","Apocalypse","4282449773","4278205710","4294955520","214","252","1","0"
"17","Fangs of the Devourer","4293689178","4288031788","4294955520","216","261","1","0"
"34","Talonclaw, Spear of the Wild Gods","4281913726","4278206771","4294955520","226","255","1","0"
"35","Warswords of the Valarjar","11010048","3276800","4294955520","215","72","1","0"
"36","Strom'kar, the Warbreaker","11010048","3276800","4294955520","215","71","1","0"
"37","Skull of the Man'ari","4283763062","4278845467","4294955520","229","266","1","2"
"38","Scepter of Sargeras","4287647643","4281467005","4294955520","229","267","1","0"
"39","Ulthalesh, the Deadwind Harvester","4288301468","4283767670","4294939628","229","265","1","0"
"40","The Fist of Ra-den","4283159030","4278255680","4294955520","225","262","1","0"
"41","Doomhammer","4283160315","4281945238","4281656063","225","263","1","2"
"42","Sharas'dal, Scepter of Tides","4278493324","4278213998","4294955520","225","264","1","0"
"43","The Kingslayers","4292444771","4285077528","4294955520","216","259","1","0"
"44","The Dreadblades","4293377536","0","4294955520","216","260","1","0"
"45","T'uure, Beacon of the Naaru","4285267961","4278200415","4294955520","227","257","1","0"
"46","Light's Wrath","4284542975","4278227359","4285398271","227","256","1","0"
"47","Xal'atath, Blade of the Black Empire","4287386783","4282980468","4294955520","241","258","1","2"
"48","The Silver Hand","16765504","4006400","4294955520","207","65","1","0"
"49","Truthguard","16765504","4006400","4294955520","207","66","1","0"
"50","Fists of the Heavens","4282187711","4279740825","4294703411","228","269","1","0"
"51","Sheilun, Staff of the Mists","4283233484","4278211399","4294955520","228","270","1","0"
"52","Fu Zan, the Wanderer's Companion","4282514668","4278883979","4294955520","228","268","1","0"
"53","Ebonchill, Greatstaff of Alodi","6343151","8615067","4294955520","208","64","1","0"
"54","Felo'melorn","4293901920","4288685629","4294955520","208","63","1","2"
"55","Thas'dorah, Legacy of the Windrunners","4294441066","4282536463","4294955520","226","254","1","0"
"56","Titanstrike","4294824193","0","4294955520","226","253","1","0"
"57","Claws of Ursoc","4289388135","4278676243","4294955520","217","104","1","0"
"58","Fangs of Ashamane","4289388135","4278676243","4294963629","217","103","1","0"
"59","Scythe of Elune","4289388135","4278676243","4294955520","217","102","1","0"
"60","The Aldrachi Warblades","16122111","8650889","4294955520","206","581","1","0"
"73","Underlight Angler","4283990731","4278194943","4294967295","227","0","2","0"
"74","Oakbringer","16765504","4006400","4294955520","207","70","1","0"
"80","Test Artifact 2","16765504","4006400","4294955520","207","70","1","0"
"81","Test Artifact","16765504","4006400","4294955520","207","65","1","0"
"82","Test Artifact 3","16765504","4006400","4294955520","207","66","1","0"
