Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"1","Crystal Form","","72","0","1","1","-1","0"
"2","Spiky Form","","0","0","1","2","-1","0"
"3","Ashbringer","","62","0","2","1","-1","0"
"4","Greatsword of the Righteous","","65","0","2","2","-1","0"
"5","Burning Reprisal","","63","0","2","3","-1","0"
"6","Fallen Hope","","66","0","2","4","-1","0"
"7","Shattered Reckoning","","64","0","2","5","-1","0"
"8","Twinblades of the Deceiver","","72","161","3","1","-1","0"
"9","Hand of the Illidari","","76","928","3","2","-1","0"
"10","Darkenblade","","75","930","3","3","-1","0"
"11","Flamereaper","","77","931","3","5","-1","0"
"12","Demon's Touch","","73","929","3","4","-1","0"
"13","G'Hanir, the Mother Tree","","61","0","13","1","-1","0"
"14","Eldertree","","68","0","13","2","-1","0"
"15","Crystalline Awakening","","60","0","13","3","-1","0"
"16","Deadwood Keeper","","69","0","13","4","-1","0"
"17","Warden's Crown","","70","0","13","6","-1","1"
"20","Scale of the Earth-Warder","","183","71","11","1","-1","0"
"21","Fangs of the Devourer","","168","169","17","1","-1","0"
"22","Demon's Embrace","","172","173","17","3","-1","0"
"23","Shadowblade","","170","171","17","2","-1","0"
"24","Bloodfeaster","","174","175","17","4","-1","0"
"25","Iceshear","","176","177","17","5","-1","0"
"32","Maw of the Damned","","163","0","15","1","-1","0"
"33","Apocalypse","","162","0","16","1","-1","0"
"39","Blades of the Fallen Prince","","166","167","12","1","-1","0"
"40","The Fist of Ra-den","","191","192","40","1","-1","0"
"41","Thas'dorah, Legacy of the Windrunners","","719","0","55","1","-1","0"
"42","The Kingslayers","","391","392","43","1","-1","0"
"43","Sharas'dal, Scepter of Tides","","195","958","42","1","-1","0"
"44","Doomhammer","","189","0","41","1","-1","0"
"45","T'uure, Beacon of the Naaru","","194","0","45","1","-1","0"
"46","Blade of the Black Empire","","570","952","47","1","-1","0"
"47","The Silver Hand","","198","199","48","1","-1","0"
"48","Claws of Ursoc","","188","638","57","1","-1","0"
"49","Scepter of Sargeras","","357","0","38","1","-1","0"
"50","Sheilun, Staff of the Mists","","196","0","51","1","-1","0"
"51","Felo'melorn","","190","935","54","1","-1","0"
"52","Talonclaw","","197","0","34","1","-1","0"
"53","Aluneth","","178","0","4","1","-1","0"
"54","Guardian Spire","","179","0","4","2","-1","0"
"55","Magna Unleashed","","181","0","4","3","-1","0"
"56","Aegwynn's Fall","","180","0","4","4","-1","0"
"57","Eternal Magus","","182","0","4","5","-1","0"
"58","Deathguard's Gaze","","184","965","11","4","-1","0"
"59","Last Breath of the Worldbreaker","","185","966","11","6","-1","1"
"60","Unbroken Stand","","186","967","11","3","-1","0"
"61","Arm of the Fallen King","","187","968","11","2","-1","0"
"64","Ebonchill","","344","0","53","1","-1","0"
"65","Guardian's Focus","","346","0","53","2","-1","0"
"66","Archmagi's Will","","351","0","53","4","-1","0"
"67","Frostfire Remembrance","","353","0","53","6","-1","1"
"68","Flow of the First","","354","0","53","3","-1","0"
"69","Hubris of the Dark Titan","","359","0","38","2","-1","0"
"70","Echo of Gul'dan","","360","0","38","3","-1","0"
"71","Shadow of the Destroyer","","362","0","38","4","-1","0"
"72","Legionterror","","361","0","38","6","-1","1"
"73","Ranger-General's Guard","","933","0","55","4","-1","0"
"74","Phoenix's Rebirth","","722","0","55","3","-1","0"
"75","A Sister's Bond","","720","0","55","2","-1","0"
"76","Ravenguard","","721","0","55","6","-1","1"
"77","Cursed Hand","","858","863","43","2","-1","0"
"78","Heartstopper","","860","864","43","3","-1","0"
"79","Magekiller's Edge","","859","865","43","4","-1","0"
"80","Bonebreaker","","861","866","43","6","-1","1"
"81","Scythe of Elune","","631","0","59","1","-1","0"
"82","Embrace of the Old Gods","","773","957","47","2","-1","0"
"83","The Fallen Blade","","774","953","47","3","-1","0"
"84","Vision of Madness","","776","955","47","4","-1","0"
"85","Twisted Reflection","","775","954","47","5","-1","0"
"86","Stonepaw","","188","638","57","2","-1","0"
"87","Avatar of Ursol","","188","638","57","3","-1","0"
"88","Fallen to Nightmare","","188","638","57","4","-1","0"
"89","Guardian of the Glade","","188","638","57","6","-1","1"
"90","Aldrachi Warblades","","753","759","60","1","-1","0"
"91","Fangs of Ashamane","","636","637","58","1","-1","0"
"92","Bloodmaw","","701","0","15","2","-1","0"
"93","Bonejaw","","702","0","15","5","-1","0"
"94","Soulreaper","","704","0","15","3","-1","0"
"95","Executioner","","703","0","15","4","-1","0"
"96","Frostmourne's Legacy","","662","663","12","2","-1","0"
"97","Soul Collector","","664","665","12","5","-1","0"
"98","Gravekeeper","","700","699","12","4","-1","0"
"99","Sindragosa's Fury","","667","666","12","3","-1","0"
"100","Faminebearer","","658","0","16","4","-1","0"
"101","Herald of Pestilence","","661","0","16","3","-1","0"
"102","Unholy War","","659","0","16","2","-1","0"
"103","Bone Reaper","","660","0","16","6","-1","1"
"104","Illidari Crest","","901","902","60","2","-1","0"
"105","Boneterror","","903","904","60","4","-1","0"
"106","Dreadlord's Bite","","905","906","60","3","-1","0"
"107","Iron Warden","","907","908","60","6","-1","1"
"108","Envoy of Goldrinn","","831","0","59","2","-1","0"
