Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown5
"1","0.1740899","0.3699016","1","18","0","0"
"2","0.2341476","0.5151883","1","0","1","0"
"3","0.6746856","0.4865437","1","0","1","0"
"4","0.6558321","0.8616955","1","0","1","0"
"5","0.7015479","0.6564794","1","1","1","0"
"6","0.2390056","0.7928608","1","0","1","0"
"7","0.501861","0.53693","1","4","50","0"
"8","0.446842","0.3519955","1","0","1","0"
"9","0.9053886","0.4831818","1","0","3","0"
"10","0.41109","0.8438495","1","0","1","0"
"11","0.9022889","0.6720659","1","1","1","0"
"40","0.723233","0.3171794","2","18","0","0"
"41","0.4558591","0.7425578","2","0","3","4"
"42","0.3558283","0.5621215","2","0","3","5"
"43","0.6656577","0.4874305","2","0","3","6"
"44","0.3486513","0.8443667","2","0","3","11"
"47","0.2253204","0.5442738","2","0","3","12"
"49","0.2230613","0.8821597","2","1","1","1"
"50","0.4640242","0.4880359","2","0","3","8"
"51","0.9453575","0.5007063","2","0","3","9"
"52","0.8708997","0.3718151","2","0","3","10"
"53","0.2734137","0.7219917","2","0","3","7"
"54","0.1092496","0.6124592","2","1","1","2"
"72","0.5421721","0.385925","4","0","3","4"
"73","0.3957319","0.3884472","4","1","1","1"
"74","0.5554886","0.8818919","4","0","3","5"
"75","0.2676139","0.1965502","4","0","3","6"
"77","0.7636595","0.7120849","4","0","3","8"
"78","0.5677931","0.5219092","4","0","1","0"
"79","0.6413797","0.6093937","4","0","3","10"
"80","0.4148847","0.7280354","4","1","1","3"
"81","0.3531204","0.5528957","4","0","3","9"
"82","0.5152066","0.7277431","4","0","3","7"
"83","0.8833801","0.4495051","4","0","3","11"
"84","0.3405378","0.9220858","4","0","3","12"
"86","0.6801693","0.4890246","4","1","1","2"
"87","0.4558193","0.6180618","4","0","1","0"
"91","0.4872021","0.7438279","11","18","0","0"
"92","0.5021368","0.5973574","11","1","1","1"
"93","0.8307645","0.3899608","11","1","1","2"
"94","0.2379838","0.3031171","11","1","1","3"
"95","0.3233683","0.629838","11","0","3","4"
"96","0.3797999","0.7872508","11","0","3","5"
"97","0.4035462","0.2809629","11","0","1","0"
"98","0.2711048","0.4496689","11","0","3","6"
"99","0.5160389","0.4603379","11","0","3","7"
"100","0.7613202","0.5213777","11","0","3","8"
"101","0.6677029","0.6925597","11","0","3","9"
"102","0.5750841","0.8251362","11","0","3","10"
"103","0.5324447","0.2878757","11","0","1","0"
"104","0.6717097","0.322624","11","0","1","0"
"105","0.3674612","0.4337152","11","0","3","11"
"106","0.6677713","0.4842737","11","0","3","12"
"108","0.5104517","0.7672918","12","0","3","4"
"109","0.315743","0.2624277","12","0","3","6"
"110","0.3985559","0.4780517","12","0","3","5"
"111","0.6301734","0.6986907","12","0","3","10"
"113","0.1015904","0.468046","12","0","3","8"
"114","0.2792044","0.6058564","12","0","3","9"
"115","0.563131","0.5076724","12","0","3","11"
"117","0.434937","0.9297139","12","0","3","7"
"119","0.1291907","0.6699697","12","0","1","0"
"120","0.4175944","0.6370743","12","0","1","0"
"122","0.07875105","0.2140862","12","18","0","1"
"123","0.2525927","0.4333465","12","1","1","2"
"124","0.589541","0.9276418","12","1","1","3"
"125","0.277931","0.673071","13","18","0","0"
"126","0.6625723","0.2870955","13","1","1","1"
"127","0.7188837","0.56549","13","1","1","2"
"128","0.4310777","0.8589889","13","1","1","3"
