Id,Unknown0,Unknown1
"65","96","95"
"67","102","101"
"73","101","100"
"74","100","104"
"75","104","93"
"76","95","98"
"77","98","97"
"78","97","94"
"79","95","105"
"80","99","92"
"81","101","106"
"85","99","103"
"87","98","105"
"89","106","100"
"90","101","103"
"91","95","103"
"92","104","106"
"93","105","97"
"212","127","136"
"213","130","128"
"214","132","126"
"219","135","131"
"220","138","134"
"221","134","136"
"223","131","130"
"224","134","132"
"278","314","309"
"285","311","318"
"288","318","319"
"364","158","157"
"390","8","3"
"391","3","9"
"392","9","11"
"394","5","4"
"395","4","10"
"396","10","6"
"400","2","8"
"469","791","797"
"472","798","787"
"473","798","785"
"567","893","895"
"568","891","895"
"569","895","887"
"570","897","892"
"571","886","890"
"576","888","889"
"579","889","890"
"588","47","54"
"594","42","47"
"604","912","910"
"622","909","901"
"623","1","2"
"767","958","952"
"770","135","138"
"772","140","138"
"773","131","139"
"774","139","136"
"776","133","137"
"777","137","130"
"778","140","129"
"779","129","132"
"857","44","49"
"859","927","923"
"864","923","926"
"866","918","917"
"869","918","924"
"870","928","920"
"871","924","920"
"872","927","921"
"874","929","922"
"919","1002","1016"
"920","1016","1004"
"921","1004","1000"
"925","1005","1015"
"929","1008","1002"
"932","1000","1005"
"940","1024","1028"
"941","1025","1028"
"942","1023","1029"
"943","1022","1029"
"1098","111","1092"
"1204","926","919"
"1208","921","916"
"1209","916","928"
"1283","1103","1105"
"1284","1105","1107"
"1285","1107","1115"
"1288","1104","1106"
"1289","1106","1108"
"1290","1108","1116"
"1302","1109","1117"
"1350","1149","1139"
"1351","1137","1147"
"1356","1143","1138"
"1362","1144","1140"
"1363","1140","1147"
"1368","854","859"
"1369","859","860"
"1370","860","858"
"1371","858","866"
"1372","856","863"
"1373","863","855"
"1374","855","853"
"1375","853","866"
"1377","859","857"
"1378","857","865"
"1379","860","862"
"1380","862","852"
"1381","852","864"
"1382","855","861"
"1383","858","861"
"1385","1145","1142"
"1386","1142","1150"
"1387","1150","1137"
"1388","1145","1148"
"1389","1148","1149"
"1390","1149","1146"
"1391","1146","1143"
"1392","1146","1141"
"1393","1143","1151"
"1394","1151","1144"
"1396","991","994"
"1398","989","992"
"1399","982","990"
"1400","990","988"
"1401","988","980"
"1402","987","980"
"1403","986","982"
"1406","992","986"
"1407","994","987"
"1409","981","993"
"1411","996","995"
"1418","894","896"
"1419","896","892"
"1423","893","898"
"1424","898","891"
"1425","896","891"
"1426","889","893"
"1427","888","884"
"1428","894","885"
"1431","844","848"
"1432","841","843"
"1433","848","835"
"1434","843","836"
"1443","847","848"
"1458","774","771"
"1460","778","775"
"1461","775","777"
"1462","777","768"
"1464","771","772"
"1465","772","770"
"1466","767","773"
"1467","773","776"
"1468","776","769"
