Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"1","0","9980","1","1","0"
"2","0","9992","1","2","0"
"12","716","42709","15","1","0"
"13","717","42709","12","1","0"
"14","718","42709","16","1","0"
"15","719","42709","3","1","0"
"16","721","42709","60","1","0"
"17","722","42709","59","1","0"
"18","723","42709","58","1","0"
"19","724","42709","57","1","0"
"20","725","42709","13","1","0"
"21","726","42709","56","1","0"
"22","727","42709","55","1","0"
"23","728","42709","34","1","0"
"24","729","42709","4","1","0"
"25","730","42709","54","1","0"
"26","731","42709","53","1","0"
"27","732","42709","52","1","0"
"28","733","42709","51","1","0"
"29","734","42709","50","1","0"
"30","735","42709","48","1","0"
"31","736","42709","49","1","0"
"32","737","42709","2","1","0"
"33","738","42709","46","1","0"
"34","739","42709","45","1","0"
"35","740","42709","47","1","0"
"36","741","42709","43","1","0"
"37","742","42709","44","1","0"
"38","743","42709","17","1","0"
"39","744","42709","40","1","0"
"40","745","42709","41","1","0"
"41","746","42709","42","1","0"
"42","747","42709","39","1","0"
"43","748","42709","37","1","0"
"44","749","42709","38","1","0"
"45","750","42709","36","1","0"
"46","751","42709","35","1","0"
"47","752","42709","11","1","0"
