Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"3","Long","","1","0","11","0","0"
"4","Foxtail","","1","0","11","0","1"
"5","Braids","","1","0","11","0","2"
"6","Swept","","1","0","11","0","3"
"7","Spiked Tail","","1","0","11","0","4"
"8","Beaded Braid","","1","0","11","0","5"
"9","Horned","","1","0","11","0","6"
"10","Looped Tail","","1","0","11","0","7"
"11","Bald","","1","0","11","0","8"
"19","Bare","","0.75","2","11","0","0"
"20","Splayed Tendrils","","0.75","2","11","0","1"
"21","Burns","","0.75","2","11","0","2"
"22","Chops","","0.75","2","11","0","3"
"23","Mustachioed","","0.75","2","11","0","4"
"24","Soul Patch","","0.75","2","11","0","5"
"25","Goatee","","0.75","2","11","0","6"
"26","Twin Tendrils","","0.75","2","11","0","7"
"27","Straight","","1","0","1","1","0"
"28","Loose","","1","0","1","1","1"
"29","Bangs","","1","0","1","1","2"
"30","Full","","1","0","1","1","3"
"31","Parted Long","","1","0","1","1","4"
"32","Flipped","","1","0","1","1","5"
"33","Tomboy","","1","0","1","1","6"
"34","Pony Right","","1","0","1","1","7"
"35","Pony Left","","1","0","1","1","8"
"36","Bobbed","","1","0","1","1","9"
"37","Layered","","1","0","1","1","10"
"38","Short","","1","0","1","1","11"
"39","Flirty","","1","0","1","1","12"
"40","Waved","","1","0","1","1","13"
"41","Bun","","1","0","1","1","14"
"42","Parted Short","","1","0","1","1","15"
"43","Waved Bob","","1","0","1","1","16"
"44","Rushed","","1","0","1","1","17"
"55","Unpierced","","0.75","2","1","1","0"
"56","Earrings","","0.75","2","1","1","1"
"57","Upper Earrings","","0.75","2","1","1","2"
"58","Double Upper Earrings","","0.75","2","1","1","3"
"59","Full Earrings","","0.75","2","1","1","4"
"60","Nose Ring","","0.75","2","1","1","5"
"61","Nose & Brow Rings","","0.75","2","1","1","6"
"62","Soaked","","1","0","1","1","18"
"63","Bald","","1","0","1","0","0"
"64","Peasant","","1","0","1","0","1"
"65","Soldier","","1","0","1","0","2"
"66","Monk","","1","0","1","0","3"
"67","Barbarian","","1","0","1","0","4"
"68","Dashing","","1","0","1","0","5"
"69","Loose","","1","0","1","0","6"
"70","Courtier","","1","0","1","0","7"
"71","Scholar","","1","0","1","0","8"
"72","Rogue","","1","0","1","0","9"
"73","Fabulous","","1","0","1","0","10"
"74","Samson","","1","0","1","0","11"
"85","Bearded","","0.75","2","1","0","0"
"86","Colonel","","0.75","2","1","0","1"
"87","Duelist","","0.75","2","1","0","2"
"88","Goatee","","0.75","2","1","0","3"
"89","Wizard","","0.75","2","1","0","4"
"90","Chops","","0.75","2","1","0","5"
"91","Van Dyke","","0.75","2","1","0","6"
"92","Mustachioed","","0.75","2","1","0","7"
"93","Clean","","0.75","2","1","0","8"
"125","Straight","","1","0","11","1","0"
"126","Flipped","","1","0","11","1","1"
"127","Cute","","1","0","11","1","2"
"128","Feathered","","1","0","11","1","3"
"129","Buns","","1","0","11","1","4"
"130","Jeweled Band","","1","0","11","1","5"
"131","Bangs","","1","0","11","1","6"
"132","Elegant","","1","0","11","1","7"
"133","Bounce","","1","0","11","1","8"
"134","Nape","","1","0","11","1","9"
"135","Sassy","","1","0","11","1","10"
"143","Sweeping","","0.75","2","11","1","0"
"144","Curled","","0.75","2","11","1","1"
"145","Arced","","0.75","2","11","1","2"
"146","High","","0.75","2","11","1","3"
"147","Spread","","0.75","2","11","1","4"
"148","Grand","","0.75","2","11","1","5"
"149","Short","","0.75","2","11","1","6"
"175","High Tail","","1","0","10","1","0"
"176","Parted Long","","1","0","10","1","1"
"177","Soaked","","1","0","10","1","2"
"178","Trouble","","1","0","10","1","3"
"179","Jeweled Band","","1","0","10","1","4"
"180","Full","","1","0","10","1","5"
"181","Tied","","1","0","10","1","6"
"182","Bun","","1","0","10","1","7"
"183","Parted Short","","1","0","10","1","8"
"184","Simple","","1","0","10","1","9"
"185","Shy","","1","0","10","1","10"
"186","Raquel","","1","0","10","1","11"
"187","Curled","","1","0","10","1","12"
"188","Headband","","1","0","10","1","13"
"200","Rubies","","0.75","2","10","1","1"
"201","Hoops","","0.75","2","10","1","2"
"202","Earrings","","0.75","2","10","1","3"
"203","Dangling Emeralds","","0.75","2","10","1","4"
"204","Emeralds & Bars","","0.75","2","10","1","5"
"205","Upper Earrings","","0.75","2","10","1","6"
"206","Pearls","","0.75","2","10","1","7"
"207","Dangling Rubies","","0.75","2","10","1","8"
"208","Emerald & Pearl Bars","","0.75","2","10","1","9"
"209","Rubies & Diamonds","","0.75","2","10","1","10"
"245","Flipped","","1","0","10","0","0"
"246","Swept","","1","0","10","0","1"
"247","Falcon","","1","0","10","0","2"
"248","Foxtail","","1","0","10","0","3"
"249","Parted Long","","1","0","10","0","4"
"250","Spiked","","1","0","10","0","5"
"251","Long Bangs","","1","0","10","0","6"
"252","Feathered Part","","1","0","10","0","7"
"253","Slicked","","1","0","10","0","8"
"254","Headband","","1","0","10","0","9"
"255","Topknot","","1","0","10","0","10"
"266","Clean","","0.75","2","10","0","0"
"267","Point","","0.75","2","10","0","1"
"268","Soul Patch","","0.75","2","10","0","2"
"269","Spike","","0.75","2","10","0","3"
"270","Pointed Chin","","0.75","2","10","0","4"
"271","Cropped Chin","","0.75","2","10","0","5"
"272","Soul Strip","","0.75","2","10","0","6"
"273","Dagger","","0.75","2","10","0","7"
"274","Goatee","","0.75","2","10","0","8"
"275","Styled Chin","","0.75","2","10","0","9"
"307","Mane","","1","0","4","0","0"
"308","Chonmage Braids","","1","0","4","0","1"
"309","Long","","1","0","4","0","2"
"310","Tail","","1","0","4","0","3"
"311","Chonmage Long","","1","0","4","0","4"
"312","Short Tail","","1","0","4","0","5"
"313","Windswept","","1","0","4","0","6"
"322","Clean","","0.75","2","4","0","0"
"323","Groomed","","0.75","2","4","0","1"
"324","Bearded","","0.75","2","4","0","2"
"325","Mustachioed","","0.75","2","4","0","3"
"326","Chops","","0.75","2","4","0","4"
"327","Goatee","","0.75","2","4","0","5"
"349","Bald","","1","0","3","0","0"
"350","Long","","1","0","3","0","1"
"351","Tail","","1","0","3","0","2"
"352","Short","","1","0","3","0","3"
"353","Topknot","","1","0","3","0","4"
"354","Short Tail","","1","0","3","0","5"
"355","Swept","","1","0","3","0","6"
"356","Receding","","1","0","3","0","7"
"357","Chonmage","","1","0","3","0","8"
"358","Braid","","1","0","3","0","9"
"359","Short Braid","","1","0","3","0","10"
"370","Full","","0.75","2","3","0","0"
"371","Double-Braided","","0.75","2","3","0","1"
"372","Groomed","","0.75","2","3","0","2"
"373","Short","","0.75","2","3","0","3"
"374","Grand Mustache","","0.75","2","3","0","4"
"375","Braided Mustache","","0.75","2","3","0","5"
"376","Styled","","0.75","2","3","0","6"
"377","Pointed","","0.75","2","3","0","7"
"378","Braided","","0.75","2","3","0","8"
"379","Humbug","","0.75","2","3","0","9"
"380","Grimbeard","","0.75","2","3","0","10"
"413","Topknot","","1","0","2","1","0"
"414","Tail","","1","0","2","1","1"
"415","Crest","","1","0","2","1","2"
"416","Tufts","","1","0","2","1","3"
"417","Boar Tails","","1","0","2","1","4"
"418","Horns","","1","0","2","1","5"
"419","Mane","","1","0","2","1","6"
"420","Shaved","","1","0","2","1","7"
"429","Unpierced","","0.75","2","2","1","0"
"430","Earrings","","0.75","2","2","1","1"
"431","Upper Earrings","","0.75","2","2","1","2"
"432","Nose Ring","","0.75","2","2","1","3"
"433","Nose & Earrings","","0.75","2","2","1","4"
"434","Nose & Upper Earrings","","0.75","2","2","1","5"
"435","Full Earrings","","0.75","2","2","1","6"
"459","Double-Braided","","1","0","3","1","0"
"460","Braided Buns","","1","0","3","1","1"
"461","Braided","","1","0","3","1","2"
"462","Boar Tails","","1","0","3","1","3"
"463","Braided Bun","","1","0","3","1","4"
"464","Looped","","1","0","3","1","5"
"465","Tied","","1","0","3","1","6"
"466","Short","","1","0","3","1","7"
"467","Parted","","1","0","3","1","8"
"468","Short Braids","","1","0","3","1","9"
"469","Bobbed","","1","0","3","1","10"
"470","Cropped","","1","0","3","1","11"
"471","Bangs & Braids","","1","0","3","1","12"
"472","Gathered","","1","0","3","1","13"
"483","Unpierced","","0.75","2","3","1","0"
"484","Earrings","","0.75","2","3","1","1"
"485","Upper Earring","","0.75","2","3","1","2"
"486","Double Upper Earring","","0.75","2","3","1","3"
"487","Nose Ring","","0.75","2","3","1","4"
"488","Small Earrings","","0.75","2","3","1","5"
"519","Tower","","1","0","7","1","0"
"520","Sprouts","","1","0","7","1","1"
"521","Boar Tails","","1","0","7","1","2"
"522","Parted","","1","0","7","1","3"
"523","Soaked","","1","0","7","1","4"
"524","Braided Buns","","1","0","7","1","5"
"525","Bobbed","","1","0","7","1","6"
"535","Unpierced","","0.75","2","7","1","0"
"536","Earrings","","0.75","2","7","1","1"
"537","Small Earrings","","0.75","2","7","1","2"
"538","Upper Earrings","","0.75","2","7","1","3"
"539","Full Earrings","","0.75","2","7","1","4"
"540","Left Earring","","0.75","2","7","1","5"
"541","Right Earring","","0.75","2","7","1","6"
"565","Bald","","1","0","7","0","0"
"566","Wings","","1","0","7","0","1"
"567","Groomed","","1","0","7","0","2"
"568","Cowlicked","","1","0","7","0","3"
"569","Styled","","1","0","7","0","4"
"570","Balding","","1","0","7","0","5"
"571","Combover","","1","0","7","0","6"
"581","Clean","","0.75","2","7","0","0"
"582","Goatee","","0.75","2","7","0","1"
"583","Chops","","0.75","2","7","0","2"
"584","Waxed","","0.75","2","7","0","3"
"585","Bearded","","0.75","2","7","0","4"
"586","Handlebars","","0.75","2","7","0","5"
"587","Styled","","0.75","2","7","0","6"
"588","Mustachioed","","0.75","2","7","0","7"
"613","Bald","","1","0","5","0","0"
"614","Mohawk","","1","0","5","0","1"
"615","Shaggy","","1","0","5","0","2"
"616","Wisps","","1","0","5","0","3"
"617","Spiked","","1","0","5","0","4"
"618","Wild","","1","0","5","0","5"
"619","Scholar","","1","0","5","0","6"
"620","Full","","1","0","5","0","7"
"621","Topknot","","1","0","5","0","8"
"622","Long","","1","0","5","0","9"
"633","Intact","","0.75","2","5","0","0"
"634","Rot-Kissed","","0.75","2","5","0","1"
"635","Strapped","","0.75","2","5","0","2"
"636","Strapped Slackjaw","","0.75","2","5","0","3"
"637","Strapped Drooler","","0.75","2","5","0","4"
"638","Rotting","","0.75","2","5","0","5"
"639","Rotting Slackjaw","","0.75","2","5","0","6"
"640","Rotting Drooler","","0.75","2","5","0","7"
"641","Bonejawed","","0.75","2","5","0","8"
"642","Jawsome","","0.75","2","5","0","9"
"643","Toothy","","0.75","2","5","0","10"
"644","Toothy Slackjaw","","0.75","2","5","0","11"
"645","Cheeky","","0.75","2","5","0","12"
"646","Cheeky Slackjaw","","0.75","2","5","0","13"
"647","Putrid","","0.75","2","5","0","14"
"648","Putrid Slackjaw","","0.75","2","5","0","15"
"649","Putrid Drooler","","0.75","2","5","0","16"
"687","Wild","","1","0","5","1","0"
"688","Shaggy","","1","0","5","1","1"
"689","Loose","","1","0","5","1","2"
"690","Windswept","","1","0","5","1","3"
"691","Long","","1","0","5","1","4"
"692","The Bride","","1","0","5","1","5"
"693","Tomboy","","1","0","5","1","6"
"694","Styled","","1","0","5","1","7"
"695","Bobbed","","1","0","5","1","8"
"696","Soaked","","1","0","5","1","9"
"707","Intact","","0.75","2","5","1","0"
"708","Stitched","","0.75","2","5","1","1"
"709","Strapped","","0.75","2","5","1","2"
"710","Rotting","","0.75","2","5","1","3"
"711","Bonejawed","","0.75","2","5","1","4"
"712","Toothy","","0.75","2","5","1","5"
"713","Cheeky","","0.75","2","5","1","6"
"714","Putrid","","0.75","2","5","1","7"
"743","Longhorn","","1","0","6","0","0"
"744","Bull","","1","0","6","0","1"
"745","Charger","","1","0","6","0","2"
"746","Broken","","1","0","6","0","3"
"747","Snapped","","1","0","6","0","4"
"748","Tiny","","1","0","6","0","5"
"749","Buffalo","","1","0","6","0","6"
"750","Gorefest","","1","0","6","0","7"
"754","Clean","","0.75","2","6","0","0"
"755","Triple Braids","","0.75","2","6","0","1"
"756","Ringed","","0.75","2","6","0","2"
"757","Braid","","0.75","2","6","0","3"
"758","Bearded","","0.75","2","6","0","4"
"759","Double Braids","","0.75","2","6","0","5"
"760","Ringed & Braided","","0.75","2","6","0","6"
"779","Bald","","1","0","2","0","0"
"780","Topknot","","1","0","2","0","1"
