Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"7","132109","Alexander's Hand","Rushes at the enemy to inflict damage.","0","2","0","0"
"70","135915","Heal Back Line Test","Heal's back line 50, but has a 2-round cooldown","0","0","0","2"
"71","135807","Damage Test","","0","6","0","0"
"72","135817","MultiEffect Test","","0","0","0","0"
"73","0","Multi Turn Test","Bites the target, dealing [StandardDamage(1,1)] damage immediately, then [StandardDamage(2,1)] damage on the next round.

Lasts [numTurns()] |4round:rounds;.","0","1","0","0"
"74","0","MultiEffect and Multi Turn Test","","0","1","0","0"
"77","646380","Strong Trap","Attempt to catch a pet below 35% health.  Capture chance is increased by 25% each time you fail.","0","0","6","0"
"78","0","Apply Timed Dot Test","","0","0","0","5"
"79","0","Aura Damage10 Test","","0","-1","0","0"
"80","237179","Apply Aura Test","","0","0","0","0"
"81","0","Aura Bomb 75 Test","","0","0","0","0"
"82","0","Apply Dot until cancel test","","0","6","0","0"
"83","460858","Apply Pad Aura Test","","0","2","0","0"
"84","132325","PadAuraTest","","104","-1","0","0"
"85","135891","Apply Stun test","","0","1","0","0"
"86","135906","Stun Aura Test","asdfasdfasdf","103","-1","0","0"
"87","460694","Apply Swap Lock","","0","9","0","0"
"88","132089","Swap Lock Aura","","0","-1","0","0"
"97","0","Stun Shot","","0","6","0","0"
"110","132127","Bite","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Bites at the enemy, dealing [StandardDamage(1,1)] [School()] damage.","0","7","0","0"
"111","132298","Punch","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Bashes the enemy, dealing [StandardDamage(1,1)] [School()] damage.","0","0","0","0"
"112","133707","Peck","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Pokes at the enemy with a sharp beak, dealing [StandardDamage(1,1)] [School()] damage.","0","2","0","0"
"113","132839","Burn","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with fire, dealing [StandardDamage(1, 1)] [School()] damage.","0","6","0","0"
"114","135189","Beam","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with a beam of arcane power, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.","0","5","0","0"
"115","135807","Breath","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Overwhelms the enemy with draconic breath, dealing [StandardDamage(1, 1)] [School()] damage.","0","1","0","0"
"116","136099","Zap","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Launches an electrical bolt at the target, dealing [StandardDamage(1,1)] [School()] damage.","0","9","0","0"
"117","237390","Infected Claw","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Tears at the enemy with plagued claws, dealing [StandardDamage(1, 1)] [School()] damage.","0","3","0","0"
"118","463570","Water Jet","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Blasts the enemy with a spray of water, dealing [StandardDamage(1,1)] [petTypeName(abilityPetType())] damage.","0","8","0","0"
"119","611425","Scratch","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Scratches the enemy, dealing [StandardDamage(1,1)] [School()] damage.","0","4","0","0"
"120","135833","Howling Blast","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage to the enemy. 

Deals [StandardDamage(1,4)] additional damage to the enemy team if the target is |cFF0070DDChilled|r.","0","6","0","3"
"121","136145","Death Coil","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] Undead damage and heals the user for [points(1,3)]% of the damage dealt.","0","3","0","0"
"122","237407","Tail Sweep","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,2)] [School()] damage, or [StandardDamage(1,1)] [School()] damage if the user strikes last.","0","1","0","0"
"123","136042","Healing Wave","Restores [StandardDamage(1,1)] health to the user.","0","8","2","3"
"124","132176","Rampage","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Goes on rampage, dealing [StandardDamage(1,1)] [School()] damage.

Rampage continues for [numTurns()] |4round:rounds.","0","7","0","3"
"125","460857","Stun Test 2.0","TEST: Patty Mac Stun","0","3","0","0"
"131","0","Stun Aura Test 2.0","","3","-1","0","0"
"132","132090","Custom Scripted Effect Test","","0","0","0","0"
"133","0","Aura - Damage Shield 2.0","","2","-1","0","0"
"134","0","Damage Shield 2.0test","","0","0","0","0"
"135","638662","Pristine Trap","Attempt to catch a pet below 35% health.  Capture chance is increased by 30% each time you fail.","0","0","6","0"
"149","538569","Heal Test 2.0","","0","4","0","0"
"150","236216","Custom Scripted Turn Test","","0","4","0","0"
"151","136067","Poison Fang","Deals [StandardDamage(1,1)] [School()] damage every round.

|cFF1EFF00Poisoned.|r","25","7","1","0"
"152","136067","Poison Fang","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Instantly deals [StandardDamage(1,1)] [School()] damage and |cFF1EFF00Poisons|r the target for [StandardDamage(1,1,379)] additional [School(379)] damage per round for [duration(1,2)] |4round:rounds.","0","7","0","0"
"153","653219","Attack Reduction","Damage dealt reduced by [abs(abilityStateMod( STATE_Mod_DamageDealtPercent, 153 ))]%.","334","-1","3","0"
"154","653221","Speed Reduction","Speed reduced by [abs(abilityStateMod(25,154))]%.","316","-1","3","0"
"155","132211","Hiss","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and reduces the target's speed by [abs(abilityStateMod(25,154))]% for [duration(1,2)] |4round:rounds;.","0","7","0","3"
"156","236177","Vicious Fang","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage. Damage increases by [FormatDamage (pointsincreaseperuse(1,1)*AttackBonus())] each time it hits. Max [FormatDamage (pointsmax(1,1)*AttackBonus())] [School()] damage.","0","7","0","0"
"157","132311","Jacob's Test Ability","The target [cond(unitHasAura(220, ENEMY), ""does"", ""does not"")] have [abilityName(220)] on them.","0","2","2","0"
"158","132269","Counterstrike","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage. 

Deals [StandardDamage(1,2)] additional [School()] damage if you were struck this round.","0","0","0","2"
"159","136025","Burrow","[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Burrow under the ground, becoming unattackable for one round.

On the next round, you attack, dealing [StandardDamage(2, 1)] [School()] damage.","0","7","0","4"
"160","136214","Consume","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage.

The user is healed for [points(1,3)]% of the damage dealt.","0","3","0","1"
"161","648208","Adrenaline","Speed increased by [abs(abilityStateMod(25,161))]%.","113","-1","2","0"
"162","132307","Adrenaline Rush","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Deals [StandardDamage(1,1)] [School()] damage and increases your speed by [abs(abilityStateMod(25,161))]% for [duration(1,2)] |4round:rounds;.","0","4","0","0"
"163","134060","Stampede","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Starts a stampede, causing [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] [School()] damage.

Opponents struck by the stampede take double damage for [duration(1,4)] |4round:rounds;.

Stampede continues for [numTurns()] |4round:rounds;.","0","4","0","0"
"164","132118","Crouch","Your damage taken has been reduced by [abs(abilityStateMod(24,164))]%.","27","-1","2","0"
"165","132118","Crouch","The user lowers its body close to the ground, reducing all damage taken by 50% for [duration(1,2)] |4round:rounds;.","0","4","2","4"
"166","134057","Nut Barrage","Deals [StandardDamage(1,1)] [School()] damage to the current pet every round.","0","4","0","0"
"167","134057","Nut Barrage","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Hurls nuts at the enemy, dealing [FormatDamage(SimpleDamage(1,1)+SimpleDamage(1,2)+SimpleDamage(1,3))] [School()] damage. 

Nuts continue to fall on the enemy's current pet  dealing [StandardDamage(1,1, 166)] [School()] damage each round for [duration(1,4)] |4round:rounds;","0","4","0","1"
"168","135794","Healing Flame","Restores [StandardDamage(1,1)] health plus half of the last hit taken by the user.","0","1","2","3"
"169","135826","Deep Breath","[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Takes one round to breathe in deeply.  

The next round the user unleashes a devastating breath attack, dealing [StandardDamage(2,1)] [School()] damage.","0","1","0","0"
"170","132128","Lift-Off","[StandardAccuracy(2,1)] |cffffffffHit Chance|r

Fly up high, becoming unattackable for one round.

On the next round, you attack, dealing [StandardDamage(2, 1)] [School()] damage.","0","2","0","4"
"171","237588","Scorched Earth","Deals [StandardDamage(1,1)] [School()] damage to the front pet of both teams each round.

All pets count as |cFFFF2020Burning|r.","172","1","0","0"
"172","237588","Scorched Earth","[StandardAccuracy(1,1)] |cffffffffHit Chance|r

Scorches the ground, dealing [StandardDamage(1,1)] [School()] damage and dealing [StandardDamage(1,1,171)] [School(171)] damage to all active pets each round for [duration(1,2)] |4round:rounds;.

During Scorched Earth, all pets count as |cFFFF2020Burning|r.","0","1","0","3"
"173","236218","Cauterize","Restores [StandardDamage(1,1)] health plus half of the last hit taken by the user.","0","6","2","3"
"174","135860","Stunned","Unable to give this pet commands.","103","-1","3","0"
"175","524305","Volcano","After 2 |4round:rounds;, the ground erupts for 2 |4round:rounds;, causing the current enemy pet to take [StandardDamage(3,1,175)] [School()] damage and has a 25% chance to be stunned for the next [duration(3,3,175)] round.

[StandardAccuracy(3,1)] |cffffffffHit Chance|r","288","6","1","0"
