Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4_0,Unknown4_1,Unknown4_2,Unknown4_3,Unknown4_4,Unknown4_5,Unknown5
"19","10","0","822","52","0","100","2","0","0","0","1"
"209","205","0","0","23","50","100","0","0","0","0","1"
"210","206","0","0","24","10","0","0","0","0","0","1"
"211","207","0","0","24","10","100","0","0","0","0","1"
"212","207","0","0","23","5","100","0","0","0","0","2"
"213","208","0","0","24","50","100","0","0","0","0","1"
"214","209","0","0","24","20","100","0","0","0","0","1"
"215","210","0","0","0","25","100","0","0","0","0","1"
"216","210","0","0","0","5","100","0","0","0","0","2"
"217","211","0","0","0","90","100","0","0","0","0","1"
"218","211","0","0","0","10","100","0","0","0","0","2"
"224","214","0","0","25","25","25","0","0","0","0","1"
"225","215","0","79","26","5","100","6","0","0","0","1"
"228","217","0","81","26","0","100","5","0","0","0","1"
"232","222","0","79","28","5","100","-1","0","0","0","1"
"233","223","0","84","28","0","100","0","0","0","0","1"
"235","225","0","86","50","0","-1","0","0","0","0","1"
"237","227","0","88","26","0","100","3","0","0","0","1"
"253","239","0","0","0","4","100","0","0","0","0","1"
"254","239","0","0","0","4","100","0","0","0","0","2"
"277","254","0","0","24","20","100","0","0","0","0","1"
"278","255","0","0","24","20","100","0","0","0","0","1"
"279","256","0","0","24","20","100","0","0","0","0","1"
"280","257","0","0","222","21","100","40","0","0","0","1"
"281","258","0","0","24","20","100","0","0","0","0","1"
"282","259","0","0","222","21","100","40","0","0","0","1"
"283","260","0","0","24","20","100","0","0","0","0","1"
"284","261","0","0","222","22","100","60","0","0","0","1"
"285","262","0","0","24","20","100","0","0","0","0","1"
"286","263","0","0","24","20","100","0","0","0","0","1"
"287","264","0","0","24","25","100","0","0","0","0","1"
"288","265","329","0","24","14","100","0","0","0","0","1"
"289","265","0","0","158","0","0","0","0","0","0","2"
"290","266","522","0","234","25","100","0","0","0","0","1"
"291","267","0","0","23","30","100","0","0","0","0","1"
"292","268","0","0","24","25","100","0","0","0","0","1"
"293","269","0","0","24","25","100","0","0","0","0","1"
"294","270","0","0","24","25","100","0","0","0","0","1"
"295","271","0","131","24","5","100","0","0","0","0","1"
"298","277","12","0","24","5","100","0","0","0","0","1"
"299","279","0","133","26","0","100","5","0","0","0","1"
"300","280","0","0","0","0","100","0","0","0","0","1"
"301","278","0","0","179","5","0","0","0","0","0","1"
"302","281","0","0","25","30","30","0","0","0","0","1"
"310","295","0","0","23","20","100","0","0","0","0","1"
"311","296","0","0","24","20","100","0","0","0","0","1"
"312","296","0","0","24","30","100","0","0","0","0","2"
"313","297","0","0","24","5","100","1","0","0","0","1"
"314","298","0","0","24","10","100","0","0","0","0","1"
"315","298","0","379","54","1","100","5","0","0","0","2"
"316","301","0","0","24","20","100","0","0","0","0","1"
"317","302","0","0","27","15","100","5","25","21","0","1"
"319","304","493","0","24","20","100","0","0","0","0","1"
"320","304","494","0","29","10","100","28","0","0","0","2"
"323","306","0","0","222","30","100","40","0","0","0","1"
"329","310","338","0","24","12","100","0","0","0","0","1"
"330","310","0","0","158","0","0","0","0","0","0","2"
"332","312","0","0","24","10","100","0","0","0","0","1"
"333","313","571","0","24","3","100","0","0","0","0","1"
"334","314","571","0","24","3","100","0","1","0","0","1"
"335","315","571","0","24","3","100","0","1","0","0","1"
"336","317","0","0","85","161","0","0","0","0","0","1"
"337","318","571","0","24","3","100","0","0","0","0","1"
"338","319","571","0","24","9","80","0","0","0","0","1"
"339","319","571","0","24","9","80","0","1","0","0","2"
"340","320","0","0","23","20","100","0","0","0","0","1"
"341","320","0","0","44","50","100","0","0","0","0","2"
"342","321","0","0","31","113","1","0","0","0","0","1"
"343","322","0","0","24","50","100","0","0","0","0","1"
"346","324","223","0","222","30","100","40","0","0","0","1"
"350","327","641","0","24","25","100","0","0","0","0","1"
"351","328","0","0","23","20","100","0","0","0","0","1"
"352","328","0","0","44","50","100","0","0","0","0","2"
"353","329","0","0","22","0","100","0","0","0","0","1"
"354","330","0","0","22","0","100","0","0","0","0","1"
"355","331","0","0","22","0","100","0","0","0","0","1"
"356","332","0","0","24","17","100","0","0","0","0","1"
"357","332","0","0","177","149","0","0","0","0","0","2"
"358","333","0","175","50","0","100","4","3","0","0","1"
"360","334","0","0","24","5","100","1","0","0","0","1"
"361","335","0","0","24","12","100","0","0","0","0","1"
"362","335","0","177","54","1","100","4","0","0","0","2"
"363","336","0","0","24","30","100","0","0","0","0","1"
"364","336","0","0","158","0","0","0","0","0","0","2"
"367","205","0","0","23","50","100","0","0","0","0","2"
"368","344","0","0","24","10","100","0","0","0","0","1"
"369","344","0","0","158","0","0","0","0","0","0","2"
"370","344","0","0","164","10","50","0","0","0","0","3"
"371","346","0","0","222","25","100","40","0","0","0","1"
"372","346","0","0","158","0","0","0","0","0","0","2"
"375","348","40","187","26","0","100","5","0","0","0","1"
"376","349","0","0","164","7","35","0","0","0","0","1"
"377","350","0","189","50","0","100","5","0","0","0","1"
"379","354","0","0","24","10","100","0","0","0","0","1"
"380","354","0","0","158","0","0","0","0","0","0","2"
"381","354","0","0","164","10","50","0","0","0","0","3"
"383","358","0","841","26","0","100","5","0","0","0","1"
"384","359","571","0","24","3","100","0","0","0","0","1"
"392","367","0","0","24","10","100","0","0","0","0","1"
"397","373","0","207","26","0","100","1","0","0","0","1"
"398","374","0","0","24","50","100","0","0","0","0","1"
"401","377","0","0","222","21","100","40","0","0","0","1"
"402","378","343","0","24","4","100","1","0","0","0","1"
"403","378","337","0","23","4","100","0","0","0","0","2"
"404","379","0","211","54","0","100","3","0","0","0","1"
"405","264","0","0","158","0","0","0","0","0","0","2"
"406","380","0","0","24","3","100","0","0","0","0","1"
"407","381","0","213","54","0","100","9","0","0","0","1"
"408","383","0","215","26","0","100","1","0","0","0","1"
"409","384","0","0","22","0","100","0","0","0","0","1"
"410","385","0","0","22","0","100","0","0","0","0","1"
"411","386","0","0","22","0","100","0","0","0","0","1"
"412","387","0","0","22","0","100","0","0","0","0","1"
"413","388","0","0","24","40","100","0","0","0","0","1"
"414","389","0","217","50","0","100","4","0","0","0","1"
"416","390","0","0","222","21","100","40","0","0","0","1"
"418","392","0","0","24","18","100","0","0","0","0","1"
"419","392","0","0","29","18","100","0","22","0","0","2"
"421","394","0","222","26","0","100","1","0","0","0","1"
"422","396","0","0","85","161","0","0","0","0","0","1"
"423","397","389","0","24","30","100","0","0","0","0","1"
"424","397","0","0","177","149","0","0","0","0","0","2"
"425","398","0","927","178","1","100","1","149","0","1","1"
"426","399","0","0","24","10","100","0","0","0","0","1"
"427","399","0","0","158","0","0","0","0","0","0","2"
"428","399","0","0","164","10","50","0","0","0","0","3"
"429","401","605","0","23","8","100","0","0","0","0","1"
"430","402","0","0","24","7","100","1","0","0","0","1"
"431","403","130","231","54","0","100","5","0","0","0","1"
"432","404","0","0","27","10","100","10","30","0","0","1"
"433","404","0","0","177","149","0","0","0","0","0","2"
"438","405","0","0","23","1","100","0","0","0","0","1"
"439","406","0","0","22","0","100","0","0","0","0","1"
"448","422","37","0","23","10","100","0","0","0","0","1"
"449","423","37","0","23","20","100","0","0","0","0","1"
"450","424","37","0","23","40","100","0","0","0","0","1"
"451","425","0","246","26","0","100","2","0","0","0","1"
"452","427","0","0","24","15","100","0","0","0","0","1"
"453","427","0","248","52","1","100","2","0","0","0","2"
"454","428","571","0","24","10","100","0","1","0","0","1"
"455","428","571","0","29","10","100","0","64","0","0","2"
"456","430","0","251","26","0","200","4","0","0","0","1"
"457","431","0","0","59","10","100","0","0","0","0","1"
"458","433","0","0","23","10","100","0","0","0","0","1"
"459","432","0","255","63","0","100","2","0","0","0","1"
"460","434","0","0","24","30","100","0","0","0","0","1"
"461","436","498","0","24","5","100","0","0","0","0","1"
"462","438","0","0","22","0","100","0","0","0","0","1"
"463","439","0","0","22","0","100","0","0","0","0","1"
"464","437","0","260","26","0","100","2","0","0","0","1"
"465","441","0","261","26","0","100","1","0","0","0","1"
"468","444","0","262","26","0","100","2","0","0","0","1"
"469","446","0","264","52","0","100","2","0","0","0","1"
"470","446","0","0","24","20","100","0","0","0","0","2"
"473","448","0","0","23","6","100","0","0","0","0","1"
"474","449","0","267","63","0","100","5","0","0","0","1"
"477","448","0","0","171","6","100","61","61","0","0","2"
"479","457","0","271","50","0","100","4","0","0","0","1"
