Id,Unknown0,Unknown1,Unknown2
"19","1","131","1"
"34","1","88","2"
"35","1","151","21"
"36","4294967271","153","23"
"37","4294967271","154","25"
"38","75","161","25"
"39","4294967246","164","24"
"40","1","171","34"
"43","1","177","34"
"48","25","185","24"
"49","25","187","41"
"52","100","195","25"
"53","50","196","40"
"54","4294967271","196","4"
"58","125","207","23"
"59","100","215","23"
"60","0","220","23"
"61","100","222","23"
"62","4294967246","224","24"
"63","9","229","89"
"64","1","235","20"
"65","50","239","25"
"66","25","237","23"
"69","1","248","36"
"76","100","262","23"
"77","4294967295","264","33"
"79","1","271","21"
"80","50","280","24"
"81","100","281","23"
"82","1","284","68"
"83","1","285","1"
"84","1","288","1"
"85","4294967286","289","24"
"86","20","289","2"
"87","1","294","69"
"88","10","296","23"
"89","1","302","36"
"90","5","306","71"
"91","4294967291","309","71"
"92","100","311","73"
"93","3","313","71"
"94","4294967292","316","71"
"95","25","320","24"
"100","1","328","69"
"101","1","329","69"
"119","1","358","21"
"122","25","365","25"
"134","1","379","21"
"135","1","381","64"
"136","1","385","136"
"138","4294967246","391","24"
"139","1","397","21"
"143","1","410","77"
"146","25","425","25"
"147","4294967291","430","71"
"151","4294967291","435","71"
"158","2","446","71"
"161","10","458","23"
"162","1","462","82"
"171","25","485","23"
"172","50","487","23"
"173","1","491","77"
"174","4294967271","494","23"
"175","1","498","35"
"176","1","500","34"
"178","25","516","24"
"179","75","520","40"
"181","4294967271","526","41"
"182","4294967246","537","23"
"183","100","542","24"
"187","100","544","25"
"188","1","546","36"
"189","1","546","52"
"202","500","577","2"
"203","45","583","23"
"204","1","590","54"
"205","5","591","71"
"210","100","604","23"
"211","500","610","2"
"212","25","613","23"
"225","1","633","21"
"229","1","671","69"
"387","25","368","24"
"388","1","368","21"
"393","1","711","69"
"394","1","326","69"
"395","1","326","126"
"396","2","326","74"
"400","1","635","136"
"401","1","717","98"
"403","1","664","21"
"404","10","203","89"
"405","25","203","87"
"406","0","203","72"
"407","1","203","62"
"408","1","205","52"
"409","1","205","58"
"410","1","718","59"
"412","1","171","53"
"413","4294967291","454","71"
"414","4294967286","454","41"
"415","1","454","57"
"416","25","229","87"
"417","1","229","60"
"418","25","403","65"
"419","50","403","99"
"420","1","403","61"
"421","25","596","66"
"422","6","596","89"
"423","10","596","87"
"424","1","596","55"
"426","720","720","118"
"427","1","721","52"
"428","4294967276","721","41"
"429","50","245","23"
"430","1","242","68"
"434","1","480","69"
"435","1","480","126"
"436","2","480","74"
"437","1","464","69"
"438","1","464","126"
"439","2","464","74"
"440","1","434","69"
"441","1","434","126"
"442","2","434","74"
"443","1","438","69"
"444","2","438","74"
"445","438","438","75"
"446","1","443","69"
"447","1","443","126"
"448","2","443","74"
"449","1","341","29"
"450","1","341","33"
"451","4294967246","470","23"
"452","4294967246","470","25"
"453","1","734","35"
"454","1","734","22"
"455","1","174","35"
"456","1","174","22"
"457","50","735","25"
"459","1","333","69"
"460","2","333","74"
"461","333","333","75"
"462","4294967196","505","25"
"463","1","505","36"
"464","1","505","74"
"465","1","338","36"
"466","1","338","64"
"467","1","370","36"
"469","4294967271","415","25"
"470","1","415","52"
"471","1","737","29"
"472","1","737","33"
"473","1","502","34"
"474","25","739","23"
"475","1","747","69"
"476","1","750","74"
"477","50","251","41"
"478","25","251","40"
"479","1","759","74"
"480","1","781","21"
"482","1","785","52"
"484","1","787","52"
"485","50","790","40"
