Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"10","7","22","1","0","-1"
"205","70","0","1","0","-1"
"206","71","75","1","0","-1"
"207","72","0","1","0","-1"
"208","73","0","1","0","-1"
"209","73","0","2","0","-1"
"210","74","0","1","0","-1"
"211","74","0","2","0","-1"
"214","77","643","1","0","-1"
"215","78","0","1","0","-1"
"217","80","0","1","0","-1"
"222","82","0","1","0","-1"
"223","83","0","1","0","-1"
"225","85","108","1","0","-1"
"227","87","0","1","0","-1"
"239","97","0","1","0","-1"
"254","110","109","1","0","-1"
"255","111","523","1","0","-1"
"256","112","17","1","0","-1"
"257","113","516","1","0","-1"
"258","114","542","1","0","-1"
"259","115","520","1","0","-1"
"260","116","358","1","0","-1"
"261","117","138","1","0","-1"
"262","118","531","1","0","-1"
"263","119","640","1","0","-1"
"264","120","96","1","0","-1"
"265","121","328","1","0","-1"
"266","122","479","1","0","-1"
"267","123","36","1","0","-1"
"268","124","578","1","0","-1"
"269","124","578","2","0","-1"
"270","124","578","3","0","-1"
"271","125","0","1","0","-1"
"277","132","0","1","0","-1"
"278","133","0","0","1","1"
"279","134","0","1","0","-1"
"280","86","0","1","0","-1"
"281","135","644","1","0","-1"
"295","149","13","1","0","-1"
"296","150","14","1","0","-1"
"297","151","347","1","0","-1"
"298","152","309","1","0","-1"
"299","153","0","1","0","-1"
"301","155","32","1","0","-1"
"302","156","324","1","0","-1"
"304","158","202","1","0","-1"
"305","159","31","1","0","-1"
"306","159","125","2","0","-1"
"310","160","339","1","0","-1"
"311","161","0","1","0","-1"
"312","162","87","1","0","-1"
"313","163","90","1","0","-1"
"314","163","90","2","0","-1"
"315","163","90","3","0","-1"
"316","164","0","1","0","-1"
"317","165","618","1","0","-1"
"318","166","42","1","0","-1"
"319","167","146","1","0","-1"
"320","168","308","1","0","-1"
"321","169","433","1","0","-1"
"322","169","434","2","0","-1"
"323","170","200","1","0","-1"
"324","170","201","2","0","-1"
"327","172","174","1","0","-1"
"328","173","584","1","0","-1"
"329","174","0","1","0","-1"
"330","175","0","1","0","-1"
"331","175","0","2","0","-1"
"332","175","289","3","0","-1"
"333","176","287","1","0","-1"
"334","177","43","1","0","-1"
"335","178","567","1","0","-1"
"336","179","372","1","0","-1"
"344","184","124","1","0","-1"
"345","185","0","1","0","-1"
"346","186","625","1","0","-1"
"347","187","0","1","0","-1"
"348","188","40","1","0","-1"
"349","189","226","1","0","-1"
"350","190","221","1","0","-1"
"354","193","93","1","0","-1"
"355","194","87","1","0","-1"
"356","195","0","1","0","-1"
"357","196","0","1","0","-1"
"358","197","592","1","0","-1"
"359","198","90","1","0","-1"
"360","198","90","2","0","-1"
"361","198","90","3","0","-1"
"367","202","86","1","0","-1"
"369","204","98","1","0","-1"
"370","205","0","1","0","-1"
"371","206","99","1","0","-1"
"373","208","591","1","0","-1"
"374","209","97","1","0","-1"
"377","210","70","1","0","-1"
"378","211","0","1","0","-1"
"379","212","342","1","0","-1"
"380","213","105","1","0","-1"
"381","214","141","1","0","-1"
"382","215","0","1","0","-1"
"383","216","41","1","0","-1"
"384","217","0","1","0","-1"
"385","217","0","2","0","-1"
"386","217","0","3","0","-1"
"387","217","0","4","0","-1"
"388","217","101","5","0","-1"
"389","218","100","1","0","-1"
"390","219","631","1","0","-1"
"391","220","0","1","0","-1"
"392","221","227","1","0","-1"
"393","222","0","1","0","-1"
"394","223","633","1","0","-1"
"395","224","0","1","0","-1"
"396","225","67","1","0","-1"
"397","226","388","1","0","-1"
"398","227","632","1","0","-1"
"399","228","182","1","0","-1"
"401","230","606","1","0","-1"
"402","231","220","1","0","-1"
"403","232","609","1","0","-1"
"404","233","608","1","0","-1"
"405","234","0","1","0","-1"
"406","235","0","1","0","-1"
"413","239","0","1","0","-1"
"416","242","0","1","0","-1"
"422","246","0","1","0","-1"
"423","246","0","2","0","-1"
"424","246","0","3","0","-1"
"425","247","614","1","0","-1"
"427","249","612","1","0","-1"
"428","250","62","1","0","-1"
"429","251","0","1","0","-1"
"430","252","63","1","0","-1"
"431","253","91","1","0","-1"
"432","254","143","1","0","-1"
"433","255","574","1","0","-1"
"434","256","451","1","0","-1"
"436","258","214","1","0","-1"
