Id,Unknown0,Unknown1,Unknown2
"7","1700","3","18"
"8","1700","3","20"
"9","1700","3","19"
"10","2000","4","18"
"11","1600","4","20"
"12","1600","4","19"
"13","1600","5","18"
"14","2000","5","20"
"15","1600","5","19"
"16","1600","6","18"
"17","1600","6","20"
"18","2000","6","19"
"19","1780","7","18"
"20","1600","7","20"
"21","1780","7","19"
"22","1780","8","18"
"23","1780","8","20"
"24","1600","8","19"
"25","1600","9","18"
"26","1780","9","20"
"27","1780","9","19"
"28","1780","10","18"
"29","1680","10","20"
"30","1680","10","19"
"31","1680","11","18"
"32","1780","11","20"
"33","1680","11","19"
"34","1680","12","18"
"35","1680","12","20"
"36","1780","12","19"
"37","1","3","78"
"38","1","4","78"
"39","1","5","78"
"40","1","6","78"
"41","1","7","78"
"42","1","8","78"
"43","1","9","78"
"44","1","10","78"
"45","1","11","78"
"46","1","12","78"
"47","1700","13","18"
"48","1700","13","20"
"49","1700","13","19"
"50","2","13","78"
"51","2000","14","18"
"52","1600","14","20"
"53","1600","14","19"
"54","2","14","78"
"55","1600","15","18"
"56","2000","15","20"
"57","1600","15","19"
"58","2","15","78"
"59","1600","16","18"
"60","1600","16","20"
"61","2000","16","19"
"62","2","16","78"
"63","1780","17","18"
"64","1600","17","20"
"65","1780","17","19"
"66","2","17","78"
"67","1780","18","18"
"68","1780","18","20"
"69","1600","18","19"
"70","2","18","78"
"71","1600","19","18"
"72","1780","19","20"
"73","1780","19","19"
"74","2","19","78"
"75","1780","20","18"
"76","1680","20","20"
"77","1680","20","19"
"78","2","20","78"
"79","1680","21","18"
"80","1780","21","20"
"81","1680","21","19"
"82","2","21","78"
"83","1680","22","18"
"84","1680","22","20"
"85","1780","22","19"
"86","2","22","78"
"417","0","107","18"
"418","0","107","20"
"419","0","107","19"
