Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"2","61892","132332","0","","","49","4","-1"
"39","2671","656559","4055","|cFFFFD200Profession: |rEngineering","A mechanical squirrel's logic center tells it to collect and store both nuts and bolts for the winter.","2","9","3"
"40","7385","656575","10673","|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Donni Anthania plans to have a bombay buried with her when she dies. A wise adventurer can put its talents to much better use.","2","7","2"
"41","7384","656577","10674","|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Donni Anthania invites these cats to her tea parties. But she doesn't serve their favorite drink: the tears of their enemies.","2","7","2"
"42","7383","656574","10675","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rHillsbrad Foothills","Old Alterac saying: 'A cat has nine lives, but needs only one.'","2","7","0"
"43","7382","656578","10676","|cFFFFD200Vendor: |rDonni Anthania, Steven Lisbane|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","The last person who tried to housebreak this cat quickly learned that a soiled rug is better than a shredded everything-else.","2","7","2"
"44","7380","656579","10677","|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Known for its blue eyes. Also considered a delicacy by giant murlocs.","2","7","2"
"45","7381","656580","10678","|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Sleeping is this cat's second favorite activity. The first is yawning.","2","7","2"
"46","7386","656581","10679","|cFFFFD200Vendor: |rLil Timmy|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","'The queen had three kittens. The first gave her a juicy rat. The second, a tasty hare. And the white, her favorite, presented the head of her rival.'","2","7","2"
"47","7390","132921","10680","|cFFFFD200Vendor: |rHarry No-Hooks, Narkk|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Some say this clever bird can be taught to speak--but it's smart enough to keep its beak shut.","2","2","2"
"49","7391","132921","10682","|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rNorthern Stranglethorn, The Cape of Stranglethorn","The jungle trolls train these birds to mimic calls for help in order to lure unsuspecting travelers into traps.","2","2","0"
"50","7387","132925","10683","|cFFFFD200Drop: |rDefias Pirate|n|cFFFFD200Zone: |rThe Deadmines","Favored pet of the Defias pirates, this colorful bird is handy for remembering passwords, grocery lists, and cracker recipes.","2","2","0"
"51","7389","132924","10684","|cFFFFD200Vendor: |rNarkk, Harry No-Hooks|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t","Favored pet of the goblins of Booty Bay, this colorful bird is renowned for its ability to count coins, tally budgets, and lie about contracts.","2","2","2"
