Id,Unknown0,Unknown1,Unknown2
"335","500","2","19"
"336","500000","2","2"
"337","300","2","20"
"338","4294967206","2","23"
"1765","4294967096","424","18"
"1766","100","424","20"
"1767","100","424","19"
"1768","1","424","93"
"1769","4294967196","406","18"
"1770","0","406","20"
"1771","100","406","19"
"1772","1","406","93"
"1773","0","414","18"
"1774","0","414","20"
"1775","0","414","19"
"1785","0","445","18"
"1786","0","445","20"
"1787","0","445","19"
"1789","0","443","18"
"1790","0","443","20"
"1791","0","443","19"
"1805","0","434","18"
"1806","0","434","20"
"1807","0","434","19"
"1821","4294967196","390","18"
"1822","100","390","20"
"1823","0","390","19"
"1829","0","478","18"
"1830","4294967196","478","20"
"1831","100","478","19"
"1837","0","450","18"
"1838","4294967096","450","20"
"1839","200","450","19"
"1853","0","397","18"
"1854","0","397","20"
"1855","0","397","19"
"1877","0","464","18"
"1878","0","464","20"
"1879","0","464","19"
"1885","100","430","18"
"1886","4294967196","430","20"
"1887","0","430","19"
"1888","1","430","93"
"1893","0","432","18"
"1894","0","432","20"
"1895","0","432","19"
"1901","0","387","18"
"1902","100","387","20"
"1903","4294967196","387","19"
"1905","0","637","18"
"1906","0","637","20"
"1907","0","637","19"
"1917","0","449","18"
"1918","0","449","20"
"1919","0","449","19"
"1921","0","416","18"
"1922","0","416","20"
"1923","0","416","19"
"1925","100","415","18"
"1926","0","415","20"
"1927","4294967196","415","19"
"1928","1","415","93"
"1945","0","530","18"
"1946","0","530","20"
"1947","0","530","19"
"1953","0","536","18"
"1954","4294967196","536","20"
"1955","100","536","19"
"1961","100","429","18"
"1962","0","429","20"
"1963","4294967196","429","19"
"1964","1","429","93"
"1965","4294967096","393","18"
"1966","100","393","20"
"1967","100","393","19"
"1968","1","393","93"
"1969","100","423","18"
"1970","4294967096","423","20"
"1971","100","423","19"
"1985","0","452","18"
"1986","0","452","20"
"1987","0","452","19"
"2005","200","559","18"
"2006","4294967196","559","20"
"2007","4294967196","559","19"
"2013","4294967096","756","18"
"2014","100","756","20"
"2015","100","756","19"
"2017","100","480","18"
"2018","4294967196","480","20"
"2019","0","480","19"
"2021","100","554","18"
"2022","0","554","20"
"2023","4294967196","554","19"
"2025","4294967196","485","18"
"2026","4294967196","485","20"
"2027","200","485","19"
"2037","4294967196","476","18"
"2038","200","476","20"
"2039","4294967196","476","19"
"2041","0","537","18"
"2042","4294967196","537","20"
"2043","100","537","19"
"2049","0","741","18"
"2050","0","741","20"
"2051","0","741","19"
"2057","200","746","18"
"2058","4294966996","746","20"
"2059","100","746","19"
"2061","0","745","18"
"2062","0","745","20"
"2063","0","745","19"
"2065","0","742","18"
"2066","0","742","20"
"2067","0","742","19"
"2069","100","732","18"
"2070","4294967196","732","20"
"2071","0","732","19"
"2073","0","440","18"
"2074","0","440","20"
"2075","0","440","19"
"2077","4294966996","442","18"
"2078","100","442","20"
"2079","200","442","19"
"2080","1","442","93"
"2125","100","489","18"
"2126","4294967196","489","20"
"2127","0","489","19"
"2129","0","457","18"
"2130","4294967096","457","20"
