Id,Unknown0,Unknown1,Unknown2,Unknown3_0,Unknown3_1,Unknown3_2,Unknown3_3,Unknown3_4,Unknown3_5,Unknown3_6,Unknown3_7,Unknown3_8,Unknown3_9,Unknown3_10,Unknown3_11,Unknown3_12,Unknown3_13,Unknown3_14,Unknown3_15,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14
"1","Alterac Valley","136324","Raid Battle","30","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1941","0","3","1","5","20","110","25","10","40","0"
"2","Warsong Gulch","136365","Capture the Flag","489","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1942","0","3","1","5","10","110","10","5","10","0"
"3","Arathi Basin","136322","Domination","529","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","1943","0","3","1","5","10","110","10","8","15","0"
"4","Nagrand Arena","460867","","559","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","5793","4","1","5","10","110","5","0","5","5"
"5","Blade's Edge Arena","460861","","562","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","10","110","5","0","5","0"
"6","All Arenas","525915","","562","617","1505","572","1134","980","1552","1504","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","15","110","5","0","5","0"
"7","Eye of the Storm","525912","Domination","566","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2851","0","3","1","5","15","110","15","8","15","0"
"8","Ruins of Lordaeron","460869","","572","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","10","110","5","0","5","0"
"9","Strand of the Ancients","460870","Siege","607","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","3695","0","3","1","5","50","110","15","8","15","0"
"10","Dalaran Sewers","460862","","617","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","10","110","5","0","5","0"
"11","The Ring of Valor","460868","","618","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","4","1","5","10","100","5","0","5","0"
"30","Isle of Conquest","311222","Raid Battle","628","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","4273","0","3","1","5","55","110","25","10","40","0"
"32","Random Battleground","525915","","529","489","566","607","761","726","727","998","1105","30","628","-1","-1","-1","-1","-1","0","0","3","1","5","15","110","25","5","40","0"
"100","Rated Battleground","0","","529","1105","968","727","998","761","726","489","-1","-1","-1","-1","-1","-1","-1","-1","0","0","3","1","10","110","110","10","5","10","2"
"101","Rated Battleground","0","","529","566","607","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","0","0","3","1","15","20","90","15","8","15","2"
