Id,Unknown0,Unknown1
"7","1240013","3"
"11","1239965","3"
"12","1240379","3"
"13","1240160","3"
"27","1089755","6"
"28","1089756","6"
"29","1089758","6"
"30","1089759","6"
"35","1455385","10"
"48","1100195","13"
"49","1100429","13"
"50","1089532","13"
"51","1096108","14"
"52","1384457","14"
"53","1096109","14"
"54","1384458","14"
"55","1096110","14"
"56","1384459","14"
"57","1096111","14"
"58","1384559","14"
"59","1096123","14"
"60","1384666","14"
"61","1096124","14"
"62","1384667","14"
"63","1125820","15"
"64","1101639","16"
"65","1101640","16"
"66","1101642","16"
"67","1100189","16"
"68","1100197","16"
"69","1100430","16"
"70","1085269","16"
"71","1085268","16"
"72","1087253","16"
"73","1087259","16"
"74","1352719","17"
"75","1353164","17"
"76","1306109","17"
"77","1306115","17"
"78","1306126","17"
"79","1306125","17"
"80","1245356","17"
"81","1245357","17"
"82","1245358","17"
"83","1245359","17"
"84","1108977","18"
"85","1109006","18"
"86","1109007","18"
"90","1247569","19"
"91","1247568","19"
"92","1247567","19"
"93","1124169","15"
"94","1126613","15"
"95","1092882","15"
"96","1093797","15"
"97","1093964","15"
"98","1094530","15"
"99","1092846","15"
"100","1093796","15"
"101","1093963","15"
"102","1094529","15"
"103","1130119","20"
"104","1130120","20"
"105","1141017","19"
"106","1140294","19"
"107","1252450","19"
"108","1140306","19"
"109","1410899","21"
"110","1354114","22"
"111","1353546","22"
"112","1140773","22"
"113","1030093","23"
"114","1035310","23"
"115","1117925","23"
"116","1030059","23"
"117","1035430","23"
"118","1035505","23"
"119","1117887","23"
"120","1251012","24"
"121","1251003","24"
"122","1251000","24"
"123","1250999","24"
"124","1250803","24"
"125","1250802","24"
"126","1250590","24"
"127","1250589","24"
"129","1306108","15"
"130","1306110","15"
"131","1306111","15"
"132","1121429","25"
"133","1121431","25"
"134","1121430","25"
"135","1271334","25"
"136","1272279","25"
"137","1087459","25"
"138","1087460","25"
"139","1399585","25"
"140","1087461","25"
"141","1306112","25"
"142","1306113","25"
"143","1306114","25"
"144","1414286","26"
"145","1414285","26"
"148","1100379","16"
"149","1100378","16"
"150","1141716","27"
"188","1034335","40"
"189","1034558","40"
"190","1034674","40"
"191","1241117","40"
"192","1034676","40"
"193","1241107","40"
"206","1536705","46"
"207","1536704","46"
"208","1536683","46"
