Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1
"1","1","1","1","1"
"3","0.4","0.4","0.21","5"
"4","0.5","0.5","0.5","1.5"
"6","0.1","0.2","0.08","6"
"10","0.4","0.3","0.2","1"
"13","0.21","0.29","0.18","4"
"14","0.1","0.08","0.06","1"
"15","0","0.12","0.5","1.5"
"16","0.1","0.2","0.08","1"
"17","0.01","0.15","0.75","1.8"
"18","0.21","0.48","0.01","2"
"19","0.4","0.4","0.5","1"
"20","0.35","0.35","0.35","1"
"21","0.25","0","0.25","1"
"22","2.5","2.5","2.5","1"
"23","1","1","0.7","1"
"24","0.8","0.8","0.8","1.5"
"25","0.7","0.7","0.7","1"
"26","0.5","0.5","0.5","1"
"27","0.5","0.5","0.5","1"
"40","0.5","0.5","0.5","1"
"46","0.5","0.5","0.5","1"
