Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","US","1127228400","1","1"
"2","KR","1135810800","2","2"
"3","EU","1135753200","3","3"
"4","TW","1135810800","4","4"
"5","CN","1135810800","5","5"
"10","PV","1127232000","10","6"
"11","CN","1135818000","11","5"
"12","CN","1135818000","12","5"
"13","TW","1135818000","13","4"
"21","TR","1127232000","21","6"
"22","TR","1127232000","22","6"
"23","TR","1127232000","23","6"
"24","TR","1127232000","24","6"
"25","TR","1127232000","25","6"
"26","US","1127232000","26","6"
"30","US","1127232000","30","6"
"31","US","1127232000","31","6"
"33","EU","1135753200","33","3"
"34","US","1127232000","34","1"
"50","XX","1127232000","50","7"
"51","XX","1127232000","51","7"
"52","XX","1127232000","52","11"
"60","XX","1127232000","60","8"
"61","CN","1135818000","61","8"
"62","CN","1135818000","62","5"
"63","XX","1127232000","63","8"
"65","XX","1127232000","65","6"
"66","XX","1127232000","66","6"
"99","XX","1127232000","99","0"
"100","US","1127228400","100","9"
"101","QA","1127232000","101","0"
"103","US","1127232000","103","9"
"104","US","1127232000","104","9"
"105","US","1127232000","105","9"
"106","US","112723200","106","9"
"107","US","1127232000","107","9"
"108","US","1127232000","108","9"
"109","US","1127232000","109","9"
"130","US","1127232000","130","9"
"140","XX","1127232000","140","10"
"141","XX","1127232000","141","10"
"142","XX","1127232000","142","10"
"143","XX","1127232000","143","10"
"144","XX","1127426400","144","10"
"145","XX","1127232000","145","10"
"146","XX","1127232000","146","10"
"147","XX","1127232000","147","11"
"148","XX","1127232000","148","11"
"149","XX","1127232000","149","10"
"151","XX","1135753200","151","10"
"200","BL","1127232000","200","11"
"201","BL","1127232000","201","11"
"202","BL","1127232000","202","11"
"203","BL","1127232000","203","11"
"204","BL","1127232000","204","11"
"205","BL","1127232000","205","11"
"206","BL","1127232000","206","11"
"207","BL","1127232000","207","11"
"208","BL","1127232000","208","11"
"209","BL","1135818000","209","11"
"220","ST","1127232000","220","11"
"221","TR","1127232000","221","5"
"916","US","1127228400","90","9"
