Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"1","0","0","256","128","1","0","0"
"2","0","128","256","128","1","1","0"
"3","0","256","256","64","1","2","0"
"4","256","0","256","128","1","3","0"
"5","256","128","256","64","1","4","0"
"6","256","192","256","128","1","5","0"
"7","256","320","256","128","1","6","0"
"8","256","448","256","64","1","7","0"
"9","0","320","256","64","1","9","0"
"10","0","384","256","128","1","10","0"
"11","0","0","256","128","2","0","0"
"12","0","128","256","128","2","1","0"
"13","0","256","256","64","2","2","0"
"14","256","0","256","128","2","3","0"
"15","256","128","256","64","2","4","0"
"16","256","192","256","128","2","5","0"
"17","256","320","256","128","2","6","0"
"18","256","448","256","64","2","7","0"
"19","512","0","512","512","2","9","0"
"20","512","0","512","512","2","10","0"
"22","768","384","256","128","2","8","0"
"25","0","0","512","512","1","12","255"
"26","0","0","512","512","2","12","255"
