Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"1","5559","0","0","17","1","0","0","0","0"
"2","5560","0","0","17","1","0","0","0","1"
"3","5561","0","0","17","1","0","0","0","2"
"4","5562","0","0","17","1","0","0","0","3"
"5","5563","0","0","17","1","0","0","0","4"
"6","5564","0","0","17","1","0","0","0","5"
"7","5565","0","0","17","1","0","0","0","6"
"8","5566","0","0","17","1","0","0","0","7"
"9","5567","0","0","17","1","0","0","0","8"
"10","5568","0","0","17","1","0","0","0","9"
"131","3499","4073","0","17","1","0","2","0","0"
"132","3500","4074","0","17","1","0","2","0","1"
"133","3501","4075","0","17","1","0","2","0","2"
"134","3502","4076","0","17","1","0","2","0","3"
"135","3503","4077","0","17","1","0","2","0","4"
"136","3504","4078","0","17","1","0","2","0","5"
"137","4104","4079","0","17","1","0","2","0","6"
"138","3505","4080","0","17","1","0","2","0","7"
"139","3506","4081","0","17","1","0","2","0","8"
"140","3507","4082","0","17","1","0","2","0","9"
"141","3508","4083","0","17","1","0","2","1","0"
"142","3509","4084","0","17","1","0","2","1","1"
"143","3510","4085","0","17","1","0","2","1","2"
"144","3511","4086","0","17","1","0","2","1","3"
"145","3512","4087","0","17","1","0","2","1","4"
"146","3513","4088","0","17","1","0","2","1","5"
"147","3514","4089","0","17","1","0","2","1","6"
"148","3515","4090","0","17","1","0","2","1","7"
"149","3516","4091","0","17","1","0","2","1","8"
"150","3517","4092","0","17","1","0","2","1","9"
"151","3518","4093","0","17","1","0","2","2","0"
"152","3519","4094","0","17","1","0","2","2","1"
"153","3520","4095","0","17","1","0","2","2","2"
"154","3521","4096","0","17","1","0","2","2","3"
"155","3522","4097","0","17","1","0","2","2","4"
"156","3523","4098","0","17","1","0","2","2","5"
"157","3524","4099","0","17","1","0","2","2","6"
"158","3525","4100","0","17","1","0","2","2","7"
"159","3526","4101","0","17","1","0","2","2","8"
"160","4012","4102","0","17","1","0","2","2","9"
"161","4013","4103","0","17","1","0","2","3","0"
"162","4014","4111","0","17","1","0","2","3","1"
"163","4015","4116","0","17","1","0","2","3","2"
"164","4016","4105","0","17","1","0","2","3","3"
"165","4017","4106","0","17","1","0","2","3","4"
"166","4018","4107","0","17","1","0","2","3","5"
"167","4019","4108","0","17","1","0","2","3","6"
"168","4020","4109","0","17","1","0","2","3","7"
"169","4021","4110","0","17","1","0","2","3","8"
"170","4022","4112","0","17","1","0","2","3","9"
"171","4023","4113","0","17","1","0","2","4","0"
"172","4024","4114","0","17","1","0","2","4","1"
"173","4025","4115","0","17","1","0","2","4","2"
"174","4026","4117","0","17","1","0","2","4","3"
"175","4027","4118","0","17","1","0","2","4","4"
"176","4028","4119","0","17","1","0","2","4","5"
"177","4029","4120","0","17","1","0","2","4","6"
"178","4030","4121","0","17","1","0","2","4","7"
"179","4031","4122","0","17","1","0","2","4","8"
"180","4032","4123","0","17","1","0","2","4","9"
"181","4033","4124","0","17","1","0","2","5","0"
"182","4034","4125","0","17","1","0","2","5","1"
"183","4035","4126","0","17","1","0","2","5","2"
"184","4036","4127","0","17","1","0","2","5","3"
"185","4037","4128","0","17","1","0","2","5","4"
"186","4038","4129","0","17","1","0","2","5","5"
"187","4039","4130","0","17","1","0","2","5","6"
"188","4040","4131","0","17","1","0","2","5","7"
"189","4041","4132","0","17","1","0","2","5","8"
"190","4042","4133","0","17","1","0","2","5","9"
"191","4043","4134","0","17","1","0","2","6","0"
"192","4044","4135","0","17","1","0","2","6","1"
"193","4045","4136","0","17","1","0","2","6","2"
"194","4046","4137","0","17","1","0","2","6","3"
"195","4047","4138","0","17","1","0","2","6","4"
"196","4048","4139","0","17","1","0","2","6","5"
"197","4049","4140","0","17","1","0","2","6","6"
"198","4050","4141","0","17","1","0","2","6","7"
"199","4051","4142","0","17","1","0","2","6","8"
"200","4052","4143","0","17","1","0","2","6","9"
"201","4053","4144","0","17","1","0","2","7","0"
"202","4054","4145","0","17","1","0","2","7","1"
"203","4055","4146","0","17","1","0","2","7","2"
"204","4056","4147","0","17","1","0","2","7","3"
"205","4057","4148","0","17","1","0","2","7","4"
"206","4058","4149","0","17","1","0","2","7","5"
"207","4059","4150","0","17","1","0","2","7","6"
"208","4060","4151","0","17","1","0","2","7","7"
"209","4061","4152","0","17","1","0","2","7","8"
"210","4062","4153","0","17","1","0","2","7","9"
"211","4063","4154","0","17","1","0","2","8","0"
"212","4064","4155","0","17","1","0","2","8","1"
"213","4065","4156","0","17","1","0","2","8","2"
"214","4066","4157","0","17","1","0","2","8","3"
"215","4067","4158","0","17","1","0","2","8","4"
"216","4068","4159","0","17","1","0","2","8","5"
"217","4069","4160","0","17","1","0","2","8","6"
"218","4070","4161","0","17","1","0","2","8","7"
"219","4071","4162","0","17","1","0","2","8","8"
"220","4072","4163","0","17","1","0","2","8","9"
"231","5855","5591","5621","17","1","0","3","2","0"
"232","5856","5592","5622","17","1","0","3","2","1"
"233","5857","5593","5623","17","1","0","3","2","2"
"234","5858","5594","5624","17","1","0","3","2","3"
"235","5859","5595","5625","17","1","0","3","2","4"
"236","5860","5596","5626","17","1","0","3","2","5"
"237","5861","5597","5627","17","1","0","3","2","6"
"238","5862","5598","5628","17","1","0","3","2","7"
"239","5863","5599","5629","17","1","0","3","2","8"
"240","5864","5600","5630","17","1","0","3","2","9"
"241","5855","5581","5611","17","1","0","3","3","0"
"242","5856","5582","5612","17","1","0","3","3","1"
"243","5857","6355","5613","17","1","0","3","3","2"
"244","5858","5584","5614","17","1","0","3","3","3"
"245","5859","5585","5615","17","1","0","3","3","4"
"246","5860","5586","5616","17","1","0","3","3","5"
"247","5861","5587","5617","17","1","0","3","3","6"
"248","5862","5588","5618","17","1","0","3","3","7"
"249","5863","5589","5619","17","1","0","3","3","8"
"250","5864","5590","5620","17","1","0","3","3","9"
"251","5865","5591","5621","17","1","0","3","4","0"
"252","5866","5592","5622","17","1","0","3","4","1"
"253","5867","5593","5623","17","1","0","3","4","2"
"254","5868","5594","5624","17","1","0","3","4","3"
"255","5869","5595","5625","17","1","0","3","4","4"
"256","5870","5596","5626","17","1","0","3","4","5"
"257","5871","5597","5627","17","1","0","3","4","6"
"258","5872","5598","5628","17","1","0","3","4","7"
"259","5873","5599","5629","17","1","0","3","4","8"
"260","5874","5600","5630","17","1","0","3","4","9"
"261","5865","5591","5621","17","1","0","3","5","0"
"262","5866","5592","5622","17","1","0","3","5","1"
"263","5867","5593","5623","17","1","0","3","5","2"
"264","5868","5594","5624","17","1","0","3","5","3"
"265","5869","5595","5625","17","1","0","3","5","4"
"266","5870","5596","5626","17","1","0","3","5","5"
"267","5871","5597","5627","17","1","0","3","5","6"
"268","5872","5598","5628","17","1","0","3","5","7"
"269","5873","5599","5629","17","1","0","3","5","8"
"270","5874","5600","5630","17","1","0","3","5","9"
"271","5855","5591","5621","17","1","0","3","6","0"
"272","5856","5592","5622","17","1","0","3","6","1"
"273","5857","5593","5623","17","1","0","3","6","2"
"274","5858","5594","5624","17","1","0","3","6","3"
"275","5859","5595","5625","17","1","0","3","6","4"
"276","5860","5596","5626","17","1","0","3","6","5"
"277","5861","5597","5627","17","1","0","3","6","6"
"278","5862","5598","5628","17","1","0","3","6","7"
"279","5863","5599","5629","17","1","0","3","6","8"
"280","5864","5600","5630","17","1","0","3","6","9"
"281","5855","5591","5621","17","1","0","3","7","0"
"282","5856","5592","5622","17","1","0","3","7","1"
"283","5857","5593","5623","17","1","0","3","7","2"
"284","5858","5594","5624","17","1","0","3","7","3"
"285","5859","5595","5625","17","1","0","3","7","4"
"286","5860","5596","5626","17","1","0","3","7","5"
"287","5861","5597","5627","17","1","0","3","7","6"
"288","5862","5598","5628","17","1","0","3","7","7"
"289","5863","5599","5629","17","1","0","3","7","8"
"290","5864","5600","5630","17","1","0","3","7","9"
"291","5865","5581","5611","17","1","0","3","8","0"
"292","5866","5582","5612","17","1","0","3","8","1"
"293","5867","6355","5613","17","1","0","3","8","2"
"294","5868","5584","5614","17","1","0","3","8","3"
"295","5869","5585","5615","17","1","0","3","8","4"
"296","5870","5586","5616","17","1","0","3","8","5"
"297","5871","5587","5617","17","1","0","3","8","6"
"298","5872","5588","5618","17","1","0","3","8","7"
"299","5873","5589","5619","17","1","0","3","8","8"
"300","5874","5590","5620","17","1","0","3","8","9"
"301","5855","5591","5621","17","1","0","3","9","0"
"302","5856","5592","5622","17","1","0","3","9","1"
"303","5857","5593","5623","17","1","0","3","9","2"
"304","5858","5594","5624","17","1","0","3","9","3"
"305","5859","5595","5625","17","1","0","3","9","4"
"306","5860","5596","5626","17","1","0","3","9","5"
"307","5861","5597","5627","17","1","0","3","9","6"
"308","5862","5598","5628","17","1","0","3","9","7"
"309","5863","5599","5629","17","1","0","3","9","8"
"310","5864","5600","5630","17","1","0","3","9","9"
"311","5865","5591","5621","17","1","0","3","10","0"
"312","5866","5592","5622","17","1","0","3","10","1"
"313","5867","5593","5623","17","1","0","3","10","2"
"314","5868","5594","5624","17","1","0","3","10","3"
"315","5869","5595","5625","17","1","0","3","10","4"
"316","5870","5596","5626","17","1","0","3","10","5"
"317","5871","5597","5627","17","1","0","3","10","6"
"318","5872","5598","5628","17","1","0","3","10","7"
"319","5873","5599","5629","17","1","0","3","10","8"
"320","5874","5600","5630","17","1","0","3","10","9"
"321","5855","5591","5621","17","1","0","3","11","0"
"322","5856","5592","5622","17","1","0","3","11","1"
"323","5857","5593","5623","17","1","0","3","11","2"
"324","5858","5594","5624","17","1","0","3","11","3"
"325","5859","5595","5625","17","1","0","3","11","4"
"326","5860","5596","5626","17","1","0","3","11","5"
"327","5861","5597","5627","17","1","0","3","11","6"
"328","5862","5598","5628","17","1","0","3","11","7"
"329","5863","5599","5629","17","1","0","3","11","8"
"330","5864","5600","5630","17","1","0","3","11","9"
"341","3878","0","0","17","1","1","0","0","0"
"342","3879","0","0","17","1","1","0","0","1"
"343","3880","0","0","17","1","1","0","0","2"
"344","3881","0","0","17","1","1","0","0","3"
"345","3882","0","0","17","1","1","0","0","4"
"346","3883","0","0","17","1","1","0","0","5"
"347","3884","0","0","17","1","1","0","0","6"
"348","3885","0","0","17","1","1","0","0","7"
"349","3886","0","0","17","1","1","0","0","8"
"350","3887","0","0","17","1","1","0","0","9"
"351","4164","4413","0","1","1","1","1","0","0"
"352","4165","4414","0","1","1","1","1","0","1"
"353","4166","4415","0","1","1","1","1","0","2"
"354","4167","4416","0","1","1","1","1","0","3"
"355","4168","4417","0","1","1","1","1","0","4"
"356","4169","4418","0","1","1","1","1","0","5"
"357","4170","4419","0","1","1","1","1","0","6"
"358","4171","4420","0","1","1","1","1","0","7"
"359","4172","4421","0","1","1","1","1","0","8"
"360","4173","4422","0","1","1","1","1","0","9"
