Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"1","29838","30","156944","85541","0","0","2","0"
"2","37478","60","156944","85542","0","0","2","1"
"3","32512","90","156944","85543","0","0","2","0"
"4","39711","10","156944","110508","0","0","3","8"
"59","53026","72000","161412","88496","0","0","30","0"
"60","54516","14400","172853","108996","0","0","31","0"
"71","55378","14400","168507","114677","0","0","36","0"
"72","55010","14400","172859","111556","0","0","37","0"
"82","56710","14400","177829","114999","0","0","32","0"
"83","56713","14400","177831","114999","0","0","32","0"
"85","56711","14400","177832","115002","0","0","32","0"
"86","56714","14400","177833","115002","0","0","32","0"
"88","56712","14400","177827","115005","0","0","32","0"
"89","57279","14400","177828","115005","0","0","32","0"
"103","55774","14400","171949","108257","0","0","49","0"
"104","55722","14400","172858","110611","0","0","50","0"
"105","55552","14400","172857","115524","0","0","51","0"
"106","55960","14400","172854","115504","0","0","52","0"
"107","55962","14400","172855","111366","0","0","53","0"
"108","55961","14400","172856","112377","0","0","54","0"
"109","55529","14400","170693","116054","0","0","55","0"
"110","55531","14400","170696","116055","0","0","56","0"
"113","51117","0","171885","112971","0","0","49","1"
"114","55792","0","172833","116842","0","0","31","1"
"115","55794","0","172834","116844","0","0","52","1"
"116","55795","0","172835","116845","0","0","53","1"
"117","55796","0","172836","116846","0","0","54","1"
"118","55793","0","172837","116843","0","0","51","1"
"119","55790","0","172838","116840","0","0","50","1"
"120","55791","0","172839","116841","0","0","37","1"
"121","54516","14400","172853","108996","0","0","57","0"
"122","55792","0","173063","116842","0","0","57","1"
"123","55774","14400","171949","108257","0","0","58","0"
"124","51117","0","171885","112971","0","0","58","1"
"125","55960","14400","172854","115504","0","0","59","0"
"126","55794","0","173064","116844","0","0","59","1"
"127","55962","14400","172855","111366","0","0","60","0"
"128","55795","0","173062","116845","0","0","60","1"
"129","55961","14400","172856","112377","0","0","61","0"
"130","55796","0","173060","116846","0","0","61","1"
"131","55552","14400","172857","115524","0","0","62","0"
"132","55793","0","173059","116843","0","0","62","1"
"133","55722","14400","172858","110611","0","0","63","0"
"134","55790","0","173058","116840","0","0","63","1"
"135","55010","14400","172859","111556","0","0","64","0"
"136","55791","0","173057","116841","0","0","64","1"
"137","55987","14400","173348","118042","0","0","65","0"
"138","55994","14400","174292","118111","0","0","66","0"
"143","55994","14400","174298","118111","0","0","66","0"
"144","55994","14400","174300","118111","0","0","66","0"
"145","55994","14400","174296","118111","0","0","66","0"
"146","55994","14400","174299","118111","0","0","66","0"
"147","55994","14400","174297","118111","0","0","66","0"
"148","55994","14400","174294","118111","0","0","66","0"
"149","55994","14400","174295","118111","0","0","66","0"
"150","55994","14400","174293","118111","0","0","66","0"
"151","55994","14400","174301","118111","0","0","66","0"
"152","55994","14400","173448","118111","0","0","66","0"
"154","55994","14400","175235","118111","0","0","70","0"
"155","55994","14400","175234","118111","0","0","70","0"
"156","55994","14400","175233","118111","0","0","70","0"
"157","55994","14400","175232","118111","0","0","70","0"
"158","55994","14400","175231","118111","0","0","70","0"
"159","55994","14400","175230","118111","0","0","70","0"
"160","55994","14400","175229","118111","0","0","70","0"
"161","55994","14400","175228","118111","0","0","70","0"
"162","55994","14400","175227","118111","0","0","70","0"
"163","55994","14400","175226","118111","0","0","70","0"
"164","55994","14400","175225","118111","0","0","70","0"
"169","57270","72000","177205","119437","0","0","74","0"
"170","57270","72000","177208","119436","0","0","75","0"
"175","58144","14400","178195","120204","0","0","77","0"
"176","58144","14400","178196","120204","0","0","78","0"
"177","55531","14400","178656","116055","0","0","79","0"
"178","55529","14400","178655","116054","0","0","80","0"
"196","55994","14400","180787","118111","0","0","66","0"
"200","55994","14400","180788","118111","0","0","70","0"
"203","60027","14400","181564","122589","0","0","100","0"
"204","60027","14400","181677","122589","0","0","101","0"
"206","60746","1800","185781","126952","185603","0","103","0"
"210","60747","7200","185844","126983","185842","0","104","0"
"212","60776","3600","186221","127134","186222","0","105","0"
"215","60775","1800","186220","127135","186223","0","106","0"
"220","60777","7200","186219","126986","186225","0","107","0"
"222","60775","60","188361","127135","191189","0","109","0"
"224","60747","7200","189226","128301","189660","0","111","0"
"225","60776","3600","189228","128302","189659","0","112","0"
"226","60746","1800","189246","128303","189658","0","113","0"
"227","60746","60","190000","126952","191190","0","114","0"
"228","60746","60","190001","128303","191190","0","115","0"
"232","60746","60","191256","126952","191191","0","119","0"
"234","60746","60","191372","128303","191191","0","121","0"
"235","64329","14400","202349","133877","0","0","122","0"
"236","64330","14400","202395","133886","0","0","122","0"
"237","64331","14400","202396","133915","0","0","122","0"
"238","64332","14400","202397","133914","0","0","122","0"
"239","64333","14400","202398","133916","0","0","122","0"
