Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15
"2","","","0","0","16091","16092","16093","0","1","17","2","3","5","0","-1","0"
"3","","","0","0","439","7321","10344","0","2","0","2","3","5","0","-1","0"
"30","A delivery of delicious fish is coming soon!","","51","0","15020","0","0","0","0","0","2","5","5","0","-1","0"
"31","Alchemical Catalyst","Generate a shipment of Alchemical Catalysts.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","43","0","16091","16092","22545","0","1","16","2","14","21","57","1","0"
"32","Barn Shipment","Generates a shipment of meat, leather, or fur, depending on the creature captured.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","51","0","17819","14563","16155","0","1","3","2","14","21","0","-1","0"
"36","Lumber Mill Shipment","Generates a shipment of Garrison Resources from timber harvested from around Draenor.

You can view the progress of shipments in the Garrison Report. 

Return to collect goods when they are complete.","54","0","16091","16092","19906","0","1","4","2","14","21","0","-1","0"
"37","Hexweave Cloth","Generate a shipment of Hexweave Cloth. 

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","52","0","16091","16092","22545","0","1","23","2","14","21","64","1","0"
"49","Truesteel Ingot","Generate a shipment of Truesteel Ingots.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","42","0","16091","16092","22545","0","1","17","2","14","21","58","1","0"
"50","Burnished Leather","Generate a shipment of Burnished Leather.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","49","0","16091","16092","22545","0","1","22","2","14","21","63","1","0"
"51","Taladite Crystal","Generate a shipment of Taladite Crystal.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","46","0","16091","16092","22545","0","1","21","2","14","21","62","1","0"
"52","Temporal Crystal","Generate a shipment of enchanting crystals.

You can view the progress of shipments in the Garrison Report.

Once the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","44","0","16091","16092","22545","0","1","18","2","14","21","59","1","0"
"53","Gearspring Parts","Generate a shipment of Gearspring Parts.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","47","0","16091","16092","22545","0","7","19","2","14","21","60","1","0"
"54","War Paints","Generate a shipment of War Paints.

You can view the progress of shipments in the Garrison Report.

If the building is Level 2 or higher, you can assign a follower from the architect table to increase your yield.","45","0","16091","16092","22545","0","1","20","2","14","21","61","1","0"
