Id,Unknown0,Unknown1,Unknown2,Unknown3
"44","1053744","7","0","0"
"45","1053747","7","0","1"
"46","1053741","7","0","2"
"47","1053753","7","0","3"
"48","1053749","7","0","4"
"49","1053745","7","0","5"
"50","1053750","7","0","6"
"51","1053740","7","0","7"
"52","1053742","7","0","8"
"53","1053751","7","0","9"
"54","1053746","7","0","10"
"55","1053748","7","0","11"
"56","1053752","7","0","12"
"57","1053743","7","0","13"
"58","1053732","11","1","0"
"59","1053729","11","1","1"
"60","1053728","11","1","2"
"61","1053720","11","1","3"
"62","1053738","11","1","4"
"63","1053736","11","1","5"
"64","1053733","11","1","6"
"65","1053722","11","1","7"
"66","1053725","11","1","8"
"67","1053734","11","1","9"
"68","1053721","11","1","10"
"69","1053739","11","1","11"
"70","1053727","11","1","12"
"71","1053731","11","1","13"
"72","1053737","11","1","14"
"73","1053726","11","1","15"
"74","1053723","11","1","16"
"75","1053730","11","1","17"
"76","1053735","11","1","18"
"77","1053724","11","1","19"
"78","1053758","4","1","0"
"81","1053765","4","1","1"
"82","1053756","4","1","2"
"83","1053764","4","1","3"
"84","1053769","4","1","4"
"85","1053770","4","1","5"
"86","1053754","4","1","6"
"87","1053759","4","1","7"
"88","1053757","4","1","8"
"89","1053760","4","1","9"
"90","1053766","4","1","10"
"91","1053763","4","1","11"
"92","1053755","4","1","12"
"93","1053761","4","1","13"
"94","1053768","4","1","14"
"95","1053771","4","1","15"
"96","1053767","4","1","16"
"97","1053762","4","1","17"
"98","1053782","2","1","0"
"99","1053775","2","1","1"
"100","1053789","2","1","2"
"101","1053785","2","1","3"
"102","1053783","2","1","4"
"103","1053781","2","1","5"
"104","1053779","2","1","6"
"105","1053773","2","1","7"
"106","1053790","2","1","8"
"107","1053788","2","1","9"
"108","1053776","2","1","10"
"109","1053784","2","1","11"
"110","1053787","2","1","12"
"111","1053786","2","1","13"
"112","1053774","2","1","14"
"113","1053778","2","1","15"
"114","1053777","2","1","17"
"115","1054841","2","0","0"
"116","1054837","2","0","1"
"117","1054829","2","0","2"
"118","1054833","2","0","3"
"119","1054832","2","0","4"
"120","1054836","2","0","5"
"121","1054834","2","0","6"
"122","1054839","2","0","7"
"123","1054827","2","0","8"
"124","1054831","2","0","9"
"125","1054830","2","0","10"
"126","1054838","2","0","11"
"127","1054828","2","0","12"
"128","1054826","2","0","13"
"129","1054835","2","0","14"
"130","1054840","2","0","15"
"131","1054842","2","0","16"
"132","1054825","2","0","17"
"133","1056261","3","1","0"
"134","1056263","3","1","1"
"135","1056277","3","1","2"
"136","1056272","3","1","3"
"137","1056275","3","1","4"
"138","1056264","3","1","5"
"139","1056278","3","1","6"
"140","1056273","3","1","7"
"141","1056270","3","1","8"
"142","1056267","3","1","9"
"143","1056269","3","1","10"
"144","1056266","3","1","11"
"145","1056265","3","1","12"
"146","1056268","3","1","13"
"147","1056262","3","1","14"
"148","1056274","3","1","15"
"149","1056276","3","1","16"
"150","1056260","3","1","17"
"151","1056271","3","1","18"
"152","1054895","3","0","0"
"153","1054913","3","0","1"
"154","1054911","3","0","2"
"155","1054908","3","0","3"
"156","1054899","3","0","4"
"157","1054901","3","0","5"
"158","1054898","3","0","6"
"159","1054902","3","0","7"
"160","1054894","3","0","8"
"161","1054910","3","0","9"
"162","1054907","3","0","10"
"163","1054904","3","0","11"
"164","1054909","3","0","12"
"165","1054906","3","0","13"
"166","1054900","3","0","14"
"167","1054896","3","0","15"
"168","1054912","3","0","16"
"169","1054897","3","0","17"
"170","1054905","3","0","18"
"171","1054903","3","0","19"
"172","1054937","1","0","0"
"173","1054917","1","0","2"
"174","1054925","1","0","3"
"175","1054926","1","0","4"
"176","1054933","1","0","5"
"177","1054934","1","0","6"
"178","1054921","1","0","7"
"179","1054938","1","0","8"
"180","1054923","1","0","9"
"181","1054929","1","0","10"
"182","1054929","1","0","11"
"183","1054935","1","0","13"
"184","1054922","1","0","14"
"185","1054918","1","0","15"
"186","1054927","1","0","16"
"187","1054924","1","0","17"
"188","1054932","1","0","18"
"189","1054930","1","0","19"
"190","1054919","1","0","20"
"191","1054936","1","0","21"
"192","1054920","1","0","22"
"193","1054928","1","0","23"
"194","1056795","11","0","0"
"195","1056805","11","0","1"
"196","1056809","11","0","2"
"197","1056807","11","0","3"
"198","1056798","11","0","4"
"199","1056801","11","0","5"
"200","1056802","11","0","6"
"201","1056791","11","0","7"
"202","1056794","11","0","8"
"203","1056796","11","0","9"
"204","1056790","11","0","10"
"205","1056800","11","0","11"
"206","1056804","11","0","12"
"207","1056808","11","0","13"
"208","1056792","11","0","14"
"209","1056793","11","0","15"
"210","1056806","11","0","16"
"211","1056803","11","0","17"
"212","1056797","11","0","18"
"213","1056799","11","0","19"
"214","1056835","8","1","0"
"215","1056827","8","1","1"
"216","1056826","8","1","2"
"217","1056830","8","1","3"
"218","1056828","8","1","4"
"219","1056831","8","1","5"
"220","1056829","8","1","6"
"221","1056834","8","1","7"
"222","1056836","8","1","8"
"223","1056833","8","1","9"
"224","1056832","8","1","10"
"225","1056825","8","1","11"
"226","1056820","5","1","0"
"227","1056818","5","1","1"
"228","1056822","5","1","2"
"229","1056821","5","1","3"
"230","1056824","5","1","5"
