Id,Unknown0,Unknown1,Unknown2
"14","0","6","0"
"109","0","11","0"
"123","0","8","0"
"126","0","9","0"
"129","0","4","0"
"133","0","1","0"
"155","0","5","0"
"158","0","3","0"
"161","0","7","0"
"164","0","2","0"
"305","10487807","1","1"
"306","10487807","2","1"
"307","10487158","3","1"
"308","10487807","5","1"
"310","10487807","6","1"
"311","10487807","7","1"
"312","10487807","11","1"
"314","10487807","8","1"
"315","10487807","4","1"
"332","10487807","9","1"
"352","0","10","0"
"372","649","3","1"
"506","0","2","3"
"510","0","4","3"
"513","0","6","3"
"525","0","10","3"
"528","0","7","3"
"531","0","3","3"
"534","0","5","3"
"537","0","1","3"
"540","0","9","3"
"543","0","8","3"
"546","0","11","3"
"581","520","12","1"
"643","0","11","4"
"647","0","8","4"
"650","0","9","4"
"653","0","1","4"
"656","0","5","4"
"659","0","3","4"
"662","0","7","4"
"665","0","10","4"
"668","0","6","4"
"671","0","4","4"
"674","0","2","4"
"685","0","6","6"
"686","0","1","6"
"687","0","9","6"
"688","0","7","6"
"689","0","4","6"
"690","0","5","6"
"691","0","2","6"
"692","0","10","6"
"693","0","8","6"
"694","0","3","6"
"695","0","11","6"
"701","0","12","4"
"704","0","4","5"
"706","0","2","5"
"707","0","7","5"
"710","0","3","5"
"712","0","5","5"
"715","0","9","5"
"717","0","1","5"
"718","0","6","5"
"724","0","10","5"
"725","0","11","5"
"729","0","8","5"
"152","0","6","0"
"153","0","6","0"
"154","0","6","0"
"418","0","6","0"
"419","0","6","0"
"420","0","6","0"
"110","0","11","0"
"111","0","11","0"
"117","0","11","0"
"402","0","11","0"
"403","0","11","0"
"404","0","11","0"
"405","0","11","0"
"124","0","8","0"
"125","0","8","0"
"406","0","8","0"
"407","0","8","0"
"408","0","8","0"
"127","0","9","0"
"128","0","9","0"
"409","0","9","0"
"410","0","9","0"
"411","0","9","0"
"130","0","4","0"
"131","0","4","0"
"412","0","4","0"
"413","0","4","0"
"414","0","4","0"
"148","0","1","0"
"149","0","1","0"
"415","0","1","0"
"416","0","1","0"
"417","0","1","0"
"156","0","5","0"
"157","0","5","0"
"421","0","5","0"
"422","0","5","0"
"423","0","5","0"
"159","0","3","0"
"160","0","3","0"
"424","0","3","0"
"425","0","3","0"
"426","0","3","0"
"162","0","7","0"
"163","0","7","0"
"427","0","7","0"
"428","0","7","0"
"429","0","7","0"
"166","0","2","0"
"168","0","2","0"
"430","0","2","0"
"431","0","2","0"
"432","0","2","0"
"353","0","10","0"
"354","0","10","0"
"433","0","10","0"
"434","0","10","0"
"435","0","10","0"
"523","0","2","3"
"524","0","2","3"
"511","0","4","3"
"512","0","4","3"
"514","0","6","3"
"515","0","6","3"
"526","0","10","3"
"527","0","10","3"
"529","0","7","3"
"530","0","7","3"
"532","0","3","3"
"533","0","3","3"
"535","0","5","3"
"536","0","5","3"
"538","0","1","3"
"539","0","1","3"
"541","0","9","3"
"542","0","9","3"
"544","0","8","3"
"545","0","8","3"
"547","0","11","3"
"548","0","11","3"
"549","0","11","3"
"644","0","11","4"
"645","0","11","4"
"646","0","11","4"
"648","0","8","4"
"649","0","8","4"
"651","0","9","4"
"652","0","9","4"
"654","0","1","4"
"655","0","1","4"
"657","0","5","4"
"658","0","5","4"
"660","0","3","4"
"661","0","3","4"
"663","0","7","4"
"664","0","7","4"
"666","0","10","4"
"667","0","10","4"
"669","0","6","4"
"670","0","6","4"
"680","0","6","4"
"672","0","4","4"
"673","0","4","4"
"675","0","2","4"
"676","0","2","4"
"738","0","11","6"
"702","0","12","4"
"705","0","4","5"
"723","0","4","5"
"736","0","2","5"
"737","0","2","5"
"708","0","7","5"
"709","0","7","5"
"711","0","3","5"
"714","0","3","5"
"713","0","5","5"
"722","0","5","5"
"716","0","9","5"
"732","0","9","5"
"719","0","1","5"
"733","0","1","5"
"720","0","6","5"
"721","0","6","5"
"734","0","10","5"
"735","0","10","5"
"726","0","11","5"
"727","0","11","5"
"728","0","11","5"
"730","0","8","5"
"731","0","8","5"
