Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5
"1","12","4","0","1","5080","0"
"2","12","4","1","1","5082","0"
"3","12","10","0","1","5081","0"
"4","12","10","1","1","5078","0"
"5","6","1","1","0","0","2"
"6","6","1","0","0","0","1"
"7","6","3","0","0","0","3"
"8","6","3","1","0","0","4"
"9","6","4","0","0","0","5"
"10","6","4","1","0","0","6"
"11","6","7","0","0","0","7"
"12","6","7","1","0","0","8"
"13","6","11","0","0","0","9"
"14","6","11","1","0","0","10"
"15","6","2","0","0","0","11"
"16","6","2","1","0","0","12"
"17","6","5","0","0","0","13"
"18","6","5","1","0","0","14"
"19","6","6","0","0","0","15"
"20","6","6","1","0","0","16"
"21","6","8","0","0","0","17"
"22","6","8","1","0","0","18"
"23","6","10","0","0","0","19"
"24","6","10","1","0","0","20"
"25","6","9","0","0","0","21"
"26","6","9","1","0","0","22"
"27","6","23","0","0","0","23"
"28","6","23","1","0","0","24"
"29","6","22","0","0","0","25"
"30","6","22","1","0","0","26"
