Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17
"1","PET","Warrior","","Warrior","WARRIOR","0","0","0","626008","1074","0","71","1","4","1","0","0","5"
"2","PET","Paladin","","Paladin","PALADIN","0","0","0","626003","58","0","70","0","10","1","0","0","5"
"3","PET","Hunter","","Hunter","HUNTER","0","0","0","626000","406","0","253","2","9","0","1","1","2"
"4","PET","Rogue","","Rogue","ROGUE","0","0","0","626005","2","0","259","3","8","0","1","1","3"
"5","PET","Priest","","Priest","PRIEST","0","0","0","626004","2","0","256","0","6","0","0","0","0"
"6","PET","Death Knight","","Death Knight","DEATHKNIGHT","236082","236082","1560617","135771","1146","165","251","6","15","1","0","0","5"
"7","PET","Shaman","","Shaman","SHAMAN","0","0","0","626006","26","0","262","0","11","0","1","0","0"
"8","PET","Mage","","Mage","MAGE","0","0","0","626001","2","0","62","0","3","0","0","0","0"
"9","DEMON","Warlock","","Warlock","WARLOCK","0","0","0","626007","134","0","265","0","5","0","0","0","0"
"10","PET","Monk","","Monk","MONK","0","0","0","626002","1538","0","268","3","53","0","1","0","2"
"11","PET","Druid","","Druid","DRUID","0","0","0","625999","10","0","102","0","7","0","1","0","0"
"12","PET","Demon Hunter","","Demon Hunter","DEMONHUNTER","1305036","1305036","1560446","236415","67","0","577","17","107","0","1","0","3"
