Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6_0,Unknown6_1,Unknown7,Unknown8,Unknown9,Unknown10_0,Unknown10_1,Unknown10_2,Unknown11_0,Unknown11_1,Unknown11_2,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21,Unknown22,Unknown23,Unknown24,Unknown25,Unknown26,Unknown27,Unknown28,Unknown29,Unknown30,Unknown31,Unknown32,Unknown33,Unknown34_0,Unknown34_1,Unknown34_2
"1","1036","Hu","Human","Human","","","NORMAL","PIERCINGS","NORMAL","623712","131948","5","0","0.4","5","0","0.4","651555","1","4140","49","50","15007","1096","81","0","0","7","7","0","2","0","1","5","0","0","2","57899","56658","0","0","0"
"2","12","Or","Orc","Orc","","","NORMAL","PIERCINGS","NORMAL","623714","132003","6","0","0.3","5","0","0.3","651558","2","4141","51","52","15007","1096","21","0","0","1","7","1","1","0","1","1","0","0","2","51894","53762","0","0","0"
"3","12","Dw","Dwarf","Dwarf","","","NORMAL","PIERCINGS","NORMAL","623712","131940","5","0","0.17","5","0","0.12","651555","3","4147","53","54","15007","1090","41","0","0","7","7","0","8","0","1","3","0","0","2","49242","53768","0","0","0"
"4","132","Ni","NightElf","Night Elf","","","NORMAL","MARKINGS","NORMAL","623712","131993","5.6","0","0.4","5.6","0","0.4","651555","4","4145","55","56","15007","1096","61","0","0","7","7","0","5","0","1","11","0","0","2","54918","54439","0","0","0"
"5","12","Sc","Scourge","Undead","","","FEATURES","FEATURES","NORMAL","623714","132035","5","0","0.6","5","0","0.46","651558","5","4142","57","58","15007","1096","2","0","0","1","7","1","4","0","1","4","0","0","2","54041","56327","0","0","0"
"6","14","Ta","Tauren","Tauren","","","NORMAL","HAIR","HORNS","623714","132046","5","0","0.26","5","0","0.26","651558","6","4143","59","60","15007","1096","141","0","0","1","7","1","7","0","1","7","0","0","2","55077","56316","0","0","0"
"7","12","Gn","Gnome","Gnome","","","NORMAL","EARRINGS","NORMAL","623712","430171","4","0","-0.1","4","0","-0.1","651555","115","4146","1563","1564","15007","1096","101","0","0","7","7","0","6","0","1","9","0","0","2","51877","53291","0","0","0"
"8","14","Tr","Troll","Troll","","","TUSKS","TUSKS","NORMAL","623714","429097","5.51","0","0.96","5.5","0","0.46","651558","116","4144","1478","1479","15007","1096","121","0","0","1","7","1","3","0","1","7","0","0","2","59071","59223","0","0","0"
"9","260","Go","Goblin","Goblin","","","EARS","EARS","NORMAL","623714","319097","5","0","0.06","5","0","0.06","651558","2204","20682","6894","6895","15007","1096","172","0","0","1","7","1","22","0","1","4","0","0","0","0","0","0","0","0"
"10","140","Be","BloodElf","Blood Elf","","","NORMAL","EARRINGS","NORMAL","623714","131921","5","0","0.5","5","0","0.5","651558","1610","4142","15476","15475","15007","1096","162","0","0","1","7","1","11","0","1","8","0","0","2","62127","62128","0","0","0"
"11","14","Dr","Draenei","Draenei","","","NORMAL","HORNS","NORMAL","623712","131934","5","0","0.5","5","0","0.5","651555","1629","4140","16125","16126","15007","1096","163","0","0","7","7","0","10","0","1","2","0","0","2","57027","58232","0","0","0"
"12","262149","Fo","FelOrc","Fel Orc","","","NORMAL","NORMAL","NORMAL","0","0","0","0","0","0","0","0","0","1","0","16981","16980","15007","1096","0","0","0","7","7","2","0","0","1","0","0","0","2","0","0","0","0","0"
"13","1","Na","Naga_","Naga","","","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","1","0","17402","17403","15007","1096","0","0","0","7","7","2","0","0","2","0","0","0","0","0","0","0","0","0"
"14","5","Br","Broken","Broken","","","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","1","0","17576","17577","15007","1096","0","0","0","7","7","2","0","0","1","0","0","0","2","0","0","0","0","0"
"15","1","Sk","Skeleton","Skeleton","","","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","1","0","17578","17579","15007","1096","0","0","0","7","7","2","0","0","1","0","0","0","2","0","0","0","0","0"
"16","9","Vr","Vrykul","Vrykul","","","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","1","0","21685","21686","15007","1096","0","0","0","7","7","2","0","0","2","0","0","0","0","0","0","0","0","0"
"17","262145","Tu","Tuskarr","Tuskarr","","","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","1","0","21780","21781","15007","1096","0","0","0","7","7","2","0","0","1","0","0","0","2","0","0","0","0","0"
"18","15","Ft","ForestTroll","Forest Troll","","","TUSKS","TUSKS","Normal","0","0","0","0","0","0","0","0","0","1","0","21963","21964","15007","1096","0","0","0","7","7","2","0","0","1","0","0","0","2","0","0","0","0","0"
"19","5","Wt","Taunka","Taunka","","","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","1","0","26316","26317","15007","1096","0","0","0","7","7","2","0","0","1","0","0","0","2","0","0","0","0","0"
"20","5","NS","NorthrendSkeleton","Northrend Skeleton","","","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","1","0","26871","26872","15007","1096","0","0","0","7","7","2","0","0","1","0","0","0","2","0","0","0","0","0"
"21","5","It","IceTroll","Ice Troll","","","Normal","Normal","Normal","0","0","0","0","0","0","0","0","0","1","0","26873","26874","15007","1096","0","0","0","7","7","2","0","0","1","0","0","0","2","0","0","0","0","0"
"22","70","Wo","Worgen","Worgen","","","NORMAL","EARS","NORMAL","623712","313254","5","0","0.5","5","0","0.2","651555","2203","20683","29422","29423","15007","1096","170","0","0","7","7","0","9","23","1","6","0","0","0","0","0","61428","41048","61429"
"23","109","Hu","Human","Gilnean","","","NORMAL","PIERCINGS","NORMAL","623712","313254","5","0","0.1","5","0","0.1","651555","1","4140","49","50","15007","1096","0","3133","3134","7","7","0","0","0","1","0","0","1","2","57899","56658","41552","41552","41552"
"24","251924","Pa","Pandaren","Pandaren","","","NORMAL","EARRINGS","NORMAL","623716","574549","5.02","0","0.22","5.01","0","0","651561","2395","4140","38551","38552","15007","1096","259","0","0","42","7","2","0","0","2","10","0","0","0","0","0","0","0","0"
"25","211460","Pa","Pandaren","Pandaren","","","NORMAL","EARRINGS","NORMAL","623712","574549","5.02","0","0.22","5.01","0","0","651555","2401","4140","38551","38552","15007","1096","259","0","0","7","7","0","26","0","2","0","24","24","0","0","0","0","0","0"
"26","211460","Pa","Pandaren","Pandaren","","","NORMAL","EARRINGS","NORMAL","623714","574549","5.02","0","0.22","5.01","0","0","651558","2402","4140","38551","38552","15007","1096","259","0","0","1","7","1","25","0","2","0","24","24","0","0","0","0","0","0"
