Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown12,Unknown13
"62","190740","0","Arcane","Arcane","Manipulate the arcane, destroying enemies with overwhelming power.","bg-mage-arcane","125","8","0","0","2","0","3","362"
"63","12846","0","Fire","Fire","Ignite enemies with balls of fire and combustive flames.","bg-mage-fire","183","8","1","0","2","0","3","362"
"64","76613","0","Frost","Frost","Freezes enemies in their tracks and shatters them with Frost magic.","bg-mage-frost","188","8","2","0","2","0","67","362"
"65","183997","0","Holy","Holy","Invokes the power of the Light to protect and to heal.","bg-paladin-holy","70","2","0","0","1","1","5","0"
"66","76671","0","Protection","Protection","Uses Holy magic to shield $Ghimself:herself; and defend allies from attackers.","bg-paladin-protection","3016","2","1","0","0","5","4","0"
"70","76672","0","Retribution","Retribution","A righteous crusader who judges and punishes opponents with weapons and Holy magic.","bg-paladin-retribution","555","2","2","0","2","5","68","0"
"71","76838","0","Arms","Arms","A battle-hardened master of two-handed weapons, using mobility and overpowering attacks to strike $Ghis:her; opponents down.","bg-warrior-arms","564","1","0","0","2","5","68","0"
"72","76856","0","Fury","Fury","A furious berserker wielding a weapon in each hand, unleashing a flurry of attacks to carve $Ghis:her; opponents to pieces.","bg-warrior-fury","561","1","1","0","2","5","20","0"
"73","76857","0","Protection","Protection","A stalwart protector who uses a shield to safeguard $Ghimself:herself; and $Ghis:her; allies.","bg-warrior-protection","276","1","2","0","0","5","4","0"
"74","0","0","Ferocity","Ferocity","Driven by a frenzied persistence to pursue prey, these beasts stop at nothing to achieve victory; even death is temporary for these predators.","bg-deathknight-blood","2850","0","0","0","2","0","0","0"
"79","0","0","Cunning","Cunning","Guileful creatures capable of skillfully mitigating lethal blows dealt to themselves and their allies.","bg-deathknight-blood","49","0","2","2","2","0","0","0"
"81","0","0","Tenacity","Tenacity","Stalwart and veteran defenders who unquestionably place their thick hides and protective exteriors in harm's way for their allies.","bg-deathknight-blood","960","0","1","1","0","0","0","0"
"102","77492","0","Balance","Balance","Can take on the form of a powerful Moonkin, balancing the power of Arcane and Nature magic to destroy enemies at a distance.","bg-druid-balance","225","11","0","0","2","0","331","363"
"103","77493","0","Feral","Feral","Takes on the form of a great cat to deal damage with bleeds and bites.","bg-druid-cat","493","11","1","0","2","3","260","363"
"104","155783","0","Guardian","Guardian","Takes on the form of a mighty bear to absorb damage and protect allies.","bg-druid-bear","107","11","2","0","0","3","4","363"
"105","77495","0","Restoration","Restoration","Uses heal-over-time Nature spells to keep allies alive.","bg-druid-restoration","962","11","3","0","1","0","3","363"
"250","77513","0","Blood","Blood","A dark guardian who manipulates and corrupts life energy to sustain $Ghimself:herself; in the face of an enemy onslaught.","bg-deathknight-blood","2636","6","0","0","0","5","4","0"
"251","77514","0","Frost","Frost","An icy harbinger of doom, channeling runic power and delivering vicious weapon strikes.","bg-deathknight-frost","2632","6","1","0","2","5","4","0"
"252","77515","0","Unholy","Unholy","A master of death and decay, spreading infection and controlling undead minions to do $Ghis:her; bidding.","bg-deathknight-unholy","2633","6","2","0","2","5","68","0"
"253","76657","0","Beast Mastery","Beast Mastery","A master of the wild who can tame a wide variety of beasts to assist $Ghim:her; in combat.","bg-hunter-beastmaster","5095","3","0","0","2","2","66","0"
"254","193468","0","Marksmanship","Marksmanship","A master archer or sharpshooter who excels in bringing down enemies from afar.","bg-hunter-marksman","3411","3","1","0","2","2","2","0"
"255","191334","0","Survival","Survival","A rugged tracker who favors using animal venom, explosives and traps as deadly weapons.","bg-hunter-survival","5126","3","2","0","2","2","260","0"
"256","77484","0","Discipline","Discipline","Uses magic to shield allies from taking damage as well as heal their wounds.","bg-priest-discipline","566","5","0","0","1","0","67","353"
"257","77485","0","Holy","Holy","A versatile healer who can reverse damage on individuals or groups and even heal from beyond the grave.","bg-priest-holy","2873","5","1","0","1","0","3","353"
