Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7
"1","977","0","4000","120","0","0","60","60"
"93","75740","0","1000","94","0","0","60","60"
"94","75742","0","1000","0","0","0","60","60"
"95","83198","0","1000","96","0","0","60","60"
"96","83210","0","1000","0","0","0","60","60"
"110","83541","0","500","111","0","0","60","60"
"111","83542","0","0","0","0","0","60","60"
"112","83664","0","0","113","0","0","60","60"
"113","83665","0","0","114","0","0","60","60"
"114","83666","0","0","115","0","0","60","60"
"115","83667","0","0","118","0","0","60","60"
"116","82108","0","1000","117","0","0","60","60"
"117","82231","0","0","0","0","0","60","60"
"118","83684","0","0","119","0","0","60","60"
"119","83685","0","0","677","0","0","60","60"
"120","25180","0","4000","7141","0","0","60","60"
"125","84471","0","1000","126","0","0","60","60"
"126","84472","0","1000","127","0","0","60","60"
"127","84473","0","6000","128","0","0","60","60"
"128","84575","0","1000","0","0","0","60","60"
"129","84578","0","0","0","0","0","60","60"
"131","84589","0","500","132","0","0","60","60"
"132","84590","0","0","0","0","0","60","60"
"133","84591","0","4294966296","134","0","0","60","60"
"134","84592","0","5000","0","0","0","60","60"
"135","84679","0","1000","136","0","0","60","60"
"136","84680","0","1000","137","0","0","60","60"
"137","84681","0","0","0","0","0","60","60"
"138","84683","0","1000","139","0","0","60","60"
"139","84684","0","500","140","0","0","60","60"
"140","0","46807","1000","141","0","0","60","60"
"141","0","46807","2000","142","0","0","60","60"
"142","84685","0","0","0","0","0","60","60"
"143","84887","0","500","144","0","1","60","60"
"144","84902","0","500","145","0","1","60","60"
"145","84888","0","500","146","0","1","60","60"
"146","84903","0","500","147","0","1","60","60"
"147","84889","0","500","148","0","1","60","60"
"148","84904","0","0","149","0","1","60","60"
"149","84890","0","500","150","0","1","60","60"
"150","84891","0","500","0","0","1","60","60"
"153","84894","0","500","154","0","1","60","60"
"154","84907","0","500","155","0","1","60","60"
"155","84911","0","500","156","0","1","60","60"
"156","84895","0","500","157","0","1","60","60"
"157","84869","0","500","158","0","1","60","60"
"158","84912","0","500","159","0","1","60","60"
"159","84870","0","0","0","0","1","60","60"
"160","84872","0","5000","161","0","1","60","60"
"161","84883","0","5000","162","0","1","60","60"
"162","84873","0","15000","163","0","1","60","60"
"163","84884","0","5000","164","0","1","60","60"
"164","84874","0","0","0","0","1","60","60"
"165","81695","0","500","166","0","0","60","60"
"166","85104","0","500","167","0","0","60","60"
"167","85105","0","0","0","0","0","60","60"
"168","85109","0","0","169","0","0","60","60"
"169","85110","0","0","417","0","0","60","60"
"170","85111","0","0","171","0","0","60","60"
"171","85112","0","0","415","0","0","60","60"
"183","85321","0","500","184","0","0","60","60"
"184","85322","0","1000","185","0","0","60","60"
"185","85323","0","0","0","0","0","60","60"
"186","85365","0","1000","188","0","1","60","60"
"188","85468","552","540","189","0","1","60","60"
"189","85467","16377","1250","190","0","1","60","60"
"190","85469","554","0","0","0","1","60","60"
"191","80406","552","0","192","0","1","60","60"
"192","80394","552","0","193","0","1","60","60"
"193","80407","554","0","194","0","1","60","60"
"194","80395","0","0","196","0","1","60","60"
"196","80410","13108","0","0","0","1","60","60"
"198","84384","47568","500","199","0","0","60","60"
"199","84386","47569","500","200","0","0","60","60"
"200","84387","47570","500","372","0","0","60","60"
"201","80408","0","5000","202","0","1","60","60"
"202","85348","0","10000","203","0","1","60","60"
"203","84275","0","10000","204","0","1","60","60"
"204","84272","0","15000","205","0","1","60","60"
"205","84279","0","22000","206","0","1","60","60"
"206","85363","0","5000","207","0","1","60","60"
"207","85364","0","0","0","0","1","60","60"
"208","84389","47568","2000","0","0","1","60","60"
"209","85493","0","4000","210","0","0","60","60"
"210","85491","0","4000","0","0","0","60","60"
"211","84390","0","500","272","0","1","60","60"
"212","84399","0","500","213","0","0","60","60"
"213","84400","0","0","0","0","0","60","60"
"214","85924","0","0","215","0","1","60","60"
"215","85906","0","0","216","0","1","60","60"
"216","85925","0","0","217","0","1","60","60"
"217","85907","0","0","218","0","1","60","60"
"218","85926","0","0","0","0","1","60","60"
"219","85927","0","0","220","0","1","60","60"
"220","85908","0","0","0","0","1","60","60"
"221","85909","0","0","222","0","1","60","60"
"222","85928","0","0","0","0","1","60","60"
"223","85911","0","0","224","0","1","60","60"
"224","85929","0","0","225","0","1","60","60"
"225","85912","0","0","226","0","1","60","60"
"226","85939","0","0","227","0","1","60","60"
"227","85940","0","0","228","0","1","60","60"
"228","85941","0","0","0","0","1","60","60"
"229","85930","0","0","230","0","1","60","60"
"230","85913","0","0","231","0","1","60","60"
"231","85931","0","0","232","0","1","60","60"
"232","85914","0","0","0","0","1","60","60"
"233","85932","0","0","234","0","1","60","60"
