Id,Unknown0,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown1_4,Unknown1_5,Unknown1_6,Unknown2,Unknown3,Unknown4,Unknown5
"2","3","524288","0","0","0","16777216","0","0","21","0","24","25"
"37","89","268959750","1024","0","0","16778240","0","0","954","4","50","50"
"184","304","1","0","0","0","16777216","0","0","35","0","1","2"
"185","305","1","0","0","0","16777216","0","0","35","0","1","2"
"275","416","1048582","0","262144","0","16778240","0","0","90","4","1","1"
"276","417","6","0","262144","0","16778240","0","0","90","4","30","30"
"296","444","100","0","0","0","16777216","0","0","188","0","25","25"
"512","721","6","0","0","0","16777216","0","0","31","0","1","1"
"1437","1748","147394560","0","0","1048576","16777216","0","0","12","0","73","73"
"1533","1860","6","0","262144","0","16778240","0","0","90","4","10","10"
"1536","1863","6","0","262144","0","16778240","0","0","90","2","20","85"
"2255","2671","1065062","1024","0","0","16777216","0","0","35","0","1","1"
"2328","2748","2424836704","72","0","0","16777216","0","0","14","0","40","40"
"3065","3524","6","1024","0","0","16777216","0","0","14","0","1","1"
"3275","3771","524288","0","0","0","16777216","0","0","90","0","19","20"
"3315","3823","524304","0","0","0","16777216","0","0","38","0","19","20"
"3448","3956","138936390","0","0","0","16777216","0","0","80","0","24","24"
"3567","4075","6","0","0","0","16777216","0","0","31","6","1","1"
"3752","4274","2424832000","72","0","0","16777216","0","0","16","0","21","21"
"3753","4275","2424832032","72","0","1048576","16777216","0","0","24","0","21","21"
"4172","4780","1","0","0","0","16777216","0","0","35","0","1","2"
"4512","5198","5","0","0","0","16777216","0","0","35","0","10","10"
"5725","7109","0","0","0","0","16777216","0","0","90","0","44","45"
"5883","7380","102","0","0","0","16777216","0","0","188","0","1","1"
"5884","7381","2150","0","0","0","16777216","0","0","188","0","1","1"
"5885","7382","2150","0","0","0","16777216","0","0","188","0","1","1"
"5886","7383","102","0","0","0","16777216","0","0","188","0","1","1"
"5887","7384","2150","0","0","0","16777216","0","0","188","0","1","1"
"5888","7385","102","0","0","0","16777216","0","0","188","0","1","1"
"5889","7386","102","0","0","0","16777216","0","0","188","0","1","1"
"5890","7387","102","0","0","0","16777728","0","0","188","0","1","1"
"5891","7388","102","0","0","0","16777728","0","0","188","0","1","1"
"5892","7389","102","0","0","0","16777728","0","0","188","0","1","1"
"5893","7390","102","0","0","0","16777728","0","0","188","0","1","1"
"5894","7391","102","0","0","0","16777728","0","0","188","0","1","1"
"5895","7392","102","0","0","0","16777216","0","0","188","0","1","1"
"5896","7393","102","0","0","0","16777216","0","0","188","0","1","1"
"5897","7394","102","0","0","0","16777216","0","0","188","0","1","1"
"5898","7395","102","0","0","0","16777216","0","0","188","0","1","1"
"5983","7543","102","0","0","0","16777728","0","0","188","0","1","1"
"5984","7544","102","0","0","0","16777728","0","0","188","0","1","1"
"5985","7545","102","0","0","0","16777728","0","0","188","0","1","1"
"5986","7546","102","0","0","0","16777728","0","0","188","0","1","1"
"5987","7547","102","0","0","0","16777728","0","0","188","0","1","1"
"5988","7548","102","0","0","0","16777216","0","0","188","0","1","1"
"5989","7549","102","0","0","0","16777216","0","0","188","0","1","1"
"5990","7550","102","0","0","0","16777216","0","0","188","0","1","1"
"5991","7551","102","0","0","0","16777216","0","0","188","0","1","1"
"5992","7552","102","0","0","0","16777216","0","0","188","0","1","1"
"5993","7553","102","0","0","0","16777728","0","0","188","0","1","1"
"5994","7554","70","0","0","0","16777728","0","0","188","0","1","1"
"5995","7555","2150","0","0","0","16777728","0","0","188","0","1","1"
"5996","7556","102","0","0","0","16777728","0","0","188","0","1","1"
"5997","7560","102","0","0","0","16777216","0","0","188","0","1","1"
"5998","7561","268959846","0","0","0","16777216","0","0","188","0","1","1"
"5999","7562","268959846","0","0","0","16777216","0","0","188","0","1","1"
"6000","7563","268959846","0","0","0","16777216","0","0","188","0","1","1"
"6002","7565","268959846","0","0","0","16777216","0","0","188","0","1","1"
"6003","7566","268959846","0","0","0","16777216","0","0","188","0","1","1"
"6004","7567","268959846","0","0","0","16777216","0","0","188","0","1","1"
"6005","7568","268959846","0","0","0","16777216","0","0","188","0","1","1"
"6006","7569","268959846","0","0","0","16777216","0","0","188","0","1","1"
"6007","7570","102","0","0","0","16777216","0","0","188","0","1","1"
"6194","7952","138936390","0","0","524288","16777216","0","0","126","0","45","45"
"6346","8376","102","0","0","0","16777216","0","0","188","0","1","1"
