Id,Unknown0,Unknown1
"3","59874","25"
"4","38995","25"
"8","61353","33"
"9","61353","34"
"10","57798","34"
"11","55437","35"
"12","61353","25"
"13","59464","25"
"14","28994","37"
"15","40761","25"
"21","62379","25"
"27","61353","46"
"28","61353","47"
"29","61353","48"
"30","29215","50"
"31","61353","35"
"32","63801","35"
"33","64312","35"
"34","64005","35"
"35","64259","35"
"36","61353","4"
"37","61353","20"
"38","51179","33"
"49","41826","82"
"50","41826","83"
"51","30865","84"
"52","30865","85"
"53","1444","85"
"54","51894","86"
"55","51894","87"
"56","42101","87"
"57","53762","88"
"58","55256","89"
"59","1568","90"
"60","1568","91"
"61","53768","92"
"62","2585","92"
"63","2585","93"
"64","1563","94"
"65","2456","95"
"66","1564","96"
"67","1564","97"
"68","55","98"
"69","55","99"
"70","56","100"
"71","56","101"
"72","56498","102"
"73","56498","103"
"74","37116","104"
"75","37116","105"
"76","16125","106"
"77","21204","107"
"78","16126","108"
"79","52921","109"
"80","55861","110"
"81","55861","111"
"82","59213","112"
"83","59213","113"
"84","6894","114"
"85","55267","115"
"86","6895","116"
"87","20583","117"
"88","15476","118"
"89","38648","119"
"90","15475","120"
"91","57982","121"
"92","1478","122"
"93","55263","123"
"94","1479","124"
"95","55262","125"
"96","59","126"
"97","2578","127"
"98","60","128"
"99","49781","129"
"100","54041","130"
"101","27509","131"
"102","56327","132"
"103","55258","133"
"104","21685","134"
"105","23553","135"
"106","25944","136"
"107","25944","137"
"108","17402","138"
"109","20235","139"
"110","17403","140"
"111","28504","141"
"112","64142","142"
"113","64142","143"
"114","64740","144"
"115","64740","145"
"116","130","146"
"117","130","147"
"118","26752","149"
"119","26752","150"
"128","63142","254"
"145","67618","686"
"146","42914","810"
"147","33380","823"
"148","33380","824"
"149","857","916"
"150","65636","918"
"151","65636","919"
"152","65630","970"
"153","65630","969"
"154","65637","970"
"155","65637","969"
"156","65638","970"
"157","65638","969"
"158","71850","972"
"159","69686","799"
"160","61353","979"
