Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2_0,Unknown2_1,Unknown3_0,Unknown3_1,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14_0,Unknown14_1,Unknown14_2
"2","68670","0","0","0","0","0","0","1","1","512","0","0","0","0","0","0","8588","1273083","1307051","0"
"3","68670","0","0","0","0","0","0","1","0","512","0","0","0","0","0","0","8587","1272948","1270152","0"
"4","68670","0","0","0","0","0","0","1","1","8","0","0","0","0","0","0","8476","1273132","1307051","0"
"5","68670","0","0","0","0","0","0","1","0","8","0","0","0","0","0","0","8477","1272948","1270153","0"
"6","68670","0","0","0","0","0","0","2","1","512","0","0","129","0","0","0","0","1270191","0","0"
"7","68670","0","0","0","0","0","0","2","1","512","0","0","24","0","0","0","0","1273080","0","0"
"8","68670","0","0","0","0","0","0","2","1","512","0","0","580","0","0","0","0","1273081","0","0"
"9","68670","0","0","0","0","0","0","2","1","512","0","0","34","0","0","0","0","1273082","0","0"
"10","68670","0","0","0","0","0","0","2","1","512","0","0","256","0","0","0","0","1273083","0","0"
"11","68670","0","0","0","0","0","0","2","0","512","0","0","641","0","0","0","0","0","1270148","0"
"12","68670","0","0","0","0","0","0","2","0","512","0","0","24","0","0","0","0","0","1270149","0"
"13","68670","0","0","0","0","0","0","2","0","512","0","0","68","0","0","0","0","0","1270150","0"
"14","68670","0","0","0","0","0","0","2","0","512","0","0","34","0","0","0","0","0","1270151","0"
"15","68670","0","0","0","0","0","0","2","0","512","0","0","256","0","0","0","0","0","1270152","0"
"16","68670","0","0","0","0","0","0","2","1","8","0","0","8192","0","0","0","0","1273127","0","0"
"17","68670","0","0","0","0","0","0","2","1","8","0","0","15","0","0","0","0","1273128","0","0"
"18","68670","0","0","0","0","0","0","2","1","8","0","0","96","0","0","0","0","1273129","0","0"
"19","68670","0","0","0","0","0","0","2","1","8","0","0","128","0","0","0","0","1273130","0","0"
"20","68670","0","0","0","0","0","0","2","1","8","0","0","16","0","0","0","0","1273131","0","0"
"21","68670","0","0","0","0","0","0","2","0","8","0","0","16384","0","0","0","0","0","1270153","0"
"22","68670","0","0","0","0","0","0","2","0","8","0","0","15","0","0","0","0","0","1270154","0"
"23","68670","0","0","0","0","0","0","2","0","8","0","0","96","0","0","0","0","0","1270155","0"
"24","68670","0","0","0","0","0","0","2","0","8","0","0","128","0","0","0","0","0","1270156","0"
"25","68670","0","0","0","0","0","0","2","0","8","0","0","16","0","0","0","0","0","1270157","0"
"26","68670","68174084","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1307051","0"
"27","68670","2181570690","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273085","0"
"28","68670","136348168","2","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273086","0"
"29","68670","272696336","4","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273087","0"
"30","68670","545392672","8","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273089","0"
"31","68670","1090785344","16","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1273093","0"
"32","68670","2181570690","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1272948","0","0"
"33","68670","68174084","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1272949","0","0"
"34","68670","136348168","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1272950","0","0"
"35","68670","272696336","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1272951","0","0"
