Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10_0,Unknown10_1,Unknown10_2,Unknown11
"23","116271","116272","3","0","0","1","1","6","3","2","0","0","0","0"
"30","116945","156048","1","0","0","3","3","10","4","6","0","0","0","0"
"32","116946","132169","1","1","0","0","0","0","0","0","0","0","0","0"
"36","0","175561","4","0","0","11","0","0","0","0","0","0","0","0"
"43","116948","132170","1","1","0","2","1","11","3","0","0","0","0","0"
"45","116949","156049","1","0","0","0","8","0","0","2","0","0","0","0"
"46","116950","136893","5","0","0","4","8","0","0","0","0","0","0","0"
"47","116273","116274","3","0","0","6","5","0","6","7","0","0","0","0"
"48","116951","132171","1","1","0","1","1","1","0","0","0","0","0","0"
"49","116275","116276","3","0","0","0","5","0","1","3","0","0","0","0"
"50","116277","116278","3","0","0","0","3","8","1","1","0","0","0","0"
"52","0","175560","4","0","0","5","1","3","3","2","0","0","0","0"
"53","116333","116334","3","1","0","2","1","3","3","0","0","0","0","0"
"54","116953","156050","1","0","0","4","10","3","9","2","0","0","0","0"
"56","116954","132172","1","1","0","3","2","14","0","0","0","0","0","0"
"57","116955","156051","1","0","0","2","10","6","1","4","0","0","0","0"
"58","116956","156052","1","0","0","1","2","1","4","1","0","0","0","0"
"59","116957","156053","1","0","0","0","9","8","9","8","0","0","0","0"
"60","116958","156054","1","0","0","2","0","1","3","6","0","0","0","0"
"61","116959","156055","1","0","0","0","9","8","7","8","0","0","0","0"
"62","116960","156056","1","0","0","9","0","0","2","5","0","0","0","0"
"63","116961","156057","1","0","0","3","11","5","4","3","0","0","0","0"
"64","116962","156058","1","0","0","0","10","11","9","3","0","0","0","0"
"65","116963","132173","1","1","0","1","3","17","2","0","0","0","0","0"
"66","116964","132174","1","1","0","1","1","2","5","0","0","0","0","0"
"67","116965","132175","1","1","0","2","10","7","0","0","0","0","0","0"
"68","116966","156059","1","0","0","2","1","1","2","0","0","0","0","0"
"69","116967","156060","1","0","0","3","2","2","1","6","0","0","0","0"
"70","116968","132176","1","1","0","3","9","11","4","0","0","0","0","0"
"71","116969","116970","2","0","0","6","4","5","5","3","0","0","0","0"
"73","112792","112793","2","1","0","1","5","2","0","6","0","0","0","0"
"74","116971","116972","2","0","0","3","8","4","1","1","0","0","0","0"
"75","116973","116974","2","0","0","1","0","3","3","0","0","0","0","0"
"77","116975","116976","2","0","0","3","7","2","5","9","0","0","0","0"
"78","116977","116978","2","0","0","7","0","2","3","1","0","0","0","0"
"79","116979","116980","2","0","0","2","3","1","0","4","0","0","0","0"
"81","112810","112811","2","1","0","0","7","1","2","3","0","0","0","0"
"83","116981","116982","2","0","0","3","0","4","6","4","0","0","0","0"
"84","116983","135963","6","1","0","5","3","5","1","3","0","0","0","0"
"85","116984","116985","2","0","0","6","6","5","2","6","0","0","0","0"
"86","116986","116987","2","0","0","3","2","3","1","2","0","0","0","0"
"87","116988","116989","2","0","0","3","7","5","5","9","0","0","0","0"
"90","112808","112809","2","1","0","5","3","7","5","5","0","0","0","0"
"91","116990","116991","2","0","0","4","0","2","0","1","0","0","0","0"
"92","116992","116993","2","0","0","3","8","4","0","3","0","0","0","0"
"93","116994","116995","2","0","0","6","5","0","0","4","0","0","0","0"
"94","116996","116997","2","0","0","7","4","2","5","2","0","0","0","0"
"95","116998","116999","2","0","0","4","0","3","1","3","0","0","0","0"
"96","117000","117001","2","0","0","5","1","0","6","2","0","0","0","0"
"97","112806","112807","2","1","0","5","8","0","0","1","0","0","0","0"
"98","117002","117003","2","0","0","7","3","2","2","1","0","0","0","0"
"99","117004","117005","2","0","0","3","7","4","5","2","0","0","0","0"
"100","112804","112805","2","1","0","2","2","4","4","4","0","0","0","0"
"101","117006","117007","2","0","0","0","1","1","1","1","0","0","0","0"
"102","112802","112803","2","1","0","0","5","1","0","6","0","0","0","0"
"103","117008","117009","2","0","0","2","8","3","3","6","0","0","0","0"
"105","117010","117011","2","0","0","0","1","5","7","4","0","0","0","0"
"106","117012","117013","2","0","0","2","6","2","2","3","0","0","0","0"
"107","117014","117015","2","0","0","5","8","4","6","2","0","0","0","0"
"108","117016","117017","2","0","0","8","1","3","0","0","0","0","0","0"
"110","117018","117019","2","0","0","0","3","4","1","4","0","0","0","0"
"111","117020","117021","2","0","0","4","8","1","0","5","0","0","0","0"
"112","117022","117023","2","0","0","2","1","3","1","6","0","0","0","0"
"113","117024","117025","2","0","0","3","5","1","0","3","0","0","0","0"
"114","117026","117027","2","0","0","0","2","2","1","3","0","0","0","0"
"115","112800","112801","2","1","0","2","4","5","2","5","0","0","0","0"
"116","117028","117029","2","0","0","3","4","4","6","4","0","0","0","0"
"117","112798","112799","2","1","0","4","0","1","1","4","0","0","0","0"
"118","112796","112797","2","1","0","0","3","4","7","0","0","0","0","0"
"119","117030","117031","2","0","0","0","7","2","1","1","0","0","0","0"
"120","117032","117033","2","0","0","5","8","4","1","5","0","0","0","0"
"121","117034","117035","2","0","0","3","2","3","1","1","0","0","0","0"
"122","117036","117037","2","0","0","0","8","2","0","1","0","0","0","0"
"124","117038","117039","2","0","0","1","4","4","5","3","0","0","0","0"
"126","112794","112795","2","1","0","5","4","7","5","4","0","0","0","0"
"127","117040","117041","2","0","0","5","7","5","1","1","0","0","0","0"
"128","117042","117043","2","0","0","4","5","1","0","2","0","0","0","0"
"129","117044","117045","2","0","0","0","1","2","0","0","0","0","0","0"
"131","117046","117047","2","0","0","6","4","3","3","3","0","0","0","0"
"132","117048","117049","2","0","0","3","2","5","6","4","0","0","0","0"
"133","116279","116280","3","0","0","1","2","1","0","1","0","0","0","0"
"134","117050","117051","2","0","0","3","4","5","1","3","0","0","0","0"
"135","116281","116282","3","0","0","1","2","5","7","7","0","0","0","0"
"136","117052","156061","1","0","0","0","0","1","0","8","0","0","0","0"
"137","117053","156062","1","0","0","2","7","1","5","3","0","0","0","0"
"138","117054","132177","1","1","0","1","5","3","2","0","0","0","0","0"
"139","116283","116284","3","0","0","1","1","3","4","6","0","0","0","0"
"140","116285","116286","3","0","0","0","7","0","5","8","0","0","0","0"
"141","117055","156063","1","0","0","3","2","5","7","2","0","0","0","0"
"142","117056","136894","5","0","0","1","9","0","1","0","0","0","0","0"
"143","116287","116288","3","0","0","1","0","0","3","9","0","0","0","0"
"144","116289","116290","3","0","0","2","9","1","4","4","0","0","0","0"
"145","116291","116292","3","0","0","8","1","0","5","0","0","0","0","0"
"146","116293","116294","3","0","0","6","7","3","1","9","0","0","0","0"
"147","117057","156064","1","0","0","4","2","7","7","3","0","0","0","0"
"148","116295","116296","3","0","0","3","2","0","1","0","0","0","0","0"
"149","116335","116336","3","1","0","1","6","10","8","0","0","0","0","0"
"150","116297","116298","3","0","0","2","4","6","5","8","0","0","0","0"
"151","117058","156065","1","0","0","3","1","10","3","5","0","0","0","0"
"152","116337","116338","3","1","0","1","0","1","1","0","0","0","0","0"
"153","116299","116300","3","0","0","6","8","7","4","6","0","0","0","0"
"154","116339","116340","3","1","0","2","1","4","1","0","0","0","0","0"
"155","117059","156066","1","0","0","7","8","8","4","1","0","0","0","0"
"156","116301","116302","3","0","0","2","3","1","1","4","0","0","0","0"
"157","116303","116304","3","0","0","1","7","7","7","3","0","0","0","0"
"158","116305","116306","3","0","0","0","0","5","2","1","0","0","0","0"
"159","116307","116308","3","0","0","2","2","1","1","10","0","0","0","0"
"160","116309","116310","3","0","0","1","8","1","7","4","0","0","0","0"
"161","116311","116312","3","0","0","1","6","9","3","10","0","0","0","0"
"162","117060","117061","2","0","0","6","6","1","3","4","0","0","0","0"
"163","117062","132178","1","1","0","4","4","8","6","0","0","0","0","0"
"165","117063","156067","1","0","0","1","9","3","1","2","0","0","0","0"
"166","117064","132179","1","1","0","3","0","2","3","1","0","0","0","0"
"167","117065","156068","1","0","0","4","4","10","7","4","0","0","0","0"
"168","117066","156069","1","0","0","3","4","4","0","0","0","0","0","0"
"169","117067","132180","1","1","0","0","2","4","5","1","0","0","0","0"
"170","117068","156070","1","0","0","3","10","8","9","4","0","0","0","0"
"171","117069","156071","1","0","0","7","9","3","0","5","0","0","0","0"
"172","117070","132181","1","1","0","7","12","6","0","0","0","0","0","0"
"173","117071","132182","1","1","0","2","0","3","5","1","0","0","0","0"
"174","117072","156072","1","0","0","2","8","8","8","4","0","0","0","0"
"175","117073","132183","1","1","0","2","4","4","2","1","0","0","0","0"
"176","117074","156073","1","0","0","4","9","2","9","7","0","0","0","0"
"177","117075","156074","1","0","0","5","7","1","1","0","0","0","0","0"
"178","117076","132184","1","1","0","4","10","7","1","3","0","0","0","0"
"179","117077","156075","1","0","0","0","3","5","4","2","0","0","0","0"
"180","117078","132185","1","1","0","2","8","5","3","0","0","0","0","0"
"181","117079","132186","1","1","0","2","11","16","1","2","0","0","0","0"
"182","117080","156076","1","0","0","0","7","1","2","8","0","0","0","0"
"183","117081","132187","1","1","0","3","8","9","4","5","0","0","0","0"
"184","117082","156077","1","0","0","2","0","0","1","2","0","0","0","0"
"185","117083","156078","1","0","0","1","2","7","0","1","0","0","0","0"
"186","117084","156079","1","0","0","3","8","1","2","4","0","0","0","0"
"187","117085","132188","1","1","0","3","5","7","2","3","0","0","0","0"
"188","117086","156080","1","0","0","1","4","1","5","7","0","0","0","0"
"189","117087","132189","1","1","0","2","1","10","5","0","0","0","0","0"
"190","117088","132190","1","1","0","1","9","11","0","4","0","0","0","0"
"191","117089","156081","1","0","0","3","0","5","0","1","0","0","0","0"
"192","117090","156082","1","0","0","0","3","10","0","1","0","0","0","0"
"193","117091","132191","1","1","0","0","14","2","0","0","0","0","0","0"
"194","117092","132192","1","1","0","2","2","4","3","1","0","0","0","0"
"195","117093","156083","1","0","0","1","9","8","7","4","0","0","0","0"
"196","117094","156084","1","0","0","7","3","3","8","5","0","0","0","0"
"197","117095","156085","1","0","0","3","5","6","1","5","0","0","0","0"
