Id,Unknown0,Unknown1,Unknown2,Unknown3
"1","63958","62410","0","49106"
"2","62410","62417","0","49200"
"3","62417","64659","0","49200"
"4","55","68670","0.6","52387"
"5","15476","68670","0.6","52387"
"6","56","68670","0.6","52387"
"7","15475","68670","0.6","52387"
"8","68670","55","0","53069"
"9","68670","15476","0","53069"
"10","68670","56","0","53069"
"11","68670","15475","0","53069"
"12","15476","68671","0.9","54798"
"13","15475","68671","0.9","54798"
"14","55","68671","0.9","54798"
"15","56","68671","0.9","54798"
"16","68671","55","0","54799"
"17","68671","56","0","54799"
"18","68671","15476","0","54799"
"19","68671","15475","0","54799"
"20","67087","69295","1","56659"
"21","67087","69296","1","57040"
"22","69296","69295","1","56659"
"23","69296","67087","1","57039"
"24","69295","67087","1","57039"
"25","69295","69296","1","57040"
"27","69474","70237","3","60912"
"28","70237","69474","3","60918"
"29","70237","72878","1.5","61906"
"30","69474","72878","1.5","61907"
"31","72878","69474","1.5","61913"
"32","68567","68566","1.25","62005"
"33","68566","68565","1.25","62007"
"34","68565","68567","1.25","62008"
