Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4_0,Unknown4_1,Unknown5,Unknown6,Unknown7,Unknown8
"1","0.7","1","Wolf","Interface\Icons\Ability_Hunter_Pet_Wolf","208","270","1","1","60","0"
"2","0.7","1.1","Cat","Interface\Icons\Ability_Hunter_Pet_Cat","209","270","3","1","60","0"
"3","0.4","0.6","Spider","Interface\Icons\Ability_Hunter_Pet_Spider","203","270","1","1","60","2"
"4","0.6","1","Bear","Interface\Icons\Ability_Hunter_Pet_Bear","210","270","63","1","60","1"
"5","0.6","1","Boar","Interface\Icons\Ability_Hunter_Pet_Boar","211","270","63","1","60","1"
"6","0.4","0.6","Crocolisk","Interface\Icons\Ability_Hunter_Pet_Crocolisk","212","270","3","1","60","1"
"7","0.5","0.9","Carrion Bird","Interface\Icons\Ability_Hunter_Pet_Vulture","213","270","3","1","60","0"
"8","0.7","1.4","Crab","Interface\Icons\Ability_Hunter_Pet_Crab","214","270","58","1","60","1"
"9","0.7","1","Gorilla","Interface\Icons\Ability_Hunter_Pet_Gorilla","215","270","56","1","60","1"
"11","0.5","0.8","Raptor","Interface\Icons\Ability_Hunter_Pet_Raptor","217","270","1","1","60","0"
"12","0.5","0.8","Tallstrider","Interface\Icons\Ability_Hunter_Pet_TallStrider","218","270","60","1","60","0"
"15","0.35","0.7","Felhunter","","189","0","0","1","60","-1"
"16","0.5","0.8","Voidwalker","","204","0","0","1","60","-1"
"17","0.5","1","Succubus","","205","0","0","1","60","-1"
"19","0.64","1","Doomguard","","207","0","0","1","60","-1"
"20","0.7","1","Scorpid","Interface\Icons\Ability_Hunter_Pet_Scorpid","236","270","1","1","60","1"
"21","0.5","0.72","Turtle","Interface\Icons\Ability_Hunter_Pet_Turtle","251","270","58","1","60","1"
"23","0.45","0.5","Imp","","188","0","0","1","60","-1"
"24","0.4","0.63","Bat","Interface\Icons\Ability_Hunter_Pet_Bat","653","270","49","1","60","2"
"25","0.7","0.9","Hyena","Interface\Icons\Ability_Hunter_Pet_Hyena","654","270","1","1","60","0"
"26","0.5","0.8","Bird of Prey","Interface\Icons\Ability_Hunter_Pet_Owl","655","270","3","1","60","2"
"27","0.5","0.7","Wind Serpent","Interface\Icons\Ability_Hunter_Pet_WindSerpent","656","270","14","1","60","2"
"28","0.9","1","Remote Control","","758","0","0","1","60","-1"
"29","0.45","0.9","Felguard","","761","0","0","1","60","-1"
"30","0.35","0.65","Dragonhawk","Interface\Icons\Ability_Hunter_Pet_DragonHawk","763","270","35","1","60","2"
"31","0.45","0.65","Ravager","Interface\Icons\Ability_Hunter_Pet_Ravager","767","270","1","1","60","2"
"32","0.45","0.6","Warp Stalker","Interface\Icons\Ability_Hunter_Pet_WarpStalker","766","270","34","1","60","1"
"33","0.6","0.9","Sporebat","Interface\Icons\Ability_Hunter_Pet_Sporebat","765","270","60","1","60","2"
"34","0.35","0.55","Nether Ray","Interface\Icons\Ability_Hunter_Pet_NetherRay","764","270","17","1","60","2"
"35","0.6","0.8","Serpent","Interface\Icons\Spell_Nature_GuardianWard","768","270","1","1","60","2"
"37","0.35","0.65","Moth","Interface\Icons\Ability_Hunter_Pet_Moth","775","270","60","1","60","0"
"38","0.5","0.63","Chimaera","Interface\Icons\Ability_Hunter_Pet_Chimera","780","270","1","1","60","2"
"39","0.3","0.5","Devilsaur","Interface\Icons\Ability_Hunter_Pet_Devilsaur","781","270","1","1","60","0"
"40","1","1.01","Ghoul","Interface\Icons\Ability_Creature_Cursed_05","782","0","0","1","80","-1"
"41","0.6","0.8","Silithid","Interface\Icons\Ability_Hunter_Pet_Silithid","783","270","17","1","60","2"
"42","0.7","1","Worm","Interface\Icons\Ability_Hunter_Pet_Worm","784","270","28","1","60","1"
"43","0.35","0.56","Clefthoof","Interface\Icons\inv_clefthoofdraenormount_blue","786","270","60","1","60","1"
"44","0.4","0.6","Wasp","Interface\Icons\Ability_Hunter_Pet_Wasp","785","270","60","1","60","0"
"45","0.3","0.5","Core Hound","Interface\Icons\Ability_Hunter_Pet_CoreHound","787","270","1","1","60","0"
"46","0.7","1.1","Spirit Beast","Interface\Icons\Ability_Druid_PrimalPrecision","788","270","3","1","60","0"
"49","0.8","0.81","Water Elemental","","805","0","0","1","60","-1"
"50","0.6","0.9","Fox","Interface\Icons\ability_hunter_aspectofthefox","808","270","35","1","60","0"
"51","0.3","0.5","Monkey","Interface\Icons\inv_pet_monkey","815","270","48","1","60","2"
"52","0.6","0.8","Dog","Interface\Icons\inv_pet_mastiff","811","270","63","1","60","0"
