Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"2","0","0","Most gold ever owned","0","0","4","0"
"3","4224","0","Most gold ever owned:","2","8","0","1"
"5","0","0","Mounts owned","0","0","4","0"
"6","4787","0","Number of mounts","5","0","0","1"
"8","0","0","Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.","0","0","4","0"
"9","5776","1","Dwarf","8","0","0","3"
"10","5772","1","Gnome","8","0","0","4"
"11","5774","1","Blood Elf","8","0","0","1"
"12","5775","1","Draenei","8","0","0","2"
"13","5777","1","Human","8","0","0","6"
"14","5778","1","Night Elf","8","0","0","7"
"15","5779","1","Orc","8","0","0","8"
"16","5780","1","Tauren","8","0","0","9"
"17","5781","1","Troll","8","0","0","10"
"18","5782","1","Undead","8","0","0","11"
"19","17854","1","Worgen","8","0","0","12"
"20","17855","1","Goblin","8","0","0","5"
"22","0","0","Duels lost","0","0","4","0"
"23","3630","0","Duels lost","22","0","0","1"
"25","0","0","Total deaths to Lich King 25-player raid bosses","0","0","5","0"
"26","11019","0","XT-002 Deconstructor","25","0","0","25"
"27","11027","0","Freya","25","0","0","33"
"28","11028","0","Mimiron","25","0","0","34"
"29","11029","0","General Vezax","25","0","0","35"
"30","11030","0","Yogg-Saron","25","0","0","36"
"31","11031","0","Algalon the Observer","25","0","0","37"
"32","11032","0","Emalon the Storm Watcher","25","0","0","38"
"33","11016","0","Flame Leviathan","25","0","0","22"
"34","11017","0","Razorscale","25","0","0","23"
"35","11018","0","Ignis the Furnace Master","25","0","0","24"
"36","11024","0","Auriaya","25","0","0","30"
"37","11025","0","Hodir","25","0","0","31"
"38","11020","0","Steelbreaker","25","0","0","26"
"39","11022","0","Stormcaller Brundir","25","0","0","28"
"40","11023","0","Kologarn","25","0","0","29"
"41","7839","0","Thaddius","25","0","0","13"
"42","7845","0","Thane Korth'azz","25","0","0","7"
"43","7838","0","Patchwerk","25","0","0","14"
"44","7840","0","Sapphiron","25","0","0","12"
"45","7841","0","Kel'Thuzad","25","0","0","11"
"46","7842","0","Lady Blaymeux","25","0","0","10"
"47","7843","0","Baron Rivendare","25","0","0","9"
"48","7837","0","Noth the Plaguebringer","25","0","0","15"
"49","7833","0","Heigan the Unclean","25","0","0","19"
"50","7848","0","Archavon the Stone Watcher","25","0","0","4"
"51","7828","0","Anub'Rekhan","25","0","0","1"
"52","7829","0","Gluth","25","0","0","21"
"53","7830","0","Gothik the Harvester","25","0","0","2"
"54","7831","0","Grand Widow Faerlina","25","0","0","20"
"55","7832","0","Grobbulus","25","0","0","3"
"56","7834","0","Instructor Razuvious","25","0","0","18"
"57","7835","0","Loatheb","25","0","0","17"
"58","7836","0","Maexxna","25","0","0","16"
"59","7846","0","Sartharion","25","0","0","6"
"60","13296","0","Anub'arak","25","0","0","44"
"61","13298","0","Lady Deathwhisper","25","0","0","46"
"62","13291","0","Toravon the Ice Watcher","25","0","0","39"
"63","13304","0","Rotface","25","0","0","52"
"64","13292","0","Icehowl","25","0","0","40"
"65","7844","0","Sir Zeliek","25","0","0","8"
"66","7847","0","Malygos","25","0","0","5"
"67","13293","0","Lord Jaraxxus","25","0","0","41"
"68","13294","0","Fjola Lightbane","25","0","0","42"
"69","13297","0","Lord Marrowgar","25","0","0","45"
"70","13299","0","Deathbringer Saurfang","25","0","0","47"
"71","13300","0","Blood-Queen Lana'thel","25","0","0","48"
"72","13301","0","Sindragosa","25","0","0","49"
"73","13302","0","The Lich King","25","0","0","50"
"74","13303","0","Festergut","25","0","0","51"
"75","13305","0","Professor Putricide","25","0","0","53"
"76","13295","0","Eydis Darkbane","25","0","0","43"
"77","11021","0","Runemaster Molgeim","25","0","0","27"
"78","11026","0","Thorim","25","0","0","32"
"80","0","0","Earned the title, ""Grand Marshal"".","0","0","4","0"
"81","707","0","Grand Marshal","80","2","0","1"
"83","0","0","Earned the title, ""Lieutenant Commander"".","0","0","4","0"
"84","711","0","Lieutenant Commander","83","2","0","1"
"86","0","0","Earned the title, ""Knight"".","0","0","4","0"
"87","721","0","Knight","86","2","0","1"
"89","0","0","Vault of Mysteries (Mogu'shan Vaults Second Half)","0","0","4","0"
"90","19113","1","Four Kings","89","16","0","0"
"91","19767","1","Elegon","89","16","0","1"
"92","19115","1","Will of the Emperor","89","16","0","2"
"97","0","0","Shoot off 10 Festival Firecrackers in 30 seconds or less.","0","0","4","0"
"98","5755","10","Shoot off 10 Festival Firecrackers in 30 seconds or less","97","1","0","1"
"103","0","0","Honor the flames of Kalimdor.","0","0","4","0"
"104","3076","1","Ashenvale","103","0","0","0"
"105","3078","1","Bloodmyst Isle","103","0","0","2"
"106","3080","1","Desolace","103","0","0","4"
"107","3082","1","Feralas","103","0","0","6"
"108","3085","1","Teldrassil","103","0","0","11"
"109","3084","1","Tanaris","103","0","0","10"
"110","3081","1","Dustwallow Marsh","103","0","0","5"
"111","3077","1","Azuremyst Isle","103","0","0","1"
"112","3083","1","Silithus","103","0","0","7"
"113","3087","1","Winterspring","103","0","0","13"
"114","3079","1","Darkshore","103","0","0","3"
"115","17016","1","Southern Barrens","103","0","0","8"
"117","0","0","Win 10 Arathi Basin matches while controlling all 5 flags.","0","0","4","0"
"118","1234","10","Win 10 Arathi Basin matches while controlling all 5 flags","117","1","0","1"
"120","0","0","Defeat Cyanigosa in The Violet Hold on Heroic Difficulty.","0","0","4","0"
"121","5613","1","Cyanigosa","120","2","0","1"
"123","0","1","Obtain a Grand Ice Mammoth.","0","0","8","0"
"124","7399","0","Grand Ice Mammoth","123","2","0","3"
"125","7400","0","Grand Ice Mammoth","123","2","0","4"
"126","7397","1","Grand Ice Mammoth","123","2","0","1"
"127","7398","1","Grand Ice Mammoth","123","2","0","2"
"129","0","0","Win Arathi Basin by 50 points or less.","0","0","4","0"
"130","1235","1","Win Arathi Basin by 50 points or less.","129","2","0","0"
"132","0","1","Proud owner of the 2007 Vintage Yellow Brewfest Stein.","0","0","8","0"
"133","4073","1","Filled Yellow Brewfest Stein","132","2","0","2"
"134","4075","1","Filled Yellow Brewfest Stein","132","2","0","4"
"135","4077","1","Filled Yellow Brewfest Stein","132","2","0","6"
"136","4076","1","Filled Yellow Brewfest Stein","132","2","0","5"
"137","4072","1","Yellow Brewfest Stein","132","2","0","1"
"138","4074","1","Filled Yellow Brewfest Stein","132","2","0","3"
"140","0","0","Deaths in Warsong Gulch","0","0","4","0"
"141","107","0","Deaths in Warsong Gulch","140","0","0","1"
"143","0","0","Deaths from Drek'Thar","0","0","4","0"
"144","456","0","Killed by Drek'Thar","143","0","0","1"
"146","0","0","Items disenchanted","0","0","4","0"
"147","4991","0","Disenchanted items","146","0","0","1"
"149","0","0","Obtain 225 skill points in first aid.","0","0","4","0"
"150","5592","225","Obtain 225 skill points in first aid.","149","2","0","1"
"152","0","1","Defeat Kil'jaeden in Sunwell Plateau.","0","0","8","0"
"153","3261","1","Kil'jaeden","152","2","0","1"
"154","4648","1","Crown of Dath'Remar","152","2","0","24"
"155","4650","1","Helm of Arcane Purity","152","2","0","26"
"156","4652","1","Mask of the Fury Hunter","152","2","0","28"
"157","4597","1","Apolyon, the Soul-Render","152","2","0","2"
"158","4599","1","Cloak of Unforgivable Sin","152","2","0","4"
"159","4600","1","Coif of Alleria","152","2","0","5"
"160","4602","1","Cowl of Gul'dan","152","2","0","7"
"161","4604","1","Crown of Anasterian","152","2","0","9"
"162","4605","1","Crux of the Apocalypse","152","2","0","10"
"163","4609","1","Hammer of Sanctification","152","2","0","14"
"164","4612","1","Handguards of the Dawn","152","2","0","17"
"165","4613","1","Helm of Burning Righteousness","152","2","0","18"
"166","4614","1","Sunflare","152","2","0","19"
