Id,Unknown0,Unknown1_0,Unknown1_1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
"1","Currency Token Test Token 4","INV_Misc_Coin_09","","0","0","71682","Text that describes this item can be found here.","1","0","1","1"
"2","Currency Token Test Token 2","ability_cheapshot","","0","0","12297","","1","2","1","1"
"4","Currency Token Test Token 5","INV_Misc_Coin_07","","0","0","1","","1","3","1","4"
"22","Birmingham Test Item 3","INV-Sword_53","","0","0","0","","41","0","1","0"
"42","Badge of Justice","Spell_Holy_ChampionsBond","","0","0","0","","1","0","1","0"
"61","Dalaran Jewelcrafter's Token","INV_Misc_Gem_Variety_01","","0","0","0","Tiffany Cartier's shop in Dalaran will gladly accept these tokens for unique jewelcrafting recipes.","21","0","1","0"
"81","Epicurean's Award","INV_Misc_Ribbon_01","","0","0","0","Visit special cooking vendors in Dalaran and the capital cities to to purchase unusual cooking recipes, spices, and even a fine hat!","1","0","1","0"
"101","Emblem of Heroism","Spell_Holy_ProclaimChampion","","0","0","0","","22","0","1","0"
"102","Emblem of Valor","Spell_Holy_ProclaimChampion_02","","0","0","0","","22","0","1","0"
"103","Arena Points","Spell_Holy_ChampionsBond","","0","0","0","","2","0","1","0"
"104","Honor Points DEPRECATED","Spell_Holy_ChampionsBond","","0","0","0","If you can read this, you've found a bug. REPORT IT!","2","0","1","0"
"121","Alterac Valley Mark of Honor","INV_Jewelry_Necklace_21","","0","0","0","","2","0","1","0"
"122","Arathi Basin Mark of Honor","INV_Jewelry_Amulet_07","","0","0","0","","2","0","1","0"
"123","Eye of the Storm Mark of Honor","Spell_Nature_EyeOfTheStorm","","0","0","0","","2","0","1","0"
"124","Strand of the Ancients Mark of Honor","INV_Jewelry_Amulet_01","","0","0","0","","2","0","1","0"
"125","Warsong Gulch Mark of Honor","INV_Misc_Rune_07","","0","0","0","","2","0","1","0"
"126","Wintergrasp Mark of Honor","INV_Jewelry_Ring_66","","0","0","0","","2","0","1","0"
"161","Stone Keeper's Shard","INV_Misc_Platnumdisks","","0","0","0","","2","0","1","0"
"181","Honor Points DEPRECATED2","INV_Banner_03","","0","0","0","If you can read this, you've found a bug. REPORT IT!","2","0","1","0"
