Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2
"30","0","1","11","0"
"34","0","1","8","0"
"43","0","1","13","0"
"48","0","1","16","0"
"106","0","1","25","0"
"107","0","1","26","0"
"108","0","1","27","0"
"109","0","1","28","0"
"110","0","1","29","0"
"111","1","1","30","0"
"112","0","1","31","0"
"114","0","1","33","0"
"116","0","1","32","0"
"117","0","1","34","0"
"118","0","1","35","0"
"120","0","0.4652407","22","0"
"134","0","1","38","0"
"136","0","1","18","0"
"139","0","1","15","0"
"140","0","1","36","0"
"144","0","1","39","0"
"146","0","1","40","0"
"147","0","1","41","0"
"148","0","1","42","0"
"242","0","1","48","0"
"300","0","1","50","0"
"310","0","1","52","0"
"311","0","1","54","0"
"317","0","1","55","0"
"321","0","1","53","0"
"323","0","1","57","0"
"324","0","1","14","0"
"325","0","1","58","0"
"327","0","1","60","0"
"335","0","1","62","0"
"336","0","1","61","0"
"337","0","1","59","0"
"338","0","1","17","0"
"340","0","1","23","0"
"341","0","1","56","0"
"363","0","1","65","0"
"379","0","1","68","0"
"380","0","1","67","0"
"381","0","1","69","0"
"382","0","1","64","0"
"393","0","1","71","0"
"401","0","1","73","0"
"406","0","1","76","0"
"407","0","1","75","0"
"414","0","1","77","0"
"439","0","1","51","0"
"441","0","1","79","0"
"446","0","1","66","0"
"447","0","1","85","0"
"448","0","0","86","0"
"461","0","1","89","0"
"480","0","1","12","0"
"481","0","1","9","0"
"486","0","1","90","0"
"497","0","1","91","0"
"500","1","0.9893048","86","1"
"512","0","1","92","0"
"513","0","1","93","0"
"514","0","1","94","0"
"515","0","1","95","0"
"519","0","1","99","0"
"527","0","0","104","0"
"528","0","1","105","0"
"529","0","0","106","0"
"530","1","1","106","1"
"531","0","1","107","0"
"539","0","1","112","0"
"540","0","1","113","0"
"560","0","1","130","0"
"589","0","1","159","0"
"590","0","1","160","0"
"591","0","1","161","0"
"612","0","1","166","0"
"613","0","1","167","0"
"614","0","1","168","0"
"618","0","1","172","0"
"619","0","1","173","0"
"620","0","1","174","0"
"621","0","1","175","0"
"622","0","1","176","0"
"623","0","1","177","0"
"627","0","1","181","0"
"628","0","1","182","0"
"629","0","1","183","0"
"630","0","1","184","0"
"699","0","1","217","0"
"738","0","1","233","0"
"826","0","1","266","0"
"827","0","1","267","0"
"844","0","1","276","0"
"845","0","1","277","0"
"846","0","1","278","0"
"847","0","1","279","0"
"848","0","1","280","0"
"900","0","1","299","0"
