Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13
"1","166363","0.6","1","0.5","6","1","1","0.5","0.5","0","0","0","0","9"
"2","165818","0.6","1","0.5","6","1","1","0.5","0.5","0","0","0","0","9"
"7","980743","0.6","1","0.5","20","1","1","0.5","0.5","0","0","0","0","9"
"8","980743","0.8","1.2","0.5","2","4","1","0.5","0.5","0","0","1","2","9"
"9","0","5","7","30","1","3","1","0.5","2","25","0","39","40","1"
"10","0","2","1","-1","3","4","1","0.5","0.5","75","0","4","3","0"
"11","0","2","0.25","0.3","4","1.5","1","1","1","75","0","33","34","0"
"13","0","2","2","-2","4","4","1","0.5","0.5","75","0","29","30","0"
"14","0","3","3","-3","5","4","1","0.2","0.5","75","0","12","11","0"
"16","0","1","1.3","1","10","1","1","0.5","0.5","0","0","4","3","8"
"17","0","1.24","1","1","1","4","1","0.25","1","75","0","33","34","0"
"18","0","0.5","1.5","0.5","4","4","1","0.5","0.5","0","0","13","14","8"
"19","0","0.5","1.5","0.5","4","4","1","0.5","0.5","0","0","15","16","8"
"20","0","0.5","1.5","0.5","4","4","1","0.5","0.5","0","0","33","34","8"
"21","0","0.5","1.5","0.5","4","4","1","0.5","0.5","0","0","4","3","9"
"22","0","0.5","1.3","0.5","1","4","1","0.5","2","75","0","17","18","0"
"23","0","0.6","1.3","0.4","4","4","1","1","1","0","0","19","20","8"
"24","0","0.5","1.5","0.5","4","4","1","0.5","0.5","75","0","21","25","0"
"25","0","0.5","1.5","0.5","2","4","1","0.5","0.5","75","0","22","26","0"
"26","0","2","2","-2","4","4","1","0.5","0.5","75","0","23","27","0"
"27","0","0.5","1.5","0.5","4","4","1","0.5","0.5","75","0","24","28","0"
"28","0","0.7","1.1","0.6","4","4","1","0.5","0.5","0","0","29","31","9"
"29","0","0.75","1.25","0.5","10","3","1","0.5","0.5","0","0","400","401","9"
"30","0","0.7","1.3","0.5","4","4","1","0.5","0.5","0","0","32","0","9"
"31","0","0.35","1.25","0.25","1.33","4","1","0","0","0","0","35","36","8"
"32","0","0.6","1","0.4","4","4","1","0.5","0.5","75","0","19","26","8"
"33","0","0.5","1.2","0.8","4","4","1","0.3","0.5","0","0","37","38","9"
"34","0","0.7","1.5","1","1","4","0.5","0.2","2","0","0","33","34","10"
"35","0","0.3","1.5","0.5","3","4","1","0.5","0.5","0","0","4","3","8"
"36","0","0.9","1.2","0.3","3","1","1","0.5","0.5","0","0","29","30","8"
"38","0","0.8","1.5","0.3","1","1","1","0.5","0.5","0","0","43","44","0"
"39","0","0.5","0.5","0.2","2","4","1","1","1","0","0","495","496","4"
"42","0","0.2","0.75","0.1","1","4","1","8","8","0","0","460","461","8"
"43","0","0.3","0.65","0.4","1","4","1","2","6","0","0","19","20","8"
"44","0","1","1.05","1","4","1","1","0.5","2","75","0","29","30","8"
"45","0","0.5","1.3","0.5","5","4","1","1","1","75","0","17","18","8"
"46","0","0.4","1.05","0.75","4","4","1","0.5","0.5","75","0","4","3","8"
"47","0","0.9","1.1","0.5","6","4","1","0.5","2","25","0","45","395","9"
"48","0","0.85","1.15","0.75","2","4","1","2","2","75","0","29","30","8"
"49","0","0.5","1.1","0.5","4","4","1","0.5","0.5","75","0","22","26","8"
"50","0","1","1.5","0.5","10","3","1","0.5","0.5","75","0","48","49","8"
"51","0","0.9","1.1","0.5","4","4","0.5","0.3","0.5","0","0","50","0","11"
"53","0","0.1","1.15","0.2","8","4","1","0.8","0.8","0","0","33","34","10"
"54","0","0.1","1.15","0.2","8","4","1","0.5","0.5","0","0","33","34","10"
"56","0","0.5","1.5","0.5","4","4","1","0.5","0.5","25","0","22","26","0"
"57","0","0.6","1.4","0.5","4","4","1","0.5","0.5","25","0","4","3","0"
"58","0","0.5","1.5","0.5","4","4","1","0.5","0.5","25","0","21","25","0"
"59","0","5","1.5","-1","3","4","1","1","1","75","0","17","18","0"
"60","0","0.35","1.3","0.15","5","4","1","0.5","0.5","0","0","35","36","8"
"62","0","0.5","1.5","0.5","4","4","1","0.5","0.5","75","0","404","0","0"
"63","0","1","1","0.33","1.2","4","1","0.5","0.5","0","0","13","14","0"
"64","0","3","10","0","4","4","1","0.5","1.5","75","0","399","0","0"
"65","0","0.5","1.5","0.5","4","4","1","0.5","0.5","25","0","23","27","0"
"66","0","0","0","0","0","1","1","0","0","0","0","0","0","8"
"67","0","0.5","1.5","0.5","4","4","1","0.5","0.5","75","0","409","410","8"
"68","0","0.5","1.5","0.5","1","4","1","0.5","0.5","75","0","411","412","8"
"70","0","1","2","0.5","4","4","1","1","5","50","0","29","30","2"
"71","0","0.6","1.05","0.4","1","4","1","2","2","25","0","19","20","10"
"72","0","0.5","1.05","0.5","4","4","1","1","1","0","0","13","14","8"
"73","0","1","5","30","1","3","1","0.5","2","25","0","39","40","1"
"74","0","5","7","30","1","3","1","0.5","2","25","0","39","40","0"
"80","0","6","2","30","0.5","3","1","0.5","2","25","0","406","407","1"
"81","0","0.5","1.25","0.5","1","4","1","0.5","0.5","75","0","22","26","8"
"82","0","0.5","1.5","-1","4","4","1","0.5","1.5","75","1","402","0","2"
"83","0","1","1","4","1","3","1","0.5","2","25","0","39","40","1"
"84","0","1","1.25","0","2","4","1","0.5","0.5","75","0","22","26","0"
"85","0","0.5","1.1","0.5","4","4","1","1","0.3","0","0","13","14","8"
"86","0","0.5","0.5","0","1.5","4","1","0.5","0.5","75","0","24","28","2"
"87","0","1","0.5","-0.5","2","1","1","0.5","2","75","0","501","469","2"
"88","0","0.75","1.3","0.5","5","3","1","0.5","2","0","0","39","40","15"
"89","0","2","2","-2","2","4","1","0.5","0.5","75","0","29","30","0"
"90","0","2","1","-1","1","4","1","0.5","0.5","75","0","0","3","0"
"91","0","2","2","-0.5","2","4","1","0.5","0.5","75","0","468","469","0"
"93","0","0.5","1.25","0.5","2","4","1","0.5","1","75","0","4","3","8"
"98","0","0.5","1.5","0.5","2","4","1","0.5","0.5","75","0","22","26","2"
"105","0","0.5","1","0.5","1","4","1","0.5","2","75","0","35","18","2"
"108","0","0.5","1.5","0.5","4","4","1","1","1","75","1","484","485","12"
"111","0","0.5","1.5","0.5","1","4","1","1","1","75","1","489","488","8"
"112","0","0.5","1.5","0.5","1","4","1","1","1","75","0","486","487","8"
"115","0","0.5","1.4","0.1","2","4","1","1","1","75","0","0","494","10"
"116","0","0.5","1.4","0.1","2","4","1","1","1","75","0","0","498","10"
"117","0","0.5","1.4","0.1","2","4","1","1","1","75","0","0","496","10"
"120","0","0.35","1.25","0.25","1.33","4","1","0","0","0","0","35","469","0"
"55","0","0.5","1.3","0.5","5","4","1","1","1","75","0","17","18","8"
