Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12,Unknown13,Unknown14,Unknown15,Unknown16,Unknown17,Unknown18,Unknown19,Unknown20,Unknown21
"25","8459","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"26","628","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0"
"27","7541","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0"
"28","7552","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0"
"29","8335","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0"
"30","8523","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0"
"31","7877","7897","7874","0","0","0","0","0","1","0","0","0","1","0","0","0","0","3","0","0","0","4"
"32","7909","7908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"33","7910","7908","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0"
"34","7915","7912","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0"
"35","7915","7912","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","6","0","0","0","0"
"36","7914","7913","0","0","0","0","0","0","1","3","2","0","0","0","0","0","0","7","0","0","0","0"
"37","8165","8166","8167","0","0","0","0","0","1","0","0","0","1","0","0","0","0","8","0","0","0","0"
"38","8165","8166","8167","0","0","0","0","0","1","0","0","0","1","0","0","0","0","9","0","8","0","0"
"39","7900","8169","7898","0","0","0","0","0","2","1","0","0","1","0","0","0","0","10","0","0","0","0"
"40","7909","8186","7908","0","0","0","0","0","1","0","0","0","1","0","0","0","0","11","0","0","0","0"
"41","7906","8198","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","12","0","0","0","0"
"42","7906","8198","7855","0","0","0","0","0","1","0","0","0","1","0","0","0","0","13","0","0","0","0"
"43","7906","8198","7855","0","0","0","0","0","1","0","0","0","1","0","0","0","0","14","0","8","0","0"
"44","8208","8209","8210","0","0","0","0","0","1","2","0","0","1","2","0","0","0","15","0","0","0","0"
"45","8208","8209","8210","0","0","0","0","0","1","2","0","0","1","2","0","0","0","16","0","0","0","0"
"46","8250","8246","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","17","0","0","0","0"
"47","8250","8246","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","18","0","0","1","0"
"48","8251","8249","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","19","0","0","0","0"
"49","8251","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","1","0"
"50","8387","8387","8386","0","0","0","0","0","0","0","0","0","1","0","0","0","0","21","0","8","1","0"
"51","8593","8593","8591","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0"
"52","8593","8593","8591","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","0"
"53","8593","8593","8591","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","6","0","0"
"54","7900","8169","7898","0","0","1","0","0","2","1","0","0","1","0","0","0","0","22","0","0","0","0"
"55","7878","8173","7875","0","0","1","0","0","2","1","0","0","1","0","0","0","0","23","0","0","0","0"
"56","8590","8584","8585","0","0","1","0","0","2","1","0","0","1","0","0","0","0","0","0","4","0","0"
"57","8590","8584","8585","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","6","0","0"
"58","7595","7540","7541","7809","25","3","0","0","1","3","2","0","1","0","0","0","0","0","0","5","0","1"
"59","8996","9003","9003","0","0","0","0","0","1","0","0","0","1","0","0","0","0","22","0","0","0","0"
"60","8997","8997","9000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","0","0","0","0"
"61","9048","8996","9003","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"62","9085","8997","9000","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"63","9059","9060","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8","1","0"
"64","9218","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"65","9256","9257","9258","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","8","0","0"
"67","9276","9257","9258","9258","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","8","1","4"
"70","9152","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"71","9530","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"72","9563","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"73","3015","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"74","9580","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"75","9582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"76","9583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"77","9534","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"79","9774","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80","9773","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"81","7552","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"82","9785","9793","9794","0","1000","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","2"
"84","3015","7541","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","8","0","4"
"85","9881","0","9891","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"86","9563","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"87","9563","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
"88","3015","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","1","0"
