Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10,Unknown11,Unknown12
"1","Normal","0","1","5","5","0","6","0","0","0","0","1","1"
"2","Heroic","1","1","5","5","1","5","0","0","0","0","2","2"
"3","10 Player","0","2","10","10","0","38","5","0","0","0","0","1"
"4","25 Player","0","2","25","25","1","36","6","0","0","0","0","3"
"5","10 Player (Heroic)","3","2","10","10","2","37","3","0","0","0","0","2"
"6","25 Player (Heroic)","4","2","25","25","3","37","4","0","0","0","0","4"
"7","Looking For Raid","4","2","25","25","4","16","0","0","0","0","0","5"
"8","Mythic Keystone","23","1","5","5","-1","1","0","0","0","0","0","5"
"9","40 Player","0","2","40","40","-1","0","0","0","0","0","0","7"
"11","Heroic Scenario","12","5","3","3","-1","1","0","0","0","0","10","2"
"12","Normal Scenario","0","5","5","5","-1","2","0","0","0","0","9","1"
"14","Normal","0","2","10","30","-1","6","0","0","0","0","3","3"
"15","Heroic","14","2","10","30","-1","68","0","0","0","0","5","4"
"16","Mythic","15","2","20","20","-1","133","0","0","0","0","6","5"
"17","Looking For Raid","14","2","10","30","-1","16","0","0","0","0","4","6"
"18","Event","0","2","40","40","-1","16","0","0","0","0","0","4"
"19","Event","0","1","5","5","-1","16","0","0","0","0","0","4"
"20","Event Scenario","0","5","25","25","-1","0","0","0","0","0","0","3"
"23","Mythic","2","1","5","5","-1","133","0","0","0","0","23","3"
"24","Timewalking","0","1","5","5","-1","0","0","0","0","0","22","6"
"25","PvP Scenario","0","5","0","40","-1","16","0","0","0","0","0","4"
