Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
"1","4","0","1","1","1","0","1","-1","0","221","0"
"2","4","1","0","1","1","0","1","19","0","222","0"
"5","10","1","0","0.6","0","0.6","1","-1","0","224","23"
"6","5","0","1","0.65","0.6","0","1","-1","0","225","23"
"7","3","1","0","0.65","0.6","0","0","19","1","226","23"
"11","5","0","1","0.2","1","0.2","1","-1","0","228","23"
"12","6","1","0","0.2","1","0.2","1","19","1","229","23"
"36","20","0","5","2","2","0","1","-1","0","230","9"
"39","10","0","1","3","3","0","1","-1","0","462","23"
"42","1","0","1","2","2","0","1","-1","0","233","10"
"46","1","0","1","0.1","1","0","1","-1","2","234","12"
"47","0","0","1","0.1","0.1","0","1","0","1","235","10"
"48","0","1","0","1","1","0","1","1","1","236","2"
"49","3","0","1","0.2","0.2","0","1","-1","1","238","23"
"53","9","0","1","0.5","0.95","0.55","1","-1","0","239","7"
"55","5","0","1","0.2","1","0.2","1","-1","0","241","23"
"56","6","1","0","0.2","1","0.2","1","19","1","242","23"
"57","1","0","1","3.5","0","7","1","-1","0","243","23"
"60","50","0","1","2","0","4","1","-1","3","244","23"
"61","50","1","0","1","2.5","5","1","-1","3","245","23"
"62","20","0","1","3","0","6","0.4","-1","0","246","23"
"63","2","0","1","3","3","7","1","2","0","247","2"
"64","10","0","1","2","2","0","1","-1","0","248","41"
"65","2","0","1","3","3","7","1","6","0","249","2"
"66","10","0","1","2","2","4","1","18","0","250","23"
"67","10","0","1","0.75","1.25","1","1","-1","0","251","23"
"68","10","0","1","5","0","7","1","-1","0","252","23"
"69","1","1","0","0.3","0.25","0","2","22","1","267","23"
"74","1","0","1","3.5","0","7","1","-1","0","254","23"
"75","4","0","1","0.9","0","0.9","1","-1","0","239","23"
"76","4","1","0","0.9","0","0.9","1","19","0","240","7"
"77","5","0","1","0.2","1","0.2","1","-1","0","257","23"
"78","6","1","0","0.2","1","0.2","1","19","1","258","23"
"79","2","0","1","3","3","7","1","2","0","259","2"
"80","2","0","1","3","3","7","1","2","0","260","2"
"81","8","0","1","2","2","0","1","1","1","415","23"
"83","4","0","1","0.6","0","0.6","1","-1","0","262","23"
"87","10","0","1","1.75","0","5","1","-1","0","264","23"
"89","3","0","1","0.4","0.6","3","1","-1","0","265","23"
"94","1","0","1","1","0","3","1","-1","0","266","23"
"97","10","1","0","1","0","1","1","-1","0","267","23"
"101","3","0","1","1","1","5","1","-1","0","268","23"
"102","6","0","1","1","0","4","3","-1","0","267","23"
"104","1","1","0","1.5","0","5","1","-1","2","270","23"
"105","1","1","0","0.75","0","2","1","-1","0","271","23"
"107","1","0","1","0.5","0.5","2","1","-1","0","273","7"
"108","1","0","1","2","0","5","1","-1","2","274","23"
"112","10","0","1","1.75","0","5","1","-1","0","275","23"
"116","20","0","5","2","2","0","1","-1","1","277","9"
"117","10","0","1","1","0","10","1","-1","3","278","23"
"121","9","0","1","0.4","1","0.7","1","-1","0","279","7"
"122","9","1","0.01","0.5","0.95","0.55","1","19","1","280","23"
"124","10","1","0","0.5","0","2","1","19","0","282","23"
"125","3","0","1","6","4.5","0","1","-1","0","283","8"
"126","1","0","1","3","0","0","1","-1","0","284","8"
"127","20","1","0","1.5","1.5","7","1","19","0","301","23"
"128","3","0","0.3","1","1","1.1","1","-1","0","286","7"
"129","9","1","0","0","1.5","0.01","1","20","0","287","6"
"130","75","0","1","1.5","1","1.5","1","-1","0","288","23"
"131","75","0","1","1.5","1","1.5","1","-1","0","289","23"
"132","75","0","1","1.5","1","1.5","1","-1","0","290","23"
"133","20","0","5","2","2","0","1","-1","0","291","9"
"134","20","0","5","2","2","0","1","-1","0","292","9"
"135","2","1","0","0","1.5","5","1","-1","2","293","23"
"136","10","0","1","4","0","7","1","-1","0","294","23"
"137","10","0","1","1.25","0","2","1","-1","0","267","23"
"138","4","1","0","6","0","9","1","-1","0","296","23"
"140","0.5","0","1","1","1","0","1","-1","0","297","14"
"141","10","0","1","1.75","0","0","1","-1","0","298","23"
"142","9","0","1","0.5","0.5","2","1","-1","0","299","7"
"143","9","0","1","0.4","0.4","1","1","-1","0","300","7"
"146","20","0","5","2","2","0","1","-1","0","301","9"
"147","10","1","0","1","0","1","1","-1","0","302","7"
"149","3","0","1","2","1","2.1","1","-1","0","303","23"
"152","5","0","1","0.65","1","0","1","-1","0","304","7"
"155","3","0","1","2","0","0","1","-1","0","305","22"
"156","10","1","0","2.25","0","2.4","1","-1","0","306","23"
"157","10","1","0","1.75","0","1.9","1","-1","0","307","23"
"158","10","1","0","1.75","0","1.9","1","-1","1","308","23"
"161","20","0","0","2","2","6","1","19","0","309","19"
"162","20","0","0","2","2","6","1","19","2","310","23"
"164","10","1","0","1","0","1","1","-1","0","311","23"
"165","10","1","0","1","0","1","1","-1","0","312","23"
"166","10","0","1","1","0","1","1","-1","0","313","23"
"167","10","0","1","1","0","0","1","-1","0","314","23"
"168","20","0","5","2","2","0","1","-1","1","315","11"
"169","20","0","5","2","2","0","1","-1","2","316","9"
"170","20","0","5","2","2","0","1","-1","1","317","11"
"171","10","0","1","1","0","5","1","-1","0","318","23"
"172","10","0","1","1","0","8","1","-1","0","319","23"
"181","3","0","1","0.75","0","2","1","19","0","321","23"
"182","5","0","1","0.2","1","0.2","1","-1","0","322","23"
"183","6","1","0","0.2","1","0.2","1","19","1","323","23"
"186","10","1","0","1","0","1","1","-1","0","324","7"
"187","0","0","0","0","0","0","1","-1","0","325","0"
"188","20","0","1","0","0","10","1","-1","0","326","0"
"189","2","0","1","1","0","0","1","2","1","327","15"
"195","20","0","5","2","2","0","1","-1","0","328","9"
"196","10","1","0","0.5","0","2","1","19","0","329","23"
"197","10","1","0","0.5","0","2","1","19","0","330","23"
"198","20","0","1","1","0","1","1","-1","2","331","23"
"199","15","1","0","1","0","1","1","19","0","332","7"
"201","15","1","0","1.5","0","1.5","1","-1","0","333","23"
"202","15","1","0","1.5","0","1.5","1","-1","0","334","23"
"203","15","1","0","1.5","0","1.5","1","-1","0","335","23"
"204","20","0","1","1","0","1","1","-1","2","336","23"
"205","15","1","0","1","0","1","1","19","0","337","7"
"206","20","0","1","1","0","1","1","-1","2","338","23"
"207","15","1","0","1","0","1","1","19","0","339","7"
"214","10","0","1","0.5","0.5","0","1","-1","0","342","14"
"216","2","1","0","0","1","0.15","1","19","0","344","22"
"218","10","1","0","0.75","0","0.75","1","-1","0","345","23"
"219","5","0","1","0.2","1","0.2","1","-1","0","346","23"
"221","10","1","0","1","0","1","1","-1","0","348","7"
"222","10","1","0","1","0","1","1","-1","0","349","7"
"224","8","1","0","2","0","2","1","-1","0","351","23"
"225","3","0","1","2","1","3","1","-1","0","352","23"
"226","8","1","0","1","0","1","1","-1","0","353","21"
"227","10","1","0","1","0","1","1","-1","0","354","7"
"228","10","1","0","1","0","1","1","-1","0","355","7"
"229","10","1","0","1","0","1","1","-1","0","356","7"
"235","10","1","0","2","0","2","1","-1","1","357","23"
"237","20","0","5","2","2","0","1","-1","1","358","10"
"238","1","1","0","1","0","1","1","19","2","359","14"
"239","10","0","1","2","0","2","1","-1","1","360","23"
"240","10","0","1","3","0.3","3","1","-1","0","361","8"
"241","2","0","1","3","0.3","5","1","-1","0","362","8"
"242","10","0","1","1","2","0","1","-1","2","363","8"
"243","5","1","0","1.5","0","1.5","1","-1","0","364","19"
"244","20","0.5","0.5","0.25","0.25","20","1","-1","0","365","15"
"245","20","0","1","0.5","0.5","6","1","-1","2","366","23"
"246","20","0.5","0.5","0.25","0.25","20","1","-1","0","367","15"
"247","20","1","1","0.25","0.25","20","1","-1","0","368","15"
"248","20","0","1","0.6","0","6","1","-1","2","369","23"
"249","75","0","1","1.75","0","4","1","-1","0","370","23"
"259","12","1","0","2.5","0","2.5","1","-1","1","371","87"
"261","8","0","1","3.5","2.5","9","1","1","1","414","23"
"262","10","0","1","0.5","0","2","1","-1","0","373","7"
"265","8","0","1","4.5","0","4.5","1","1","1","375","23"
"266","8","1","0","2.5","0","2.5","1","-1","1","376","23"
"267","8","0","1","4.5","0","4.5","1","1","1","377","23"
"268","8","1","0","2.5","0","2.5","1","-1","1","378","23"
"271","8","0","1","4.5","0","4.5","1","2","1","379","23"
"272","8","0","1","4.5","0","4.5","1","1","1","380","23"
"273","8","1","0","2.5","0","2.5","1","1","1","381","23"
"274","8","1","0","2.5","0","2.5","1","2","1","382","23"
"275","10","1","0.15","1","0","0","1","-1","0","383","7"
"276","3","0","1","2","0","0","1","-1","0","384","22"
"278","9","1","0","0.75","0","0.75","1","-1","0","385","7"
"279","10","1","0","1","0","1","1","-1","0","386","7"
"280","20","0.5","0.5","0.25","0.25","0","1","-1","0","387","8"
"281","20","1","1","0.25","0.25","12","1","-1","0","0","15"
"285","10","0","1","1.25","2","0","1","-1","0","408","23"
"287","3","1","0","0.5","0","10","1","-1","0","243","23"
"298","10","0","1","1","0","3","1","-1","0","356","23"
"299","10","0","1","6","0","8","1","-1","0","319","23"
"302","10","1","0","0.72","0.45","0","2","19","1","226","23"
"306","10","0","1","1","0","2","1","-1","0","386","0"
"307","3","1","0","1","1","0","1","-1","1","226","23"
"309","3","1","0","0","0.2","0","1","-1","1","226","23"
"311","0","0","1","4","4","0","1","-1","1","392","10"
"312","15","1","0","1","0","5","0.33","-1","0","356","119"
"313","5","0.75","0","0.2","0","2","1","-1","0","354","23"
"314","10","0.1","1","4","0.2","0","1","-1","0","396","7"
"318","20","0","1","2","0","6","1","-1","0","301","23"
"319","4","1","0","0.6","0","0.6","1","19","1","263","7"
"320","10","0","1","1","1","2","1","-1","0","408","23"
"321","5","0","1","0.2","1","10","1","-1","0","346","23"
"322","6","1","0","0.2","1","10","1","19","1","229","23"
"324","3","0","1","2","0","0","1","-1","0","354","23"
"326","10","0","1","3","3","0","2","19","0","389","7"
"327","12","1","0","2.5","0","2.5","1","-1","1","371","23"
"328","8","0","1","3.5","2.5","9","1","-1","1","414","23"
"331","8","0","1","3.5","2.5","9","1","2","1","414","23"
"339","10","0.4","0.25","0","2","0","1","-1","0","418","23"
"340","10","1","0.15","1","0","0","1","-1","0","418","23"
"341","8","0","1","3.5","2.5","3","1","1","1","418","23"
"342","8","0","1","3.5","2.5","3","1","2","1","418","23"
"343","8","1","0","2.5","0","9","1","-1","1","419","23"
"345","8","0","1","3.5","2.5","9","1","1","1","418","23"
"346","8","0","1","3.5","2.5","9","1","2","1","418","23"
"347","8","0","1","3.5","2.5","9","1","0","1","418","23"
"349","8","0","1","3.5","2.5","9","1","1","1","416","23"
"350","8","0","1","3.5","2.5","9","1","2","1","416","23"
"351","8","0","1","3.5","2.5","9","1","0","1","416","23"
"352","8","1","0","2.5","0","9","1","-1","1","417","23"
"353","8","0","1","3.5","2.5","9","1","1","1","450","23"
"354","8","0","1","3.5","2.5","9","1","2","1","450","23"
"355","8","0","1","3.5","2.5","9","1","0","1","450","23"
"356","8","1","0","2.5","0","9","1","-1","1","449","23"
"357","8","0","1","3.5","2.5","9","1","1","1","421","23"
"358","8","0","1","3.5","2.5","9","1","2","1","421","23"
"359","8","0","1","3.5","2.5","9","1","0","1","421","23"
"360","8","1","0","2.5","0","9","1","-1","1","420","23"
"363","8","0","1","3.5","2.5","9","1","0","1","414","23"
"364","8","1","0","2.5","0","9","1","-1","1","413","23"
"365","8","0","1","3.5","2.5","9","1","1","1","423","23"
"366","8","0","1","3.5","2.5","9","1","2","1","423","23"
"367","8","0","1","3.5","2.5","9","1","0","1","423","23"
"368","8","1","0","2.5","0","9","1","-1","1","422","23"
"369","8","0","1","3.5","2.5","9","1","1","1","425","23"
"370","8","0","1","3.5","2.5","9","1","2","1","425","23"
"371","8","0","1","3.5","2.5","9","1","0","1","425","23"
"372","8","1","0","2.5","0","9","1","-1","1","424","23"
"373","8","0","1","3.5","2.5","9","1","1","1","427","23"
"374","8","0","1","3.5","2.5","9","1","2","1","427","23"
"375","8","0","1","3.5","2.5","9","1","0","1","427","23"
"376","8","1","0","2.5","0","9","1","-1","1","426","23"
"377","8","0","1","3.5","2.5","9","1","1","1","429","23"
"378","8","0","1","3.5","2.5","9","1","2","1","429","23"
"379","8","0","1","3.5","2.5","9","1","0","1","429","23"
"380","8","1","0","2.5","0","9","1","-1","1","428","23"
"381","8","0","1","3.5","2.5","9","1","1","1","431","23"
"382","8","0","1","3.5","2.5","9","1","2","1","431","23"
"383","8","0","1","3.5","2.5","9","1","0","1","431","23"
"384","8","1","0","2.5","0","9","1","-1","1","430","23"
"385","8","0","1","3.5","2.5","9","1","1","1","447","23"
"386","8","0","1","3.5","2.5","9","1","2","1","447","23"
"387","8","0","1","3.5","2.5","9","1","0","1","447","23"
"388","8","1","0","2.5","0","9","1","-1","1","446","23"
"389","8","0","1","3.5","2.5","9","1","1","1","445","23"
"390","8","0","1","3.5","2.5","9","1","2","1","445","23"
"391","8","0","1","3.5","2.5","9","1","0","1","445","23"
"392","8","1","0","2.5","0","9","1","-1","1","444","23"
"393","8","0","1","3.5","2.5","9","1","1","1","443","23"
