Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"1","589842","852750","4318","0","0","64","2"
"2","393230","852750","4318","0","8","0","2"
"3","524303","730895","4318","0","0","0","2"
"4","524304","730895","4318","0","0","0","2"
"5","524305","796431","4318","0","0","0","2"
"6","393230","662284","4098","0","8","0","2"
"7","524302","665359","4098","0","0","0","2"
"8","524303","665359","4098","0","0","0","2"
"9","524305","656488","4098","0","0","0","2"
"10","393230","660753","32902","0","8","0","2"
"11","524303","657981","32902","0","0","0","2"
"12","589841","658421","32902","0","0","0","2"
"13","589842","658524","32902","0","0","0","2"
"14","589842","852514","4318","0","0","0","1"
"15","589842","853058","4318","0","0","0","1"
"16","589842","853074","4318","0","0","0","1"
"25","393230","852751","4318","0","0","0","8"
"29","524302","657290","32902","0","0","0","1"
"30","524303","657446","32902","0","0","0","1"
"31","524302","656007","4098","0","0","0","8"
"32","393230","730003","4318","0","8","0","1"
"33","393230","730571","4318","0","8","0","1"
"34","393230","730609","4318","0","8","0","1"
"35","524304","730003","4318","0","0","0","1"
"36","524305","730571","4318","0","0","0","1"
"37","524305","730609","4318","0","0","0","1"
"38","393230","662388","4098","0","8","0","1"
"39","393230","662442","4098","0","8","0","1"
"40","393230","662515","4098","0","8","0","1"
"41","393230","662517","4098","0","8","0","1"
"42","393230","662524","4098","0","8","0","1"
"43","393230","662531","4098","0","8","0","1"
"44","524302","656076","4098","0","0","0","1"
"45","524302","656113","4098","0","0","0","1"
"46","524305","655378","4098","0","0","0","1"
"47","524305","655384","4098","0","0","0","1"
"48","524305","656419","4098","0","0","0","1"
"49","524305","656423","4098","0","0","0","1"
"50","524305","656425","4098","0","0","0","1"
"51","524305","656430","4098","0","0","0","1"
"52","655378","858440","4318","0","0","0","1"
