Id,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8
"227","High Interrogator Gerstahn","0","230","0","1","0","4","0"
"228","Lord Roccor","0","230","0","1","1","4","1000"
"229","Houndmaster Grebmar","0","230","0","1","2","4","2000"
"230","Ring of Law","0","230","0","1","3","4","3000"
"231","Pyromancer Loregrain","0","230","0","1","4","4","4000"
"232","Lord Incendius","0","230","0","1","5","4","5000"
"233","Warder Stilgiss","0","230","0","1","6","4","6000"
"234","Fineous Darkvire","0","230","0","1","7","4","7000"
"235","Bael'Gar","0","230","0","1","8","4","8000"
"236","General Angerforge","0","230","0","1","9","4","9000"
"237","Golem Lord Argelmach","0","230","0","1","10","4","10000"
"238","Hurley Blackbreath","0","230","0","1","11","4","11000"
"239","Phalanx","0","230","0","1","12","4","12000"
"240","Ribbly Screwspigot","0","230","0","1","13","4","13000"
"241","Plugger Spazzring","0","230","0","1","14","4","14000"
"242","Ambassador Flamelash","0","230","0","1","15","4","15000"
"243","The Seven","0","230","0","1","16","4","16000"
"244","Magmus","0","230","0","1","17","4","17000"
"245","Emperor Dagran Thaurissan","0","230","0","1","18","4","18000"
"250","Yor","0","557","0","2","3","4","1500"
"267","Highlord Omokk","0","229","0","1","0","4","0"
"268","Shadow Hunter Vosh'gajin","0","229","0","1","1","4","1000"
"269","War Master Voone","0","229","0","1","2","4","2000"
"270","Mother Smolderweb","0","229","0","1","3","4","3000"
"271","Urok Doomhowl","0","229","0","1","4","4","4000"
"272","Quartermaster Zigris","0","229","0","1","5","4","5000"
"273","Gizrul the Slavener","0","229","0","1","6","4","6000"
"274","Halycon","0","229","0","1","7","4","5500"
"275","Overlord Wyrmthalak","0","229","0","1","8","4","8000"
"343","Zevrim Thornhoof","0","429","0","1","0","4","0"
"344","Hydrospawn","0","429","0","1","1","4","1000"
"345","Lethtendris","0","429","0","1","2","4","2000"
"346","Alzzin the Wildshaper","0","429","0","1","3","4","3000"
"347","Illyanna Ravenoak","0","429","0","1","4","4","4000"
"348","Magister Kalendris","0","429","0","1","5","4","5000"
"349","Immol'thar","0","429","0","1","6","4","6000"
"350","Tendris Warpwood","0","429","0","1","7","4","3500"
"361","Prince Tortheldrin","0","429","0","1","8","4","7000"
"362","Guard Mol'dar","0","429","0","1","9","4","8000"
"363","Stomper Kreeg","0","429","0","1","10","4","9000"
"364","Guard Fengus","0","429","0","1","11","4","10000"
"365","Guard Slip'kik","0","429","0","1","12","4","11000"
"366","Captain Kromcrush","0","429","0","1","13","4","12000"
"367","Cho'Rush the Observer","0","429","0","1","14","4","13000"
"368","King Gordok","0","429","0","1","15","4","14000"
"378","Viscous Fallout","0","90","0","1","1","4","2500"
"379","Grubbis","0","90","0","1","2","4","2000"
"380","Electrocutioner 6000","0","90","0","1","3","4","3000"
"381","Crowd Pummeler 9-60","0","90","0","1","4","4","4000"
"382","Mekgineer Thermaplugg","0","90","0","1","5","4","5000"
"422","Noxxion","0","349","0","1","0","4","0"
"423","Razorlash","0","349","0","1","1","4","1000"
"424","Lord Vyletongue","0","349","0","1","2","4","2000"
"425","Celebras the Cursed","0","349","0","1","3","4","3000"
"426","Landslide","0","349","0","1","4","4","4000"
"427","Tinkerer Gizlock","0","349","0","1","5","4","1500"
"428","Rotgrip","0","349","0","1","6","4","6000"
"429","Princess Theradras","0","349","0","1","7","4","7000"
"438","Roogug","0","47","0","1","0","0","375"
"444","Interrogator Vishas","0","189","0","1","0","0","0"
"446","Houndmaster Loksey","0","189","0","1","2","0","2000"
"447","Arcanist Doan","0","189","0","1","3","0","3000"
"448","Herod","0","189","0","1","4","0","4000"
"449","High Inquisitor Fairbanks","0","189","0","1","5","0","5000"
"450","High Inquisitor Whitemane","0","189","0","1","6","0","6000"
"451","Kirtonos the Herald","0","289","0","1","0","0","0"
"452","Jandice Barov","0","289","0","1","1","0","1000"
"453","Rattlegore","0","289","0","1","2","0","2000"
"454","Marduk Blackpool","0","289","0","1","3","0","3000"
"455","Vectus","0","289","0","1","4","0","4000"
"456","Ras Frostwhisper","0","289","0","1","5","0","5000"
"457","Instructor Malicia","0","289","0","1","6","0","6000"
"458","Doctor Theolen Krastinov","0","289","0","1","7","0","7000"
"459","Lorekeeper Polkelt","0","289","0","1","8","0","8000"
"460","The Ravenian","0","289","0","1","9","0","9000"
"461","Lord Alexei Barov","0","289","0","1","10","0","10000"
"462","Lady Illucia Barov","0","289","0","1","11","0","11000"
"463","Darkmaster Gandling","0","289","0","1","12","0","12000"
