Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown0_4,Unknown0_5,Unknown0_6,Unknown0_7,Unknown0_8,Unknown0_9,Unknown0_10,Unknown0_11,Unknown0_12,Unknown0_13,Unknown0_14,Unknown0_15,Unknown0_16,Unknown0_17,Unknown0_18,Unknown0_19,Unknown0_20,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown1_4,Unknown1_5,Unknown1_6,Unknown1_7
"1","1","1","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","0","1","1","1","0","1","1","1","1","0","1","0"
"6","2","3","3","3","2","3","3","2","3","0","3","0","0","2","2","1","1","0","3","2","1","0","1","1","1","1","0","2","0"
"8","2","3","3","3","2","3","3","2","3","0","3","0","0","2","2","1","1","0","3","2","1","0","2","2","2","2","0","2","0"
"10","3","4","4","4","3","4","4","3","4","0","4","0","0","3","3","2","1","0","4","3","2","0","2","2","2","2","0","3","0"
"12","3","4","4","4","3","4","4","3","4","0","4","0","0","3","3","2","1","0","4","3","2","0","3","3","3","3","0","3","0"
"14","4","6","6","6","4","6","6","4","6","0","6","0","0","4","4","3","1","0","6","4","3","0","3","3","3","3","0","4","0"
"16","4","6","6","6","4","6","6","4","6","0","6","0","0","4","4","3","1","0","6","4","3","0","4","4","4","4","0","4","0"
"18","5","7","7","7","5","7","7","5","7","0","7","0","0","5","5","3","1","0","7","5","4","0","4","4","4","4","0","5","0"
"20","5","7","7","7","5","7","7","5","7","0","7","0","0","5","5","3","1","0","7","5","4","0","5","5","5","5","0","5","0"
"22","6","9","9","9","6","9","9","6","9","0","9","0","0","6","6","4","1","0","9","6","4","0","5","5","5","5","0","6","0"
"24","6","9","9","9","6","9","9","6","9","0","9","0","0","6","6","4","1","0","9","6","4","0","6","6","6","6","0","6","0"
"25","7","10","10","10","7","10","10","7","10","0","10","0","0","7","7","5","1","0","10","7","5","0","6","6","6","6","0","7","0"
"27","7","10","10","10","7","10","10","7","10","0","10","0","0","7","7","5","1","0","10","7","5","0","7","7","7","7","0","7","0"
"28","8","12","12","12","8","12","12","8","12","0","12","0","0","8","8","6","1","0","12","8","6","0","7","7","7","7","0","8","0"
"30","9","13","13","13","9","13","13","9","13","0","13","0","0","9","9","6","1","0","13","9","6","0","8","8","8","8","0","9","0"
"31","9","13","13","13","9","13","13","9","13","0","13","0","0","9","9","6","1","0","13","9","7","0","8","8","8","8","0","9","0"
"32","10","15","15","15","10","15","15","10","15","0","15","0","0","10","10","7","1","0","15","10","7","0","9","9","9","9","0","10","0"
"33","11","16","16","16","11","16","16","11","16","0","16","0","0","11","11","8","1","0","16","11","8","0","9","9","9","9","0","11","0"
"34","12","18","18","18","12","18","18","12","18","0","18","0","0","12","12","9","1","0","18","12","8","0","10","10","10","10","0","12","0"
"35","13","19","19","19","13","19","19","13","19","0","19","0","0","13","13","9","1","0","19","13","8","0","11","11","11","11","0","13","0"
"36","14","21","21","21","14","21","21","14","21","0","21","0","0","14","14","10","1","0","21","14","9","0","12","12","12","12","0","14","0"
"37","15","22","22","22","15","22","22","15","22","0","22","0","0","15","15","11","2","0","22","15","9","0","13","13","13","13","0","15","0"
"38","16","24","24","24","16","24","24","16","24","0","24","0","0","16","16","12","2","0","24","16","9","0","14","14","14","14","0","16","0"
"39","17","25","25","25","17","25","25","17","25","0","25","0","0","17","17","12","2","0","25","17","9","0","15","15","15","15","0","17","0"
"40","19","28","28","28","19","28","28","19","28","0","28","0","0","19","19","14","2","0","28","19","9","0","16","16","16","16","0","19","0"
"41","21","31","31","31","21","31","31","21","31","0","31","0","0","21","21","15","2","0","31","21","9","0","17","17","17","17","0","21","0"
"42","23","34","34","34","23","34","34","23","34","0","34","0","0","23","23","17","2","0","34","23","10","0","19","19","19","19","0","23","0"
"43","25","37","37","37","25","37","37","25","37","0","37","0","0","25","25","18","3","0","37","25","10","0","21","21","21","21","0","25","0"
"44","27","40","40","40","27","40","40","27","40","0","40","0","0","27","27","20","3","0","40","27","10","0","23","23","23","23","0","27","0"
"45","29","43","43","43","29","43","43","29","43","0","43","0","0","29","29","21","3","0","43","29","11","0","25","25","25","25","0","29","0"
"46","31","46","46","46","31","46","46","31","46","0","46","0","0","31","31","23","3","0","46","31","11","0","27","27","27","27","0","31","0"
"47","33","49","49","49","33","49","49","33","49","0","49","0","0","33","33","24","3","0","49","33","11","0","29","29","29","29","0","33","0"
"48","35","52","52","52","35","52","52","35","52","0","52","0","0","35","35","26","4","0","52","35","12","0","31","31","31","31","0","35","0"
"49","37","55","55","55","37","55","55","37","55","0","55","0","0","37","37","27","4","0","55","37","12","0","33","33","33","33","0","37","0"
"50","39","58","58","58","39","58","58","39","58","0","58","0","0","39","39","29","4","0","58","39","12","0","35","35","35","35","0","39","0"
"51","41","61","61","61","41","61","61","41","61","0","61","0","0","41","41","30","4","0","61","41","13","0","37","37","37","37","0","41","0"
"52","43","64","64","64","43","64","64","43","64","0","64","0","0","43","43","32","4","0","64","43","13","0","39","39","39","39","0","43","0"
"53","45","67","67","67","45","67","67","45","67","0","67","0","0","45","45","33","5","0","67","45","13","0","41","41","41","41","0","45","0"
"54","47","70","70","70","47","70","70","47","70","0","70","0","0","47","47","35","5","0","70","47","14","0","43","43","43","43","0","47","0"
"55","49","73","73","73","49","73","73","49","73","0","73","0","0","49","49","36","5","0","73","49","14","0","45","45","45","45","0","49","0"
"56","51","76","76","76","51","76","76","51","76","0","76","0","0","51","51","38","5","0","76","51","14","0","47","47","47","47","0","51","0"
"57","53","79","79","79","53","79","79","53","79","0","79","0","0","53","53","39","5","0","79","53","14","0","49","49","49","49","0","53","0"
"58","55","82","82","82","55","82","82","55","82","0","82","0","0","55","55","41","6","0","82","55","14","0","51","51","51","51","0","55","0"
"59","57","85","85","85","57","85","85","57","85","0","85","0","0","57","57","42","6","0","85","57","14","0","53","53","53","53","0","57","0"
"60","59","88","88","88","59","88","88","59","88","0","88","0","0","59","59","44","6","0","88","59","15","0","55","55","55","55","0","59","0"
"61","60","90","90","90","60","90","90","60","90","0","90","0","0","60","60","45","6","0","90","60","15","0","56","56","56","56","0","60","0"
"62","61","92","92","92","61","92","92","61","92","0","92","0","0","61","61","46","6","0","92","61","15","0","57","57","57","57","0","61","0"
"63","63","94","94","94","63","94","94","63","94","0","94","0","0","63","63","48","7","0","94","63","16","0","59","59","59","59","0","63","0"
"64","64","96","96","96","64","96","96","64","96","0","96","0","0","64","64","49","7","0","96","64","16","0","60","60","60","60","0","64","0"
