Id,Unknown0,Unknown1,Unknown2
"1","%s agrees with %s.","1","0"
"2","%s agrees with you.","1","1"
"3","You agree with %s.","1","2"
"4","%s agrees.","1","4"
"5","You agree.","1","6"
"6","%s is amazed by %s!","2","0"
"7","%s is amazed by you!","2","1"
"8","You are amazed by %s!","2","2"
"9","%s is amazed!","2","4"
"10","You are amazed!","2","6"
"11","%s raises his fist in anger at %s.","3","0"
"12","%s raises his fist in anger at you.","3","1"
"13","You raise your fist in anger at %s.","3","2"
"14","%s raises his fist in anger.","3","4"
"15","You raise your fist in anger.","3","6"
"16","%s raises her fist in anger at %s.","3","8"
"17","%s raises her fist in anger at you.","3","9"
"18","%s raises her fist in anger.","3","12"
"19","%s apologizes to %s.  Sorry!","4","0"
"20","%s apologizes to you.  Sorry!","4","1"
"21","You apologize to %s.  Sorry!","4","2"
"22","%s apologizes to everyone.  Sorry!","4","4"
"23","You apologize to everyone.  Sorry!","4","6"
"24","%s applauds at %s.  Bravo!","5","0"
"25","%s applauds at you.  Bravo!","5","1"
"26","You applaud at %s.  Bravo!","5","2"
"27","%s applauds.  Bravo!","5","4"
"28","You applaud.  Bravo!","5","6"
"29","%s is so bashful...too bashful to get %s's attention.","6","0"
"30","%s is so bashful...too bashful to get your attention.","6","1"
"31","You are so bashful...too bashful to get %s's attention.","6","2"
"32","%s is bashful.","6","4"
"33","You are bashful.","6","6"
"34","%s beckons %s over.","7","0"
"35","%s beckons you over.","7","1"
"36","You beckon %s over.","7","2"
"37","%s beckons everyone over.","7","4"
"38","You beckon everyone over to you.","7","6"
"39","%s begs %s.  How pathetic.","8","0"
"40","%s begs you.  How pathetic.","8","1"
"41","You beg %s.  How pathetic.","8","2"
"42","%s begs everyone around him.  How pathetic.","8","4"
"43","You beg everyone around you. How pathetic.","8","6"
"44","%s begs everyone around her.  How pathetic.","8","12"
"45","%s bites %s.  Ouch!","9","0"
"46","%s bites you.  Ouch!","9","1"
"47","You bite %s.  Ouch!","9","2"
"48","%s looks around for someone to bite.","9","4"
"49","You look around for someone to bite.","9","6"
"50","Blood oozes from %s's wounds.","10","4"
"51","Blood oozes from your wounds.","10","6"
"52","%s blinks at %s.","11","0"
"53","%s blinks at you.","11","1"
"54","You blink at %s.","11","2"
"55","%s blinks.","11","4"
"56","You blink your eyes.","11","6"
"57","%s blushes at %s.","12","0"
"58","%s blushes at you.","12","1"
"59","You blush at %s.","12","2"
"60","%s blushes.","12","4"
"61","You blush.","12","6"
"62","%s bonks %s on the noggin.  Doh!","13","0"
"63","%s bonks you on the noggin.  Doh!","13","1"
"64","You bonk %s on the noggin.  Doh!","13","2"
"65","%s bonks his own noggin.  Doh!","13","4"
"66","You bonk yourself on the noggin.  Doh!","13","6"
"67","%s bonks her own noggin.  Doh!","13","12"
"68","%s is terribly bored with %s.","14","0"
"69","%s is terribly bored with you.","14","1"
"70","You are terribly bored with %s.","14","2"
"71","%s is overcome with boredom.  Oh the drudgery!","14","4"
"72","You are overcome with boredom.  Oh the drudgery!","14","6"
"73","%s bounces up and down in front of %s.","15","0"
"74","%s bounces up and down in front of you.","15","1"
"75","You bounce up and down in front of %s.","15","2"
"76","%s bounces up and down.","15","4"
"77","You bounce up and down.","15","6"
"78","%s will be right back.  Sit tight, %s.","16","0"
"79","%s will be right back.  Sit tight.","16","1"
"80","You let %s know you'll be right back.","16","2"
"81","%s will be right back.","16","4"
"82","You let everyone know you'll be right back.","16","6"
"83","%s bows before %s.","17","0"
"84","%s bows before you.","17","1"
"85","You bow before %s.","17","2"
"86","%s bows down graciously.","17","4"
"87","You bow down graciously.","17","6"
"88","%s burps rudely in %s's face.","18","0"
"89","%s burps rudely in your face.","18","1"
"90","You burp rudely in %s's face.","18","2"
"91","%s lets out a loud belch.","18","4"
"92","You let out a loud belch.","18","6"
"93","%s waves goodbye to %s.  Farewell!","19","0"
"94","%s waves goodbye to you.  Farewell!","19","1"
"95","You wave goodbye to %s.  Farewell!","19","2"
"96","%s waves goodbye to everyone.  Farewell!","19","4"
"97","You wave goodbye to everyone.  Farewell!","19","6"
"98","%s cackles maniacally at %s.","20","0"
"99","%s cackles maniacally at you.","20","1"
"100","You cackle maniacally at %s.","20","2"
"101","%s cackles maniacally at the situation.","20","4"
"102","You cackle maniacally at the situation.","20","6"
"103","%s cheers at %s!","21","0"
"104","%s cheers at you.","21","1"
"105","You cheer at %s.","21","2"
"106","%s cheers!","21","4"
"107","You cheer!","21","6"
"108","With arms flapping, %s struts around %s.  Cluck, Cluck, Chicken!","22","0"
"109","With arms flapping, %s struts around you.  Cluck, Cluck, Chicken!","22","1"
"110","With arms flapping, you strut around %s.  Cluck, Cluck, Chicken!","22","2"
"111","With arms flapping, %s struts around.  Cluck, Cluck, Chicken!","22","4"
"112","With arms flapping, you strut around.  Cluck, Cluck, Chicken!","22","6"
"113","%s chuckles at %s.","23","0"
"114","%s chuckles at you.","23","1"
"115","You chuckle at %s.","23","2"
"116","%s lets out a hearty chuckle.","23","4"
"117","You let out a hearty chuckle.","23","6"
"118","%s claps excitedly for %s.","24","0"
"119","%s claps excitedly for you.","24","1"
"120","You clap excitedly for %s.","24","2"
"121","%s claps excitedly.","24","4"
"122","You clap excitedly.","24","6"
"123","%s looks at %s with a confused look.","25","0"
"124","%s looks at you with a confused look.","25","1"
"125","You look at %s with a confused look.","25","2"
"126","%s is hopelessly confused.","25","4"
"127","You are hopelessly confused.","25","6"
"128","%s congratulates %s.","26","0"
"129","%s congratulates you.","26","1"
"130","You congratulate %s.","26","2"
"131","%s congratulates everyone.","26","4"
"132","You congratulate everyone around you.","26","6"
"133","%s coughs at %s.","27","0"
"134","%s coughs at you.","27","1"
"135","You cough at %s.","27","2"
"136","%s lets out a hacking cough.","27","4"
"137","You let out a hacking cough.","27","6"
"138","%s cowers in fear at the sight of %s.","28","0"
"139","%s cowers in fear at the sight of you.","28","1"
"140","You cower in fear at the sight of %s.","28","2"
"141","%s cowers in fear.","28","4"
"142","You cower in fear.","28","6"
"143","%s cracks his knuckles while staring at %s.","29","0"
"144","%s cracks his knuckles while staring at you.","29","1"
"145","You crack your knuckles while staring at %s.","29","2"
"146","%s cracks his knuckles.","29","4"
"147","You crack your knuckles.","29","6"
"148","%s cracks her knuckles while staring at %s.","29","8"
"149","%s cracks her knuckles while staring at you.","29","9"
"150","%s cracks her knuckles.","29","12"
"151","%s cringes away from %s.","30","0"
"152","%s cringes away from you.","30","1"
"153","You cringe away from %s.","30","2"
"154","%s cringes in fear.","30","4"
"155","You cringe in fear.","30","6"
"156","%s cries on %s's shoulder.","31","0"
"157","%s cries on your shoulder.","31","1"
"158","You cry on %s's shoulder.","31","2"
"159","%s cries.","31","4"
"160","You cry.","31","6"
