Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4
"12","85","1","1","0","7894"
"17","85","1","0","0","7914"
"18","85","3","0","0","7918"
"19","85","3","1","0","7917"
"20","85","4","1","0","7915"
"21","85","4","0","0","7916"
"22","85","7","1","0","7919"
"23","85","7","0","0","7920"
"24","85","2","1","0","7921"
"25","85","2","0","0","7922"
"26","85","5","1","0","7927"
"27","85","5","0","0","7928"
"28","85","6","1","0","7925"
"29","85","6","0","0","7926"
"30","85","8","1","0","7923"
"31","85","8","0","0","7924"
"33","226","6","0","0","7930"
"34","226","6","1","0","7929"
"35","14","1","1","0","7951"
"36","14","1","0","0","7952"
"37","14","3","1","0","7947"
"38","14","3","0","0","7948"
"39","14","4","1","0","7953"
"40","14","4","0","0","7954"
"41","14","7","1","0","7949"
"43","14","7","0","0","7950"
"44","14","2","1","0","7955"
"45","14","2","0","0","7956"
"46","14","5","1","0","7962"
"48","14","5","0","0","7961"
"49","14","6","1","0","7957"
"50","14","6","0","0","7958"
"51","14","8","1","0","7959"
"52","14","8","0","0","7960"
"53","104","1","1","0","7967"
"54","104","1","0","0","7968"
"55","104","3","1","0","7963"
"56","104","3","0","0","7964"
"57","104","4","1","0","7969"
"58","104","4","0","0","7970"
"59","104","7","1","0","7965"
"60","104","7","0","0","7966"
"61","104","2","1","0","7971"
"62","104","2","0","0","7972"
"63","104","5","1","0","7977"
"64","104","5","0","0","7978"
"65","104","6","1","0","7973"
"66","104","6","0","0","7974"
"67","104","8","1","0","7975"
"68","104","8","0","0","7976"
"69","106","3","1","0","7935"
"70","106","3","0","0","7936"
"71","106","7","1","0","7937"
"72","106","7","0","0","7938"
"73","106","1","1","0","7931"
"74","106","1","0","0","7932"
"75","106","4","1","0","7933"
"76","106","4","0","0","7934"
"77","106","2","1","0","7939"
"78","106","2","0","0","7940"
"79","106","5","1","0","7941"
"80","106","5","0","0","7942"
"81","106","6","1","0","7945"
"82","106","6","0","0","7946"
"83","106","8","1","0","7943"
"84","106","8","0","0","7944"
"85","303","1","0","0","2668"
"86","303","1","1","0","2680"
"87","303","2","0","0","2692"
"88","303","2","1","0","2704"
"89","303","3","0","0","2716"
"90","303","3","1","0","2728"
"91","303","4","0","0","2740"
"92","303","4","1","0","2752"
"93","303","5","0","0","2764"
"94","303","5","1","0","2776"
