Id,Unknown0_0,Unknown0_1,Unknown0_2,Unknown0_3,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown2_0,Unknown2_1,Unknown3,Unknown4,Unknown5_0,Unknown5_1,Unknown5_2,Unknown5_3,Unknown6,Unknown7_0,Unknown7_1,Unknown7_2,Unknown7_3,Unknown8_0,Unknown8_1,Unknown8_2,Unknown8_3,Unknown9,Unknown10_0,Unknown10_1,Unknown11,Unknown12,Unknown13
"1","0","0","0","0","0","0","0","0","1","1","PLAYER, Human","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"2","0","0","0","0","0","0","0","0","1","1","PLAYER, Orc","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"3","0","0","0","0","0","0","0","0","1","1","PLAYER, Dwarf","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"4","0","0","0","0","0","0","0","0","1","1","PLAYER, Night Elf","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"5","0","0","0","0","0","0","0","0","1","1","PLAYER, Undead","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"6","0","0","0","0","0","0","0","0","1","1","PLAYER, Tauren ","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"7","0","0","0","0","0","0","0","0","1","1","Creature","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"8","0","0","0","0","0","0","0","0","1","1","PLAYER, Gnome","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"9","0","0","0","0","0","0","0","0","1","1","PLAYER, Troll","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"14","0","0","0","0","0","0","0","0","1","1","Monster","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"15","0","0","0","0","0","0","0","0","1","1","Defias Brotherhood","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"16","0","0","0","0","0","0","0","0","1","1","Gnoll - Riverpaw","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"17","0","0","0","0","0","0","0","0","1","1","Gnoll - Redridge","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"18","0","0","0","0","0","0","0","0","1","1","Gnoll - Shadowhide","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"19","0","0","0","0","0","0","0","0","1","1","Murloc","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"20","0","0","0","0","0","0","0","0","1","1","Undead, Scourge","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"21","60819455","0","0","0","500","0","0","0","1","0.5","Booty Bay","This booming coastal city is run by Baron Revilgaz of the Blackwater Raiders.  Mortal enemies of the Bloodsail Buccaneers and part of the Steamwheedle Cartel.","42999","0","0","0","1","0","0","0","0","64","0","0","0","169","7","5","0","0","0"
"22","0","0","0","0","0","0","0","0","1","1","Beast - Spider","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"23","0","0","0","0","0","0","0","0","1","1","Beast - Boar","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"24","0","0","0","0","0","0","0","0","1","1","Worgen","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"25","0","0","0","0","0","0","0","0","1","1","Kobold","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"26","0","0","0","0","0","0","0","0","1","1","Troll, Bloodscalp","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"27","0","0","0","0","0","0","0","0","1","1","Troll, Skullsplitter","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"28","0","0","0","0","0","0","0","0","1","1","Prey","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
"29","0","0","0","0","0","0","0","0","1","1","Beast - Wolf","","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","5","5","0","0","0"
