Id,Unknown0,Unknown1,Unknown2
"1","Stranger","0","2"
"2","Acquaintance","8400","2"
"3","Buddy","16800","2"
"4","Friend","25200","2"
"5","Good Friend","33600","2"
"6","Best Friend","42000","2"
"59","Stranger","0","16"
"60","Acquaintance","8400","16"
"61","Buddy","16800","16"
"62","Friend","25200","16"
"63","Good Friend","33600","16"
"64","Best Friend","42000","16"
"65","Stranger","0","17"
"66","Acquaintance","8400","17"
"67","Buddy","16800","17"
"68","Friend","25200","17"
"69","Good Friend","33600","17"
"70","Best Friend","42000","17"
"71","Stranger","0","18"
"72","Acquaintance","8400","18"
"73","Buddy","16800","18"
"74","Friend","25200","18"
"75","Good Friend","33600","18"
"76","Best Friend","42000","18"
"77","Stranger","0","19"
"78","Acquaintance","8400","19"
"79","Buddy","16800","19"
"80","Friend","25200","19"
"81","Good Friend","33600","19"
"82","Best Friend","42000","19"
"83","Stranger","0","20"
"84","Acquaintance","8400","20"
"85","Buddy","16800","20"
"86","Friend","25200","20"
"87","Good Friend","33600","20"
"88","Best Friend","42000","20"
"89","Stranger","0","21"
"90","Acquaintance","8400","21"
"91","Buddy","16800","21"
"92","Friend","25200","21"
"93","Good Friend","33600","21"
"94","Best Friend","42000","21"
"95","Stranger","0","22"
"96","Acquaintance","8400","22"
"97","Buddy","16800","22"
"98","Friend","25200","22"
"99","Good Friend","33600","22"
"100","Best Friend","42000","22"
"101","Stranger","0","23"
"102","Acquaintance","8400","23"
"103","Buddy","16800","23"
"104","Friend","25200","23"
"105","Good Friend","33600","23"
"106","Best Friend","42000","23"
"107","Stranger","0","24"
"108","Acquaintance","8400","24"
"109","Buddy","16800","24"
"110","Friend","25200","24"
"111","Good Friend","33600","24"
"112","Best Friend","42000","24"
"113","Apprentice","0","25"
"114","Apprentice","8400","25"
"115","Journeyman","16800","25"
"116","Journeyman","25200","25"
"117","Journeyman","33600","25"
"118","Expert","42000","25"
"119","Stranger","0","26"
"120","Pal","8400","26"
"121","Buddy","16800","26"
"122","Friend","25200","26"
"123","Best Friend","42000","26"
"124","Good Friend","33600","26"
"127","Rank 1","0","28"
"128","Rank 2","1000","28"
"129","Rank 3","2000","28"
"130","Rank 4","3000","28"
"131","Rank 5","4000","28"
"132","Rank 6","5000","28"
"133","Rank 7","6000","28"
"192","Rank 1","0","43"
"193","Rank 2","1000","43"
"194","Rank 3","2000","43"
"195","Rank 4","3000","43"
"196","Rank 5","4000","43"
"197","Rank 6","5000","43"
"198","Rank 7","6000","43"
"271","Max Rank","7000","43"
"272","Max Rank","7000","28"
"288","Not Supplied","0","72"
"289","Supplied","10000","72"
"416","Bodyguard","0","160"
"417","Trusted Bodyguard","10000","160"
"418","Personal Wingman","20000","160"
"422","Bodyguard","0","162"
"423","Trusted Bodyguard","10000","162"
"424","Personal Wingman","20000","162"
"425","Bodyguard","0","163"
"426","Trusted Bodyguard","10000","163"
"427","Personal Wingman","20000","163"
"428","Bodyguard","0","164"
"429","Trusted Bodyguard","10000","164"
"430","Personal Wingman","20000","164"
"431","Bodyguard","0","165"
"432","Trusted Bodyguard","10000","165"
"433","Personal Wingman","20000","165"
"434","Bodyguard","0","166"
"435","Trusted Bodyguard","10000","166"
"436","Personal Wingman","20000","166"
"437","Bodyguard","0","167"
"438","Trusted Bodyguard","10000","167"
"439","Personal Wingman","20000","167"
"443","Rank 1","0","171"
"444","Rank 2","1000","171"
"445","Rank 3","2000","171"
"446","Rank 4","3000","171"
"447","Rank 5","4000","171"
"448","Rank 6","5000","171"
"449","Rank 7","6000","171"
"450","Rank 8","7000","171"
"451","Rank 1","0","172"
"452","Rank 2","1000","172"
"453","Rank 3","2000","172"
"454","Rank 4","3000","172"
"455","Rank 5","4000","172"
"456","Rank 6","5000","172"
"457","Rank 7","6000","172"
"458","Rank 8","7000","172"
"466","Withering","0","181"
"467","Stable","100","181"
"471","Withering","0","182"
"472","Stable","100","182"
"473","Empowered","150","182"
"476","Withering","0","183"
"477","Sated","200","183"
"481","Rank 9","8000","171"
"482","Max Rank","9000","171"
"483","Rank 9","8000","172"
"484","Max Rank","9000","172"
"485","State 0 - Follower","0","184"
"486","State 2 - Chapter 2","21000","184"
"487","State 1 - Chapter 1","10500","184"
"488","State 3 - Chapter 3","42000","184"
"489","Withering","0","185"
"490","Stable","100","185"
"520","Stranger","0","193"
"521","Pal","8400","193"
"522","Buddy","16800","193"
"523","Friend","25200","193"
"524","Good Friend","33600","193"
"525","Best Friend","42000","193"
"530","Intern","0","195"
"531","Junior Resident","1000","195"
"532","Senior Resident","2000","195"
"533","First Responder","3000","195"
"534","Sated","200","185"
"535","Sated","200","181"
"536","Stable","100","183"
