Id,Unknown0,Unknown1_0,Unknown1_1,Unknown1_2,Unknown1_3,Unknown1_4,Unknown1_5,Unknown2,Unknown3,Unknown4
"1","196979","-0.260733","-0.451229","0.007418","0.260617","0.44936","0.686414","0","0","0"
"2","199426","-0.325455","-0.337294","0.001487","0.350791","0.310531","0.990646","0","0","0"
"3","190175","-5.358705","-6.206873","-0.018554","7.331823","6.693991","14.53023","0","0","0"
"4","198634","-0.31981","-0.9864","0.00453","1.094419","0.993903","2.802941","0","0","0"
"5","200640","-0.765516","-1.652674","-0.301773","0.052263","1.628192","4.432925","0","0","0"
"6","189908","-3.311697","-3.937093","-1.000119","3.205447","4.167764","11.94304","0","0","0"
"7","189821","-0.266556","-0.264553","0.002714","0.256744","0.268632","0.650797","0","0","0"
"8","198238","-0.305242","-0.698802","-0.005984","0.303308","0.690087","0.46764","0","0","0"
"9","199567","-1.234735","-0.580024","-0.035215","0.428833","0.815669","1.018483","0","0","0"
"10","196976","-0.39367","-0.590816","0.012198","0.393554","0.588955","0.630732","0","0","0"
"11","198445","-1.63277","-0.547135","-0.216284","1.469702","0.56849","1.012251","0","0","0"
"12","189541","-0.111867","-0.35379","-0.298858","0.119604","0.386132","2.008659","0","0","0"
"13","197807","-2.81626","-0.418783","-1.70882","0.041067","0.418783","1.70882","0","0","0"
"14","198343","-0.2802818","-0.3353188","-0.0429737","0.280684","0.3968652","0.4934014","0","0","0"
"15","199424","-0.106445","-0.680752","0.802495","0.2254","0.704943","2.806001","0","0","0"
"17","199421","-0.214216","-0.506724","-1.652187","0.116202","0.52248","2.497427","0","0","0"
"18","190543","-0.428923","-0.763771","0.003345","0.428923","0.764006","0.503345","0","0","0"
"19","189534","-0.219444","-0.508333","-0.147632","0.219444","0.508333","1.426113","0","0","0"
"20","189528","-1.692881","-1.063639","-0.010465","1.692881","1.004258","0.666919","0","0","0"
"21","199180","-0.207902","-0.244864","0","0.207059","0.234292","0.550984","0","0","0"
"22","198479","0.417629","-0.984875","2.660958","0.650702","1.292585","3.518984","0","0","0"
"25","199571","-2.030113","-3.055414","-0.239334","2.592509","3.023229","9.040523","0","0","0"
"26","198478","-0.090289","-0.807625","3.463157","0.09029","0.864858","3.907382","0","0","0"
"27","198476","-0.16612","-0.84656","2.846081","0.166117","1.409833","3.906655","0","0","0"
"28","196975","-1.427991","-1.991418","-0.55691","1.43657","1.539283","2.262655","0","0","0"
"30","198280","-0.355893","-0.347724","-0.000389","0.355385","0.369838","1.09105","0","0","0"
"31","198168","-0.636226","-0.693032","0.002947","0.63068","0.659836","1.243901","0","0","0"
"32","199563","-0.430319","-0.467806","-0.001256","0.428833","0.524257","0.992064","0","0","0"
