Id,Unknown0,Unknown1,Unknown2
"1235","1","1277","1"
"1236","1","40382","6"
"1237","2","40382","6"
"1238","3","40383","6"
"1239","1","1277","10"
"1240","3","1278","10"
"1241","1","1277","41"
"1242","3","1278","41"
"1243","1","11982","51"
"1244","3","11983","51"
"1245","6","3255","197"
"1246","6","3347","199"
"1247","2","3244","200"
"1248","2","3347","209"
"1249","4","1401","210"
"1250","6","1401","210"
"1251","6","3379","216"
"1252","6","3376","231"
"1253","7","4856","231"
"1254","6","11644","235"
"1255","1","1399","243"
"1256","4","1399","243"
"1257","6","1400","245"
"1258","4","1401","255"
"1259","6","1401","255"
"1260","1","1277","259"
"1261","3","1278","259"
"1262","1","6454","261"
"1263","6","3378","263"
"1264","6","3378","264"
"1265","6","3378","265"
"1266","6","3378","266"
"1267","6","11743","290"
"1268","1","4816","295"
"1269","3","4816","295"
"1270","6","4816","295"
"1271","2","3252","296"
"1272","6","3378","298"
"1273","2","3244","307"
"1274","2","4694","325"
"1275","4","4815","327"
"1276","6","4815","327"
"1277","4","4789","330"
"1278","2","3347","331"
"1279","1","4777","334"
"1280","1","4783","335"
"1281","4","4784","335"
"1282","1","4783","336"
"1283","6","4756","338"
"1284","1","4779","339"
"1285","6","4779","339"
"1286","1","4786","340"
"1287","0","10838","342"
"1288","1","10839","342"
"1289","4","10839","342"
"1290","0","3432","343"
"1291","4","10936","343"
"1292","6","4787","344"
"1293","7","4788","344"
"1294","0","3242","345"
"1295","2","3243","345"
"1296","6","3381","353"
"1297","6","3381","354"
"1298","6","3378","363"
"1299","6","3347","365"
"1300","1","4785","378"
"1301","6","4785","378"
"1302","1","4818","391"
"1303","1","3360","394"
"1304","3","3362","394"
"1305","4","3363","394"
"1306","2","3254","396"
"1307","2","3255","397"
"1308","2","3253","398"
"1309","1","3380","400"
"1310","3","3362","400"
"1311","1","5114","401"
"1312","3","5114","401"
"1313","2","3347","408"
"1314","6","3246","410"
"1315","1","11673","411"
"1316","3","11674","411"
"1317","1","7154","413"
"1318","3","7154","413"
"1319","6","4757","417"
"1320","6","4774","430"
"1321","6","3245","439"
"1322","1","4819","442"
"1323","3","4816","442"
"1324","1","3360","443"
"1325","1","6487","444"
"1326","0","3432","445"
"1327","6","3381","446"
"1328","1","6455","460"
"1329","0","3432","465"
"1330","4","10936","465"
"1331","4","4775","472"
"1332","6","4785","477"
"1333","2","3347","524"
"1334","1","4783","528"
"1335","1","3371","558"
"1336","3","3372","558"
"1337","1","3371","559"
"1338","3","3372","559"
"1339","1","3371","560"
"1340","3","3372","560"
"1341","6","3355","668"
"1342","1","4954","672"
"1343","2","4954","672"
"1344","2","10936","674"
"1345","4","10936","674"
"1346","1","4676","676"
"1347","3","4677","676"
"1348","6","3439","749"
"1349","2","3347","759"
"1350","4","4795","768"
"1351","6","3486","787"
"1352","7","3487","787"
"1353","1","5156","847"
"1354","1","5156","848"
"1355","1","5156","849"
"1356","1","25527","850"
"1357","1","5156","851"
"1358","1","7336","907"
"1359","3","7336","907"
"1360","1","4678","1189"
"1361","3","4714","1189"
"1362","1","6537","1207"
"1363","1","4836","1369"
"1364","1","3360","1370"
"1365","3","3362","1370"
"1366","1","4782","1387"
"1367","3","7334","1387"
"1368","1","1277","1447"
"1369","1","4814","1607"
"1370","2","4814","1607"
"1371","1","4814","1627"
"1372","2","4814","1627"
"1373","6","4817","1647"
"1374","7","4817","1647"
"1375","4","4795","1767"
"1376","1","4676","1787"
"1377","3","4677","1787"
"1378","6","4654","1827"
"1379","2","3244","1967"
"1380","1","1399","2007"
"1381","2","1399","2007"
"1382","0","4794","2047"
"1383","0","4790","2089"
"1384","1","4791","2089"
"1385","6","4793","2091"
"1386","1","4781","2230"
"1387","3","4780","2230"
"1388","1","5155","2235"
"1389","4","5156","2235"
"1390","6","4654","2372"
"1391","6","4792","2373"
"1392","1","39562","2450"
"1393","3","39563","2450"
"1394","1","12116","2530"
"1395","3","12118","2530"
"1396","1","3244","2570"
"1397","2","3244","2570"
"1398","4","6764","2570"
"1399","6","6764","2570"
"1400","1","5044","2650"
"1401","1","6535","2670"
"1402","2","41215","2670"
"1403","3","6536","2670"
"1404","1","6535","2671"
"1405","3","6536","2671"
"1406","1","6535","2672"
"1407","3","6536","2672"
"1408","1","6535","2673"
"1409","3","6536","2673"
"1410","1","6537","2750"
"1411","1","6532","2751"
"1412","4","6533","2751"
"1413","1","6538","2752"
"1414","1","6487","2753"
"1415","4","6488","2753"
"1416","0","3432","2770"
"1417","6","4815","2770"
"1418","1","6535","2771"
"1419","3","6536","2771"
"1420","1","6535","2772"
"1421","3","6536","2772"
"1422","1","6535","2773"
"1423","3","6536","2773"
"1424","3","6485","2790"
"1425","2","7180","2852"
"1426","0","13292","2911"
"1427","2","13097","2911"
"1428","6","6522","3071"
"1429","7","6521","3071"
"1430","8","6520","3071"
"1431","1","6520","3072"
"1432","4","6521","3072"
"1433","6","6523","3072"
"1434","1","6520","3073"
"1435","4","6521","3073"
"1436","6","6524","3073"
"1437","1","6520","3074"
"1438","4","6521","3074"
"1439","6","6525","3074"
"1440","1","6534","3075"
"1441","1","6534","3076"
"1442","1","6534","3078"
"1443","1","6489","3152"
"1444","1","10946","3272"
"1445","2","9390","3411"
"1446","1","7574","3492"
"1447","3","7574","3492"
"1448","1","6535","3591"
"1449","3","6536","3591"
"1450","1","7117","3614"
"1451","3","7117","3614"
"1452","1","7117","3631"
