Id,Unknown0,Unknown1,Unknown2,Unknown3
"201","|cffffd100Tip:|r Your spell casting can be cancelled by moving, jumping or hitting the escape key.","20","40","2"
"221","|cffffd100Tip:|r Press the 'M' key to see your map.","1","20","0"
"222","|cffffd100Tip:|r You can <Control>Click on an item to see how you would look wearing that item.","20","60","4"
"223","|cffffd100Tip:|r An item with its name in gray is a poor quality item and generally should be sold to a vendor.","6","60","5"
"224","|cffffd100Tip:|r An item with its name in white is useful to players in some way and can be used or sold at the auction house.","20","60","6"
"225","|cffffd100Tip:|r You can send mail to other players on your realm or even to your other characters from any mailbox in game.","20","60","7"
"226","|cffffd100Tip:|r You can <Shift>Click on an item to place an item link into a chat message.","40","60","8"
"227","|cffffd100Tip:|r All of your action bars can have their hotkeys remapped in the key bindings interface.","40","90","11"
"229","|cffffd100Tip:|r If a target on your minimap is gray, it's inside a cave or interior place you aren't currently in.","0","0","12"
"230","|cffffd100Tip:|r You can perform many fun actions with the emote system, for instance you can type /dance to dance.","40","90","17"
"231","|cffffd100Tip:|r The interface options menu <ESC> has lots of ways to customize your game options.","20","60","20"
"234","|cffffd100Tip:|r A mail icon next to the minimap means you have new mail. Visit a mailbox to retrieve it.","0","0","21"
"235","|cffffd100Tip:|r You can add additional action bars to your game interface from the interface options menu.","0","0","22"
"236","|cffffd100Tip:|r If you hold down <Shift> while right-clicking on a target to loot, you will automatically loot all items on the target.","0","0","23"
"237","|cffffd100Tip:|r If you enjoyed playing with someone from your realm, put them on your friends list!","20","60","27"
"239","|cffffd100Tip:|r Don't be shy to help a stranger, you'll both get loot and quest credit!","0","0","29"
"240","|cffffd100Tip:|r If you never want to hear from another player again, you can /ignore them. You can always change your mind later.","0","0","159"
"241","|cffffd100Tip:|r You can target members of your party with the function keys. F1 targets you; F2 targets the second party member.","40","90","31"
"242","|cffffd100Tip:|r Being polite while in a group with others will get you invited back!","0","0","30"
"243","|cffffd100Tip:|r You can click on a faction in the reputation pane to get additional information and options about that faction.","0","0","32"
"244","|cffffd100Tip:|r A monster with a silver dragon around its portrait is a rare monster with better than average treasure.","0","0","33"
"245","|cffffd100Tip:|r Use the mouse wheel on your main map to zoom in for a closer view of a zone.","0","0","36"
"247","|cffffd100Tip:|r You can lock your action bar so you don't accidentally move spells. This is done using the interface options menu.","0","0","39"
"248","|cffffd100Tip:|r You can cast a spell on yourself without deselecting your current target by holding down <Alt> while pressing your hotkey.","0","0","161"
"251","|cffffd100Tip:|r Completing quests and dungeons are the best way to gain levels.","1","20","45"
"254","|cffffd100Tip:|r You can hide your interface with <Alt>Z and take screenshots with <Print Screen>.","0","0","44"
"256","|cffffd100Tip:|r Right click on the main map to zoom out to the continent or world view, left click to zoom in.","1","20","40"
"258","|cffffd100Tip:|r If you <Shift>Click on a player name in the chat window it tells you additional information about them.","20","60","3"
"261","|cffffd100Tip:|r  A blue question mark above a quest giver means the quest is repeatable.","0","0","48"
"263","|cffffd100Tip:|r You can use the Tab key to select nearby enemies in front of you.","1","60","13"
"281","|cffffd100Tip:|r <Shift>Clicking on an item being sold by a vendor will let you select how many of that item you wish to purchase.","0","0","50"
"282","|cffffd100Tip:|r When you learn a profession or secondary skill the button that allows you to perform that skill is found in the Professions tab of your spellbook.","1","60","10"
"321","|cffffd100Tip:|r If you are having trouble finding something in a capital city, try clicking on a guard for directions.","5","90","14"
"341","|cffffd100Tip:|r Remember to take all things in moderation (even World of Warcraft!)","0","0","143"
"381","|cffffd100Tip:|r You can <Shift>Click on an item stack to split it into smaller stacks.","0","0","54"
"382","|cffffd100Tip:|r Pressing both mouse buttons simultaneously is another way to make your character move forward.","0","0","55"
"383","|cffffd100Tip:|r When replying to a tell from a player (Default 'R'), the <TAB> key cycles through people you have recently replied to.","0","0","56"
"384","|cffffd100Tip:|r You can remove a friendly spell enhancement on yourself by right-clicking on the spell effect icon.","40","60","9"
"388","|cffffd100Tip:|r Clicking an item linked by another player in chat will tell you more about the item.","0","0","57"
"389","|cffffd100Tip:|r You can only know two professions at a time, but you can learn all of the secondary skills (Archaeology, Fishing, Cooking and First Aid).","10","90","19"
"390","|cffffd100Tip:|r It's considered polite to talk to someone before inviting them into a group, or opening a trade window.","0","0","58"
"392","|cffffd100Tip:|r Your items do not suffer durability damage when you are killed by an enemy player.","40","90","60"
"393","|cffffd100Tip:|r <Shift>click on a quest in your quest log to toggle quest tracking for that quest.","10","90","61"
"394","|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a yellow question mark on your mini-map.","1","20","63"
"396","|cffffd100Tip:|r Nearby questgivers that are awaiting your return are shown as a question mark on your mini-map.","1","20","1"
"398","|cffffd100Tip:|r You can click the numbered quest icons in the quest tracker UI to select which quest to track.","0","0","41"
"399","|cffffd100Tip:|r Quests completed at maximum level award gold instead of experience.","110","110","64"
"401","|cffffd100Tip:|r You can join a party and quest with players from other realms, invite your friends!","0","0","24"
"403","|cffffd100Tip:|r By default, the B key will open all your bags at once.","20","90","65"
"404","|cffffd100Tip:|r When interacting with other players a little kindness goes a long way!","1","110","156"
"405","|cffffd100Tip:|r You're much less likely to encounter wandering monsters while following a road.","0","0","42"
"406","|cffffd100Tip:|r Use the Dungeon Finder tool to quickly travel to dungeons or to find more players for your dungeon group.","0","0","28"
"407","|cffffd100Tip:|r Bring your friends to Azeroth, but don't forget to go outside Azeroth with them as well.","0","0","66"
"409","|cffffd100Tip:|r If you keep an empty mailbox, the mail icon will let you know when you have new mail waiting!","0","0","67"
"410","|cffffd100Tip:|r Never give another player your account information.","0","0","68"
"411","|cffffd100Tip:|r Sharing an account with someone else can compromise its security.","0","0","35"
"419","|cffffd100Tip:|r A monster with a gray health bar will provide no loot or experience from killing it.","40","60","70"
"422","|cffffd100Tip:|r You can access the map either by clicking the map button in the upper right of the mini-map or by hitting the 'M' key. The map can help you locate where you need to go to complete a quest.","0","20","72"
"423","|cffffd100Tip:|r High level dungeons often have a heroic difficulty mode. These settings are tuned for powerful players that have improved loot.","70","90","73"
"426","|cffffd100Tip:|r When using Dungeon Finder, you can teleport into your dungeon. If not, you can use Dungeon meeting stones to summon absent party members.","40","90","77"
"427","|cffffd100Tip:|r The Parental Controls section of the Account Management site offers tools to help you manage play time.","10","90","78"
"428","|cffffd100Tip:|r <Shift> Click World Quests to track more than one.","110","110","79"
"429","|cffffd100Tip:|r A quest marked as (Failed) in the quest log can be reacquired from the quest giver.","20","90","80"
"430","|cffffd100Tip:|r The number next to the quest name in your quest log is how many other party members are on that quest.","40","110","81"
"431","|cffffd100Tip:|r You cannot advance quests other than (Raid) quests while you are in a raid group.","80","110","82"
"432","|cffffd100Tip:|r You cannot cancel your bids in the auction house, so bid carefully.","40","110","83"
"433","|cffffd100Tip:|r To enter a chat channel, type /join [channel name] and /leave [channel name] to exit.","40","110","84"
"434","|cffffd100Tip:|r Mail will be kept for a maximum of 30 days before it disappears.","40","110","85"
"435","|cffffd100Tip:|r It is possible to change the look of your armor or weapons by visiting a Transmogrifier in major cities.","40","110","86"
