Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"4","Orcslayer","Increases success chance when fighting orcs.","897144","1","0","1","1"
"5","Blizzard","Cast by a mage to deal damage to many enemies.","135857","0","0","0","1"
"6","Shield Wall","Used by a warrior to greatly reduce damage.","132362","0","0","0","1"
"7","Mountaineer","Increases success chance when fighting in the mountains.","236848","1","0","6","1"
"8","Cold-Blooded","Increases success chance when fighting in the snow.","236833","1","0","6","1"
"9","Wastelander","Increases success chance when fighting in the desert.","236846","1","0","6","1"
"10","Leap of Faith","Cast by a priest to help the target escape harm's way (or just to mess with them).","463835","0","0","0","1"
"11","Prayer of Healing","Cast by a priest to heal a group of allies.","135943","0","0","0","1"
"29","Fast Learner","Increases the experience this follower gains from a mission by 50%.","236225","33","0","7","1"
"30","Natural Leader","Increases the XP gained for all followers on a mission.","236362","3","0","0","1"
"36","Demonslayer","Increases success chance when fighting demons.","254651","1","0","1","1"
"37","Beastslayer","Increases success chance when fighting beasts.","298659","1","0","1","1"
"38","Ogreslayer","Increases success chance when fighting ogres.","236695","1","0","1","1"
"39","Primalslayer","Increases success chance when fighting primals and their minions.","254105","1","0","1","1"
"40","Gronnslayer","Increases success chance when fighting breakers and their minions.","236412","1","0","1","1"
"41","Furyslayer","Increases success chance when fighting elemental furies.","254652","1","0","1","1"
"42","Voidslayer","Increases success chance when fighting aberrations and undead.","298680","1","0","1","1"
"43","Talonslayer","Increases success chance when fighting arakkoa and their minions.","952507","1","0","1","1"
"44","Naturalist","Increases success chance when fighting in a forest.","236830","1","0","6","1"
"45","Cave Dweller","Increases success chance when fighting underground.","409595","1","0","6","1"
"46","Guerilla Fighter","Increases success chance when fighting in the jungle.","236850","1","0","6","1"
"47","Master Assassin","Grants a very large bonus to mission success chance.","458726","19","0","11","1"
"48","Marshwalker","Increases success chance when fighting in a swamp.","236819","1","0","6","1"
"49","Plainsrunner","Increases success chance when fighting on plains.","236712","1","0","6","1"
"52","Mining","Boosts work order production when assigned to the Mine.","136248","33","0","5","1"
"53","Herbalism","Grants herbalism benefits and boosts work orders when assigned to the Herb Garden.","136246","33","0","5","1"
"54","Alchemy","Offers various Alchemy benefits when assigned to the Alchemy Lab, and increases success chance on Alchemy missions.","136240","33","0","5","1"
"55","Blacksmithing","Can reduce your durability damage and increase work order output when assigned to the Forge, and increases success chance on Blacksmithing missions.","136241","33","0","5","1"
"56","Enchanting","Offers a variety of enchanting benefits when assigned to the Enchanter's Study, and increases success chance on Enchanting missions.","136244","33","0","5","1"
"57","Engineering","Sells engineering gadgets and boosts work orders when assigned to the Engineering Works, and increases success chance on Engineering missions.","136243","33","0","5","1"
"58","Inscription","Allows the creation of special documents and boosts work orders when assigned to the Scribe's Quarters, and increases success chance on Inscription missions.","237171","33","0","5","1"
"59","Jewelcrafting","Offers a variety of Jewelcrafting benefits when assigned to the Gem Boutique, and increases success chance on Jewelcrafting missions.","134071","33","0","5","1"
"60","Leatherworking","Can craft tents and boost work orders when assigned to the Tannery, and increases success chance on Leatherworking missions.","136247","33","0","5","1"
"61","Tailoring","Offers a variety of tailoring benefits when assigned to the Tailoring Emporium, and increases success chance on Tailoring missions.","136249","33","0","5","1"
"62","Skinning","Boosts work order production based on follower level while assigned to the Barn.","134366","33","0","5","1"
"63","Gnome-Lover","Increases success chance when on a mission with a gnome.","236446","9","73","4","1"
"64","Humanist","Increases success chance when on a mission with a human.","236447","9","71","4","1"
"65","Dwarvenborn","Increases success chance when on a mission with a dwarf.","236443","9","70","4","1"
"66","Child of the Moon","Increases success chance when on a mission with a night elf.","236450","9","74","4","1"
"67","Ally of Argus","Increases success chance when on a mission with a draenei.","236442","9","72","4","1"
"68","Canine Companion","Increases success chance when on a mission with a worgen.","528692","9","75","4","1"
"69","Brew Aficionado","Increases success chance when on a mission with a pandaren.","626190","1","0","4","1"
"70","Child of Draenor","Increases success chance when on a mission with an orc.","236451","5","65","4","1"
"71","Death Fascination","Increases success chance when on a mission with an undead.","236457","5","64","4","1"
"72","Totemist","Increases success chance when on a mission with a tauren.","236454","5","67","4","1"
"73","Voodoo Zealot","Increases success chance when on a mission with a troll.","236456","5","63","4","1"
"74","Elvenkind","Increases success chance when on a mission with a blood elf.","236440","5","66","4","1"
"75","Economist","Increases success chance when on a mission with a goblin.","632354","5","68","4","1"
"76","High Stamina","Increases success chance on missions with duration longer than 7 hours.","135987","1","0","8","1"
"77","Burst of Power","Increases success chance on missions with duration shorter than 7 hours.","136088","1","0","8","1"
"78","Lone Wolf","Increases success chance when on a mission alone.","538568","3","0","9","1"
"79","Scavenger","Increases the garrison resources gained from a mission by 100%.","413571","1","0","7","1"
"80","Extra Training","Increases the experience gained from a mission for all followers by 30%.","975743","1","0","7","1"
"100","Taunt","Forces an enemy to attack the warrior.","136080","0","0","0","1"
"101","Multi-Shot","Used by a hunter to damage many enemies.","132330","0","0","0","1"
"102","Heroic Leap","Used by a warrior to quickly escape harm's way.","236171","0","0","0","1"
"103","Rapid Fire","Significantly increases the hunter's burst damage.","132208","0","0","0","1"
"104","Sap","Used by a rogue to neutralize a dangerous enemy (or just to annoy you).","132310","0","0","0","1"
"105","Kick","Used by a rogue to interrupt a spell (super frustrating).","132219","0","0","0","1"
"106","Chain Heal","Cast by a shaman to heal a group of allies.","136042","0","0","0","1"
"107","Purify Spirit","Cast by a shaman to remove a harmful magic effect.","236288","0","0","0","1"
"108","Growl","Forces the target to attack the druid.","132270","0","0","0","1"
"114","Dark Command","Forces the target to attack the death knight.","136088","0","0","0","1"
"115","Bone Shield","Protects the death knight with a shield of bone.","458717","0","0","0","1"
"116","Death and Decay","Cast by a death knight to damage many enemies.","136144","0","0","0","1"
"117","Mind Freeze","Freezes the opponent's mind, interrupting a spell.","237527","0","0","0","1"
"118","Empower Rune Weapon","Significantly increases the death knight's burst damage.","135372","0","0","0","1"
"119","Anti-Magic Shell","Protects the death knight from harmful magic effects.","136120","0","0","0","1"
"120","Cleave","Used by a warrior to damage multiple enemies.  Also used to describe every arena team.","132338","0","0","0","1"
"121","Pummel","Used by a warrior to interrupt a spell.","132938","0","0","0","1"
"122","Recklessness","Used by a warrior to greatly increase burst damage.","603532","0","0","0","1"
"123","Reckoning","Forces the target to attack the paladin.","135984","0","0","0","1"
"124","Divine Shield","Cast by a paladin to prevent damage.  Also used to escape in a cowardly manner (shameful).","524354","0","0","0","1"
"125","Cleanse","Cast by a paladin to remove a harmful magic effect.","135949","0","0","0","1"
"126","Rebuke","Cast by a paladin to interrupt a spell.","523893","0","0","0","1"
"127","Repentance","Cast by a paladin to neutralize a dangerous enemy.","135942","0","0","0","1"
"128","Holy Radiance","Cast by a paladin to heal a group of allies.","457654","0","0","0","1"
"129","Divine Plea","Cast by a paladin to quickly regenerate mana.","237537","2","0","0","1"
"130","Divine Storm","Cast by a paladin to deal damage to many enemies.","236250","0","0","0","1"
"131","Avenging Wrath","Cast by a paladin to greatly increase burst damage.","135875","0","0","0","1"
"132","Barkskin","The druid takes on a hardened skin, significantly reducing damage taken.","136097","0","0","0","1"
"133","Innervate","Cast by a druid to rapidly regenerate the target's mana.","136048","2","0","0","1"
"134","Entangling Roots","Cast by a druid to neutralize a dangerous enemy.","136100","0","0","0","1"
"135","Wild Growth","Cast by a druid to heal a group of allies.","236153","0","0","0","1"
"136","Nature's Cure","Cast by a druid to remove a harmful magic effect.","236288","0","0","0","1"
