Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
"2","100","100","0","0","4","0","0","11","0","0","0"
"3","100","100","0","0","9","0","0","22","0","0","0"
"4","100","100","0","0","7","0","0","21","0","0","0"
"5","100","100","0","0","8","0","0","23","0","0","0"
"6","300","400","0","0","5","0","0","7","0","0","0"
"7","300","400","0","0","6","0","0","2","0","0","0"
"8","300","400","0","0","10","0","0","6","0","0","0"
"9","300","400","0","0","11","0","0","3","0","0","0"
"46","0","0","1.5","0","29","4","1","0","0","0","0"
"47","0","0","1.25","0","30","4","2","0","0","0","0"
"58","100","100","0","0","36","0","0","16","0","0","0"
"59","100","100","0","0","37","0","0","15","0","0","0"
"60","100","100","0","0","38","0","0","12","0","0","0"
"61","100","100","0","0","39","0","0","20","0","0","0"
"62","100","100","0","0","40","0","0","17","0","0","0"
"63","100","100","0","0","41","0","0","18","0","0","0"
"64","100","100","0","0","42","0","0","19","0","0","0"
"65","100","100","0","0","43","0","0","14","0","0","0"
"66","100","100","0","0","44","0","0","26","0","0","0"
"67","100","100","0","0","45","0","0","24","0","0","0"
"68","100","100","0","0","46","0","0","25","0","0","0"
"69","300","300","0","0","47","2","0","0","0","0","0"
"70","100","100","0","0","48","0","0","28","0","0","0"
"71","100","100","0","0","49","0","0","29","0","0","0"
"73","50","50","0","0","42","0","0","13","0","0","0"
"75","0","0","0","0","52","12","0","0","0","0","0"
"76","0","0","0","0","53","12","0","0","0","0","0"
"77","0","0","0","0","54","12","0","0","0","0","0"
"78","0","0","0","0","55","12","0","0","0","0","0"
"79","0","0","0","0","56","12","0","0","0","0","0"
"80","0","0","0","0","57","12","0","0","0","0","0"
"81","0","0","0","0","58","12","0","0","0","0","0"
"82","0","0","0","0","59","12","0","0","0","0","0"
"83","0","0","0","0","60","12","0","0","0","0","0"
"84","0","0","0","0","61","12","0","0","0","0","0"
"85","0","0","0","0","62","12","0","0","0","0","0"
"86","150","150","0","0","63","5","1","0","0","6","0"
"87","150","150","0","0","64","5","1","0","0","2","0"
