Id,Unknown0_0,Unknown0_1,Unknown1,Unknown2,Unknown3
"93","-0.007","-0.02","3529","267","26"
"94","0","0","3530","265","76"
"95","0","0","3530","265","60"
"96","0","0","3530","265","93"
"97","0","0","3530","265","91"
"98","0","0","3530","265","95"
"99","0","0","3530","265","96"
"100","0","0","3530","265","90"
"101","0","0","3530","265","51"
"102","0","0","3530","265","94"
"105","0","0","3922","3252","76"
"106","0","0","3530","3253","76"
"107","0","0","3922","270","76"
"108","0","0","3530","271","76"
"109","0","0","3922","272","76"
"110","0","0","3530","265","119"
"111","0","0","3922","270","119"
"112","0","0","3530","271","119"
"113","0","0","3922","272","119"
"114","0","0","3922","3252","119"
"115","0","0","3530","3253","119"
"116","0","0","3922","265","120"
"117","0","0","3922","270","120"
"118","0","0","3530","271","120"
"119","0","0","3922","272","120"
"120","0","0","3922","3252","120"
"121","0","0","3530","3253","120"
"122","0","0","3913","267","8"
"123","0","0","3916","268","8"
"124","0","0","3913","274","8"
"125","0","0","3913","3255","8"
"126","0","0","3935","267","9"
"127","0","0","3936","268","9"
"128","0","0","3935","274","9"
"129","0","0","3935","3255","9"
"130","0","0","3965","267","10"
"131","0","0","3955","268","10"
"132","0","0","3965","274","10"
"133","0","0","3965","3255","10"
"134","-0.012","-0.016","3930","269","24"
"135","0.01","0","3921","273","24"
"136","0.01","0","3921","3254","24"
"137","-0.012","-0.016","3937","269","25"
"138","0.01","0.005","3938","273","25"
"139","0.01","0.005","3938","3254","25"
"140","0","0","3950","269","133"
"141","0","0","3964","273","133"
"142","0","0","3964","3254","133"
"143","-0.007","-0.02","3918","274","26"
"144","-0.007","-0.02","3918","3255","26"
"145","0","0","3939","267","27"
"146","0","0","3939","274","27"
"147","0","0","3939","3255","27"
"148","0","0","3954","267","28"
"149","0","0","3954","274","28"
"150","0","0","3954","3255","28"
"151","0","0","3922","270","60"
"152","0","0","3530","271","60"
"153","0","0","3530","272","60"
"154","0","0","3922","3252","60"
"155","0","0","3530","3253","60"
"156","0","0","3530","265","117"
"157","0","0","3922","270","117"
"158","0","0","3530","271","117"
"159","0","0","3922","272","117"
"160","0","0","3922","3252","117"
"161","0","0","3530","3253","117"
"162","0","0","3530","265","118"
"163","0","0","3922","270","118"
"164","0","0","3530","271","118"
"165","0","0","3530","272","118"
"166","0","0","3922","3252","118"
"167","0","0","3530","3253","118"
"168","0.012","0.02","3967","268","26"
"169","0.0025","0.015","3968","268","27"
"170","0","0","3969","268","28"
"171","0","0","3922","270","93"
"172","0","0","3530","271","93"
"173","0","0","3530","272","93"
"174","0","0","3922","3252","93"
"175","0","0","3530","3253","93"
"176","0","0","3530","265","125"
"177","0","0","3922","270","125"
"178","0","0","3530","271","125"
"179","0","0","3922","272","125"
"180","0","0","3530","265","126"
"181","0","0","3922","270","126"
"182","0","0","3530","271","126"
"183","0","0","3922","272","126"
"184","0","0","3922","3252","126"
"185","0","0","3530","3253","126"
"186","0","0","3922","270","91"
"187","0","0","3530","271","91"
"188","0","0","3922","272","91"
"189","0","0","3922","3252","91"
"190","0","0","3530","3253","91"
"191","0","0","3530","265","123"
"192","0","0","3922","270","123"
"193","0","0","3530","271","123"
"194","0","0","3922","272","123"
"195","0","0","3922","3252","123"
"196","0","0","3530","3253","123"
"197","0","0","3530","265","124"
"198","0","0","3922","270","124"
"199","0","0","3530","271","124"
"200","0","0","3922","272","124"
"201","0","0","3922","3252","124"
"202","0","0","3530","3253","124"
"203","0","0","3929","3002","64"
"205","0","0","3929","3002","134"
"207","0","0","3929","3002","135"
"209","0","0","3924","1019","29"
"210","0","0","3924","3257","29"
"211","0","0","3924","1019","136"
"212","0","0","3924","3257","136"
"213","0","0","3924","1019","137"
"214","0","0","3924","3257","137"
"215","0","0","3923","269","34"
"216","0","0","3931","273","34"
"217","0","0","3931","3254","34"
"218","0","0","3940","269","35"
"219","0","0","3941","273","35"
"220","0","0","3941","3254","35"
"221","0","0","3953","269","36"
"222","0","0","3958","273","36"
"223","0","0","3958","3254","36"
"224","0","0","3922","270","95"
"225","0","0","3530","271","95"
"226","0","0","3922","272","95"
"227","0","0","3922","3252","95"
"228","0","0","3530","3253","95"
"229","0","0","3530","265","129"
"230","0","0","3922","270","129"
"231","0","0","3530","271","129"
"232","0","0","3922","272","129"
"233","0","0","3922","3252","129"
"234","0","0","3530","3253","129"
"235","0","0","3530","265","130"
"236","0","0","3922","270","130"
"237","0","0","3530","271","130"
"238","0","0","3922","272","130"
"239","0","0","3922","3252","130"
"240","0","0","3530","3253","130"
"241","0","0","3922","270","96"
"242","0","0","3530","271","96"
"243","0","0","3922","272","96"
"244","0","0","3922","3252","96"
"245","0","0","3530","3253","96"
"246","0","0","3530","265","131"
"247","0","0","3922","270","131"
"248","0","0","3530","271","131"
"249","0","0","3922","272","131"
"250","0","0","3922","3252","131"
"251","0","0","3530","3253","131"
"252","0","0","3530","265","132"
"253","0","0","3922","270","132"
"254","0","0","3530","271","132"
"255","0","0","3922","272","132"
"256","0","0","3922","3252","132"
"257","0","0","3530","3253","132"
"258","0","0","3922","270","90"
"259","0","0","3530","271","90"
"260","0","0","3922","272","90"
"261","0","0","3922","3252","90"
"262","0","0","3530","3253","90"
"263","0","0","3530","265","121"
"264","0","0","3922","270","121"
"265","0","0","3530","271","121"
"266","0","0","3922","272","121"
"267","0","0","3922","3252","121"
"268","0","0","3530","3253","121"
"269","0","0","3530","265","122"
"270","0","0","3922","270","122"
"271","0","0","3530","271","122"
"272","0","0","3922","272","122"
"273","0","0","3922","3252","122"
"274","0","0","3530","3253","122"
"275","0","0","3920","269","40"
"276","0","0","3927","273","40"
"277","0","0","3927","3254","40"
"278","0","0","3942","269","41"
"279","0","0","3943","273","41"
"280","0","0","3943","3254","41"
"281","0","0","3951","269","138"
"282","0","0","3957","273","138"
"283","0","0","3957","3254","138"
"284","0","0","3914","267","37"
"285","0","0","3915","268","37"
"286","0","0","3914","274","37"
"287","0","0","3914","3255","37"
"288","0","0","3944","267","38"
"289","0","0","3945","268","38"
"290","0","0","3944","274","38"
"291","0","0","3944","3255","38"
"292","0","0","3956","267","39"
"293","0","0","3952","268","39"
"294","0","0","3956","274","39"
"295","0","0","3956","3255","39"
"302","0","0","3530","265","52"
"303","0","0","3922","270","52"
"304","0","0","3530","271","52"
"305","0","0","3922","272","52"
"306","0","0","3922","3252","52"
"307","0","0","3530","3253","52"
"308","0","0","3530","265","140"
"309","0","0","3922","270","140"
"310","0","0","3530","271","140"
"311","0","0","3922","272","140"
"312","0","0","3922","3252","140"
"313","0","0","3530","3253","140"
"314","0","0","3530","265","141"
"315","0","0","3922","270","141"
"316","0","0","3530","271","141"
"317","0","0","3922","272","141"
"318","0","0","3922","3252","141"
"319","0","0","3530","3253","141"
"320","0","0","3932","269","159"
"321","0","0","3926","273","159"
"322","0","0","3926","3254","159"
"323","0","0","3933","269","160"
"324","0","0","3934","273","160"
"325","0","0","3934","3254","160"
"326","0","0","3961","269","161"
"327","0","0","3966","273","161"
"328","0","0","3966","3254","161"
"329","0","0","3917","267","65"
"330","0","0","3919","268","65"
"331","0","0","3917","274","65"
"332","0","0","3917","3255","65"
"333","0","0","3946","267","66"
"334","0","0","3947","268","66"
"335","0","0","3946","274","66"
"336","0","0","3946","3255","66"
"337","0","0","3959","267","67"
"338","0","0","3963","268","67"
"339","0","0","3959","274","67"
"340","0","0","3959","3255","67"
"341","0","0","3922","270","51"
"342","0","0","3530","271","51"
"343","0","0","3922","272","51"
"344","0","0","3922","3252","51"
"345","0","0","3530","3253","51"
"346","0","0","3530","265","142"
"347","0","0","3922","270","142"
"348","0","0","3530","271","142"
"349","0","0","3922","272","142"
"350","0","0","3922","3252","142"
"351","0","0","3530","3253","142"
"352","0","0","3530","265","143"
"353","0","0","3922","270","143"
"354","0","0","3530","271","143"
"355","0","0","3922","272","143"
"356","0","0","3922","3252","143"
"357","0","0","3530","3253","143"
"358","0","0","3922","270","94"
"359","0","0","3530","271","94"
"360","0","0","3922","272","94"
"361","0","0","3922","3252","94"
"362","0","0","3530","3253","94"
"363","0","0","3530","265","127"
"364","0","0","3922","270","127"
"365","0","0","3530","271","127"
"366","0","0","3922","272","127"
"367","0","0","3922","3252","127"
"368","0","0","3530","3253","127"
"369","0","0","3530","265","128"
"370","0","0","3922","270","128"
"371","0","0","3530","271","128"
"372","0","0","3922","272","128"
"373","0","0","3922","3252","128"
"374","0","0","3530","3253","128"
"375","0","-0.005","3912","269","111"
"376","0.005","0","3928","273","111"
"377","0","0","3928","3254","111"
"378","-0.003","-0.005","3948","269","144"
"379","0.005","-0.009","3949","273","144"
"380","0.005","-0.009","3949","3254","144"
"381","-0.005","-0.005","3962","269","145"
"382","0.003","-0.005","3960","273","145"
"383","0","0","3960","3254","145"
"384","0","0","3970","267","162"
"385","0","0","3971","268","162"
"386","0","0","3970","274","162"
"387","0","0","3970","3255","162"
"388","0","0","3972","267","163"
"389","0","0","3973","268","163"
"390","0","0","3972","274","163"
"391","0","0","3972","3255","163"
"392","0","0","3974","267","164"
"393","0","0","3975","268","164"
"394","0","0","3974","274","164"
"395","0","0","3974","3255","164"
"396","0","0","4158","2251","76"
"397","0","0","4158","2251","119"
"398","0","0","4158","2258","76"
"399","0","0","4157","2259","76"
"400","0","0","4159","2260","76"
"401","0","0","4158","3259","76"
"402","0","0","4157","3260","76"
"403","0","0","4158","2258","119"
"404","0","0","4157","2259","119"
"405","0","0","4159","2260","119"
"406","0","0","4158","3259","119"
