Id,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6
"2","Blood Death Knight","Blood Death Knight","","3487","6","0","0"
"3","Frost Death Knight","Frost Death Knight","","3487","7","0","0"
"4","Unholy Death Knight","Unholy Death Knight","","3487","8","0","0"
"5","Balance Druid","Balance Druid","","3485","9","0","0"
"7","Feral Druid","Feral Druid","","3485","10","0","0"
"8","Guardian Druid","Guardian Druid","","3485","11","0","0"
"9","Restoration Druid","Restoration Druid","","3485","12","0","0"
"10","Beast Master Hunter","Beast Master Hunter","","3477","13","0","0"
"12","Marksmanship Hunter","Marksmanship Hunter","","3477","14","0","0"
"13","Survival Hunter","Survival Hunter","","3477","15","0","0"
"14","Arcane Mage","Arcane Mage","","3482","16","0","0"
"15","Fire Mage","Fire Mage","","3482","17","0","0"
"16","Frost Mage","Frost Mage","","3482","18","0","0"
"17","Brewmaster Monk","Brewmaster Monk","","3480","19","0","0"
"18","Mistweaver Monk","Mistweaver Monk","","3480","20","0","0"
"19","Windwalker Monk","Windwalker Monk","","3480","21","0","0"
"20","Holy Paladin","Holy Paladin","","3486","22","0","0"
"21","Protection Paladin","Protection Paladin","","3486","23","0","0"
"22","Retribution Paladin","Retribution Paladin","","3486","24","0","0"
"23","Discipline Priest","Discipline Priest","","3479","25","0","0"
"24","Holy Priest","Holy Priest","","3479","26","0","0"
"25","Shadow Priest","Shadow Priest","","3479","27","0","0"
"26","Assassination Rogue","Assassination Rogue","","3481","28","0","0"
"27","Combat Rogue","Combat Rogue","","3481","29","0","0"
"28","Subtlety Rogue","Subtlety Rogue","","3481","30","0","0"
"29","Elemental Shaman","Elemental Shaman","","3484","31","0","0"
"30","Enhancement Shaman","Enhancement Shaman","","3484","32","0","0"
"31","Restoration Shaman","Restoration Shaman","","3484","33","0","0"
"32","Affliction Warlock","Affliction Warlock","","3483","34","0","0"
"33","Demonology Warlock","Demonology Warlock","","3483","35","0","0"
"34","Destruction Warlock","Destruction Warlock","","3483","36","0","0"
"35","Arms Warrior","Arms Warrior","","3478","37","0","0"
"37","Fury Warrior","Fury Warrior","","3478","38","0","0"
"38","Protection Warrior","Protection Warrior","","3478","39","0","0"
"53","Transport","Transport","","4597","0","0","0"
"54","Destroyer","Destroyer","","4620","0","0","0"
"55","Carrier","Carrier","","4838","0","0","0"
"56","Battleship","Battleship","","4601","0","0","0"
"57","Submarine","Submarine","","4609","0","0","0"
"58","Transport","Transport","","4597","0","0","0"
"59","Destroyer","Destroyer","","4568","0","0","0"
"60","Carrier","Carrier","","4842","0","0","0"
"61","Battleship","Battleship","","4601","0","0","0"
"62","Submarine","Submarine","","4605","0","0","0"
"63","Havoc Demon Hunter","Havoc Demon Hunter","","5939","0","0","0"
"64","Vengeance Demon Hunter","Vengeance Demon Hunter","","5940","0","0","0"
"65","Student of The Crane","Student of The Crane","","3480","0","4","3"
"66","Student of The Tiger","Student of The Tiger","","3480","0","2","3"
"67","Student of The Ox","Student of The Ox","","3480","0","3","3"
"68","Brewmaster Monk","Brewmaster Monk","","5951","0","0","0"
"69","Mistweaver Monk","Mistweaver Monk","","5952","0","0","0"
"70","Windwalker Monk","Windwalker Monk","","5953","0","0","0"
"72","Arcanists","Arcanists","","3482","0","2","3"
"73","Elementals","Elementals","","3482","0","3","3"
"74","Mage C Troop","Mage C Troop","","3482","0","4","3"
"75","Risen Horde","Risen Horde","","3487","0","3","3"
"76","Soldiers of the Ebon Blade","Soldiers of the Ebon Blade","","3487","0","2","3"
"77","Abomination","Abomination","","3487","0","1","3"
"78","Demon Hunter C Troop","Demon Hunter C Troop","","3487","0","4","3"
"79","The Broken","The Broken","","5940","0","3","3"
"80","Illidari Warriors","Illidari Warriors","","5940","0","2","3"
"81","Forest Friends","Forest Friends","","3485","0","3","3"
"82","Grove Wardens","Grove Wardens","","3485","0","2","3"
"83","Keepers of the Grove","Keepers of the Grove","","3485","0","4","3"
"84","Hunter C Troop","Hunter C Troop","","3477","0","4","3"
"85","Woodsmen","Woodsmen","","3477","0","2","3"
"86","Bowmen","Bowmen","","3477","0","3","3"
"87","Silver Hand Recruits","Silver Hand Recruits","","3486","0","3","3"
"88","Silver Hand Officers","Silver Hand Officers","","3486","0","2","3"
"89","Paladin C Troop","Paladin C Troop","","3486","0","4","3"
"90","Priest C Troop","Priest C Troop","","3479","0","4","3"
"91","Acolytes","Acolytes","","3479","0","3","3"
"92","Zealots","Zealots","","3479","0","2","3"
"93","Brigands","Brigands","","3481","0","3","3"
"94","Buccaneers","Buccaneers","","3481","0","2","3"
"95","Rogue C Troop","Rogue C Troop","","3481","0","4","3"
"96","Ancient of War","Ancient of War","","3485","0","1","3"
"97","Elementals","Elementals","","3484","0","3","3"
"98","Earthcallers","Earthcallers","","3484","0","2","3"
"99","Valarjar","Valarjar","","3478","0","3","3"
"100","Shieldmaidens","Shieldmaidens","","3478","0","2","3"
"101","Warrior C Troop","Warrior C Troop","","3478","0","4","3"
"102","Demonic Horde","Demonic Horde","","3483","0","3","3"
"103","Black Harvest Servants","Black Harvest Servants","","3483","0","2","3"
"104","Felguard","Felguard","","3483","0","1","3"
"105","Celestial","Celestial","","3480","0","1","3"
"108","Blood Death Knight","Blood Death Knight","","5936","6","0","0"
"109","Frost Death Knight","Frost Death Knight","","5937","7","0","0"
"110","Unholy Death Knight","Unholy Death Knight","","5938","8","0","0"
"111","Balance Druid","Balance Druid","","5941","0","0","0"
"112","Feral Druid","Feral Druid","","5942","0","0","0"
"113","Guardian Druid","Guardian Druid","","5943","0","0","0"
"114","Restoration Druid","Restoration Druid","","5944","0","0","0"
"115","Beast Mastery Hunter","Beast Mastery Hunter","","5945","0","0","0"
"116","Marksmanship Hunter","Marksmanship Hunter","","5946","0","0","0"
"117","Survival Hunter","Survival Hunter","","5947","0","0","0"
"118","Arcane Mage","Arcane Mage","","5948","0","0","0"
"119","Fire Mage","Fire Mage","","5949","0","0","0"
"120","Frost Mage","Frost Mage","","5950","0","0","0"
"121","Holy Paladin","Holy Paladin","","5954","0","0","0"
"122","Protection Paladin","Protection Paladin","","5955","0","0","0"
"123","Retribution Paladin","Retribution Paladin","","5956","0","0","0"
"124","Discipline Priest","Discipline Priest","","5957","0","0","0"
"125","Holy Priest","Holy Priest","","5958","0","0","0"
"126","Shadow Priest","Shadow Priest","","5959","0","0","0"
"127","Assassination Rogue","Assassination Rogue","","5960","0","0","0"
"128","Outlaw Rogue","Outlaw Rogue","","5961","0","0","0"
"129","Subtlety Rogue","Subtlety Rogue","","5962","0","0","0"
"130","Elemental Shaman","Elemental Shaman","","5963","0","0","0"
"131","Enhancement Shaman","Enhancement Shaman","","5964","0","0","0"
"132","Restoration Shaman","Restoration Shaman","","5965","0","0","0"
"133","Affliction Warlock","Affliction Warlock","","5966","0","0","0"
"134","Demonology Warlock","Demonology Warlock","","5967","0","0","0"
"135","Destruction Warlock","Destruction Warlock","","5968","0","0","0"
"136","Arms Warrior","Arms Warrior","","5969","0","0","0"
"137","Fury Warrior","Fury Warrior","","5970","0","0","0"
"138","Protection Warrior","Protection Warrior","","5971","0","0","0"
"139","Ascendants","Ascendants","","3484","0","1","3"
"140","Outcast","Outcast","","6163","0","0","0"
"141","Tower Steward","Tower Steward","","6219","0","0","0"
"142","Dinner Guest","Dinner Guest","","6219","0","1","1"
"143","Brawler","Brawler","","6219","0","0","0"
